Date,Open,High,Low,Close,Adj Close,Volume
1987-07-29,5.500000,5.500000,5.437500,5.500000,5.500000,201200
1987-07-30,5.562500,5.562500,5.437500,5.562500,5.562500,107000
1987-07-31,5.562500,5.562500,5.500000,5.562500,5.562500,35400
1987-08-03,5.562500,5.562500,5.500000,5.562500,5.562500,23800
1987-08-04,5.562500,5.562500,5.500000,5.562500,5.562500,35800
1987-08-05,5.500000,5.562500,5.500000,5.500000,5.500000,23800
1987-08-06,5.500000,5.562500,5.500000,5.500000,5.500000,34000
1987-08-07,5.562500,5.562500,5.500000,5.562500,5.562500,11400
1987-08-10,5.562500,5.562500,5.562500,5.562500,5.562500,0
1987-08-11,5.625000,5.687500,5.562500,5.625000,5.625000,58200
1987-08-12,5.937500,6.000000,5.500000,5.937500,5.937500,30800
1987-08-13,6.125000,6.250000,6.000000,6.125000,6.125000,34000
1987-08-14,6.187500,6.250000,6.062500,6.187500,6.187500,20400
1987-08-17,6.062500,6.187500,6.000000,6.062500,6.062500,22400
1987-08-18,5.875000,6.125000,5.875000,5.875000,5.875000,28400
1987-08-19,5.875000,6.000000,5.875000,5.875000,5.875000,15200
1987-08-20,6.250000,6.312500,6.000000,6.250000,6.250000,72600
1987-08-21,6.937500,7.625000,6.375000,6.937500,6.937500,48400
1987-08-24,6.750000,7.062500,6.750000,6.750000,6.750000,36800
1987-08-25,6.937500,7.125000,6.750000,6.937500,6.937500,34000
1987-08-26,6.562500,6.875000,6.562500,6.562500,6.562500,22400
1987-08-27,6.312500,6.625000,6.312500,6.312500,6.312500,21000
1987-08-28,6.437500,6.562500,6.375000,6.437500,6.437500,4000
1987-08-31,6.375000,6.500000,6.375000,6.375000,6.375000,4200
1987-09-01,6.375000,6.437500,6.375000,6.375000,6.375000,5600
1987-09-02,6.375000,6.375000,6.250000,6.375000,6.375000,2200
1987-09-03,6.250000,6.250000,6.125000,6.250000,6.250000,6000
1987-09-04,5.875000,6.250000,5.875000,5.875000,5.875000,16600
1987-09-08,5.437500,5.875000,5.437500,5.437500,5.437500,15200
1987-09-09,5.437500,5.500000,5.375000,5.437500,5.437500,5800
1987-09-10,5.437500,5.500000,5.437500,5.437500,5.437500,3000
1987-09-11,5.812500,5.937500,5.562500,5.812500,5.812500,13800
1987-09-14,5.937500,5.937500,5.875000,5.937500,5.937500,2800
1987-09-15,5.875000,5.875000,5.812500,5.875000,5.875000,3000
1987-09-16,5.625000,5.812500,5.625000,5.625000,5.625000,6000
1987-09-17,5.500000,5.562500,5.500000,5.500000,5.500000,2400
1987-09-18,5.500000,5.500000,5.500000,5.500000,5.500000,1000
1987-09-21,5.500000,5.500000,5.500000,5.500000,5.500000,4200
1987-09-22,5.625000,5.625000,5.500000,5.625000,5.625000,8200
1987-09-23,5.625000,5.625000,5.562500,5.625000,5.625000,5200
1987-09-24,5.625000,5.625000,5.625000,5.625000,5.625000,0
1987-09-25,5.625000,5.687500,5.625000,5.625000,5.625000,400
1987-09-28,5.687500,5.750000,5.687500,5.687500,5.687500,2800
1987-09-29,5.375000,5.625000,5.375000,5.375000,5.375000,5600
