Date,Open,High,Low,Close,Adj Close,Volume
1995-12-14,8.562500,8.718750,8.562500,8.718750,7.843266,3943200
1995-12-15,8.812500,8.921875,8.796875,8.921875,8.025997,2577000
1995-12-18,8.906250,8.906250,8.765625,8.796875,7.913546,1046000
1995-12-19,8.765625,8.812500,8.718750,8.781250,7.899495,1140000
1995-12-20,8.812500,8.984375,8.812500,8.953125,8.054108,745400
1995-12-21,8.968750,9.000000,8.937500,8.953125,8.054108,646400
1995-12-22,8.953125,9.062500,8.953125,9.031250,8.124386,828200
1995-12-26,8.984375,9.000000,8.953125,8.984375,8.082222,212600
1995-12-27,8.953125,8.968750,8.765625,8.812500,7.927604,815800
1995-12-28,8.765625,8.781250,8.703125,8.781250,7.899495,272800
1995-12-29,8.781250,8.781250,8.609375,8.656250,7.787045,493400
1996-01-02,8.593750,8.750000,8.546875,8.703125,7.829210,1095000
1996-01-03,8.718750,8.734375,8.656250,8.734375,7.857322,1899800
1996-01-04,8.718750,8.812500,8.671875,8.718750,7.843266,1872400
1996-01-05,8.718750,8.781250,8.703125,8.781250,7.899495,1389000
1996-01-08,8.750000,8.750000,8.718750,8.734375,7.857322,397400
1996-01-09,8.718750,8.734375,8.656250,8.687500,7.815155,455200
1996-01-10,8.656250,8.687500,8.453125,8.453125,7.604318,1247600
1996-01-11,8.453125,8.500000,8.359375,8.390625,7.548093,1925200
1996-01-12,8.406250,8.468750,8.296875,8.468750,7.618374,736800
1996-01-15,8.468750,8.765625,8.453125,8.765625,7.885436,943400
1996-01-16,8.765625,8.937500,8.765625,8.921875,8.025997,2128400
1996-01-17,8.890625,8.921875,8.843750,8.921875,8.025997,1992200
1996-01-18,8.921875,9.125000,8.921875,9.031250,8.124386,2147800
1996-01-19,9.031250,9.421875,9.015625,9.234375,8.307118,2725000
1996-01-22,9.203125,9.296875,9.140625,9.234375,8.307118,1090600
1996-01-23,9.234375,9.234375,9.187500,9.234375,8.307118,739800
1996-01-24,9.125000,9.250000,9.125000,9.156250,8.236840,1090800
1996-01-25,9.171875,9.234375,9.156250,9.218750,8.293063,720800
1996-01-26,9.203125,9.250000,9.156250,9.234375,8.307118,647800
1996-01-29,9.218750,9.328125,9.218750,9.312500,8.377400,502400
1996-01-30,9.312500,9.343750,9.234375,9.312500,8.377400,1089200
1996-01-31,9.281250,9.343750,9.265625,9.312500,8.377400,908600
1996-02-01,9.312500,9.312500,9.203125,9.281250,8.349288,917000
1996-02-02,9.328125,9.328125,9.281250,9.312500,8.377400,746000
1996-02-05,9.281250,9.312500,9.140625,9.281250,8.349288,516200
1996-02-06,9.312500,9.375000,9.250000,9.343750,8.405510,819600
1996-02-07,9.312500,9.390625,9.250000,9.281250,8.349288,1113600
1996-02-08,9.281250,9.328125,9.265625,9.312500,8.377400,1408200
1996-02-09,9.234375,9.265625,9.031250,9.093750,8.180614,1340400
1996-02-12,9.031250,9.078125,8.984375,9.078125,8.166556,1867600
1996-02-13,9.078125,9.312500,9.078125,9.265625,8.335231,1266800
1996-02-14,9.281250,9.343750,9.109375,9.156250,8.236840,958400
1996-02-15,9.109375,9.234375,9.109375,9.125000,8.208727,591600
1996-02-16,9.109375,9.125000,9.046875,9.093750,8.180614,716400
1996-02-20,8.906250,8.906250,8.906250,8.906250,8.011941,0
1996-02-21,8.875000,9.031250,8.828125,8.906250,8.011941,1399800
1996-02-22,9.000000,9.000000,9.000000,9.000000,8.096279,0
1996-02-23,9.000000,9.062500,8.921875,8.984375,8.082222,983400
1996-02-26,9.015625,9.031250,8.953125,8.968750,8.068165,850000
1996-02-27,9.000000,9.015625,8.828125,8.937500,8.040053,725600
1996-02-28,8.937500,9.046875,8.937500,8.937500,8.040053,1080800
1996-02-29,8.937500,9.468750,8.937500,9.453125,8.503904,3140000
1996-03-01,9.468750,9.500000,9.312500,9.406250,8.461736,1903800
1996-03-04,9.437500,9.609375,9.390625,9.531250,8.574183,507600
1996-03-05,9.468750,9.578125,9.414062,9.546875,8.588239,600600
1996-03-06,9.531250,9.828125,9.500000,9.812500,8.827192,1345000
1996-03-07,9.781250,9.843750,9.718750,9.812500,8.827192,841400
1996-03-08,9.656250,9.750000,9.437500,9.453125,8.503904,976000
