Date,Open,High,Low,Close,Adj Close,Volume
1972-07-13,10.844200,10.844200,10.844200,10.844200,8.261904,0
1972-07-14,10.844200,10.844200,10.844200,10.844200,8.261904,0
1972-07-17,null,null,null,null,null,null
1972-07-18,null,null,null,null,null,null
1972-07-19,null,null,null,null,null,null
1972-07-20,null,null,null,null,null,null
1972-07-21,null,null,null,null,null,null
1972-07-24,null,null,null,null,null,null
1972-07-25,null,null,null,null,null,null
1972-07-26,null,null,null,null,null,null
1972-07-27,10.000500,10.000500,10.000500,10.000500,7.619112,0
1972-07-28,null,null,null,null,null,null
1972-07-31,null,null,null,null,null,null
1972-08-01,null,null,null,null,null,null
1972-08-02,null,null,null,null,null,null
1972-08-03,null,null,null,null,null,null
1972-08-04,null,null,null,null,null,null
1972-08-07,null,null,null,null,null,null
1972-08-08,null,null,null,null,null,null
1972-08-09,null,null,null,null,null,null
1972-08-10,null,null,null,null,null,null
1972-08-11,null,null,null,null,null,null
1972-08-14,null,null,null,null,null,null
1972-08-15,null,null,null,null,null,null
1972-08-16,null,null,null,null,null,null
1972-08-17,null,null,null,null,null,null
1972-08-18,null,null,null,null,null,null
1972-08-21,null,null,null,null,null,null
1972-08-22,null,null,null,null,null,null
1972-08-23,null,null,null,null,null,null
1972-08-24,null,null,null,null,null,null
1972-08-25,10.250500,10.250500,10.250500,10.250500,7.809577,0
1972-08-28,null,null,null,null,null,null
1972-08-29,null,null,null,null,null,null
1972-08-30,null,null,null,null,null,null
1972-08-31,null,null,null,null,null,null
1972-09-01,null,null,null,null,null,null
1972-09-05,null,null,null,null,null,null
1972-09-06,null,null,null,null,null,null
1972-09-07,null,null,null,null,null,null
1972-09-08,null,null,null,null,null,null
1972-09-11,null,null,null,null,null,null
1972-09-12,null,null,null,null,null,null
1972-09-13,null,null,null,null,null,null
1972-09-14,null,null,null,null,null,null
1972-09-15,null,null,null,null,null,null
1972-09-18,null,null,null,null,null,null
1972-09-19,null,null,null,null,null,null
1972-09-20,null,null,null,null,null,null
1972-09-21,null,null,null,null,null,null
1972-09-22,null,null,null,null,null,null
1972-09-25,9.875500,9.875500,9.875500,9.875500,7.523876,0
1972-09-26,null,null,null,null,null,null
1972-09-27,null,null,null,null,null,null
1972-09-28,null,null,null,null,null,null
1972-09-29,null,null,null,null,null,null
1972-10-02,10.031900,10.031900,10.031900,10.031900,7.643037,0
1972-10-03,null,null,null,null,null,null
1972-10-04,null,null,null,null,null,null
1972-10-05,null,null,null,null,null,null
1972-10-06,null,null,null,null,null,null
1972-10-09,null,null,null,null,null,null
1972-10-10,null,null,null,null,null,null
1972-10-11,null,null,null,null,null,null
1972-10-12,null,null,null,null,null,null
1972-10-13,null,null,null,null,null,null
1972-10-16,null,null,null,null,null,null
1972-10-17,null,null,null,null,null,null
1972-10-18,null,null,null,null,null,null
1972-10-19,null,null,null,null,null,null
1972-10-20,null,null,null,null,null,null
1972-10-23,null,null,null,null,null,null
1972-10-24,null,null,null,null,null,null
1972-10-25,null,null,null,null,null,null
1972-10-26,null,null,null,null,null,null
1972-10-27,null,null,null,null,null,null
1972-10-30,null,null,null,null,null,null
1972-10-31,null,null,null,null,null,null
1972-11-01,null,null,null,null,null,null
1972-11-02,null,null,null,null,null,null
1972-11-03,null,null,null,null,null,null
1972-11-06,null,null,null,null,null,null
1972-11-08,null,null,null,null,null,null
1972-11-09,null,null,null,null,null,null
1972-11-10,null,null,null,null,null,null
1972-11-13,null,null,null,null,null,null
1972-11-14,null,null,null,null,null,null
1972-11-15,9.000500,9.000500,9.000500,9.000500,6.857238,0
1972-11-16,9.000500,9.000500,9.000500,9.000500,6.857238,0
1972-11-17,null,null,null,null,null,null
1972-11-20,null,null,null,null,null,null
1972-11-21,null,null,null,null,null,null
1972-11-22,null,null,null,null,null,null
1972-11-24,null,null,null,null,null,null
1972-11-27,null,null,null,null,null,null
1972-11-28,null,null,null,null,null,null
1972-11-29,null,null,null,null,null,null
1972-11-30,null,null,null,null,null,null
1972-12-01,null,null,null,null,null,null
1972-12-04,null,null,null,null,null,null
1972-12-05,null,null,null,null,null,null
1972-12-06,null,null,null,null,null,null
1972-12-07,9.750500,9.750500,9.750500,9.750500,7.428647,0
1972-12-08,null,null,null,null,null,null
1972-12-11,null,null,null,null,null,null
1972-12-12,null,null,null,null,null,null
1972-12-13,null,null,null,null,null,null
1972-12-14,null,null,null,null,null,null
1972-12-15,null,null,null,null,null,null
1972-12-18,null,null,null,null,null,null
1972-12-19,null,null,null,null,null,null
1972-12-20,null,null,null,null,null,null
1972-12-21,9.219100,9.219100,9.219100,9.219100,7.023786,0
1972-12-22,null,null,null,null,null,null
1972-12-26,null,null,null,null,null,null
1972-12-27,null,null,null,null,null,null
1972-12-29,null,null,null,null,null,null
1973-01-02,null,null,null,null,null,null
1973-01-03,null,null,null,null,null,null
1973-01-04,null,null,null,null,null,null
1973-01-05,null,null,null,null,null,null
1973-01-08,null,null,null,null,null,null
1973-01-09,null,null,null,null,null,null
1973-01-10,null,null,null,null,null,null
1973-01-11,null,null,null,null,null,null
1973-01-12,null,null,null,null,null,null
1973-01-15,null,null,null,null,null,null
1973-01-16,null,null,null,null,null,null
1973-01-17,null,null,null,null,null,null
1973-01-18,null,null,null,null,null,null
1973-01-19,null,null,null,null,null,null
1973-01-22,10.625600,10.625600,10.625600,10.625600,8.095354,0
1973-01-23,null,null,null,null,null,null
1973-01-24,null,null,null,null,null,null
1973-01-26,null,null,null,null,null,null
1973-01-29,null,null,null,null,null,null
1973-01-30,null,null,null,null,null,null
1973-01-31,null,null,null,null,null,null
1973-02-01,null,null,null,null,null,null
1973-02-02,null,null,null,null,null,null
1973-02-05,null,null,null,null,null,null
1973-02-06,null,null,null,null,null,null
1973-02-07,null,null,null,null,null,null
1973-02-08,null,null,null,null,null,null
1973-02-09,null,null,null,null,null,null
1973-02-12,null,null,null,null,null,null
1973-02-13,null,null,null,null,null,null
1973-02-14,null,null,null,null,null,null
1973-02-15,null,null,null,null,null,null
1973-02-16,null,null,null,null,null,null
1973-02-20,null,null,null,null,null,null
1973-02-21,9.969200,9.969200,9.969200,9.969200,7.595270,47200
1973-02-22,9.969200,9.969200,9.969200,9.969200,7.595270,41200
1973-02-23,9.500500,9.500500,9.500500,9.500500,7.238176,80800
1973-02-26,9.094100,9.094100,9.094100,9.094100,6.928551,130800
1973-02-27,9.000500,9.000500,9.000500,9.000500,6.857238,84800
1973-02-28,9.500500,9.500500,9.500500,9.500500,7.238176,89600
1973-03-01,9.344100,9.344100,9.344100,9.344100,7.119019,164000
1973-03-02,9.500500,9.500500,9.500500,9.500500,7.238176,45200
1973-03-05,9.563200,9.563200,9.563200,9.563200,7.285947,71200
1973-03-06,9.750500,9.750500,9.750500,9.750500,7.428647,90800
1973-03-07,9.469100,9.469100,9.469100,9.469100,7.214252,123200
1973-03-08,9.594100,9.594100,9.594100,9.594100,7.309489,54000
1973-03-09,9.469100,9.469100,9.469100,9.469100,7.214252,37200
1973-03-12,9.531900,9.531900,9.531900,9.531900,7.262101,21200
1973-03-13,9.781900,9.781900,9.781900,9.781900,7.452569,42400
1973-03-14,9.750500,9.750500,9.750500,9.750500,7.428647,14000
1973-03-15,9.531900,9.531900,9.531900,9.531900,7.262101,67200
1973-03-16,9.531900,9.531900,9.531900,9.531900,7.262101,42000
1973-03-19,9.281800,9.281800,9.281800,9.281800,7.071554,20000
1973-03-20,9.188200,9.188200,9.188200,9.188200,7.000245,50800
1973-03-21,8.719100,8.719100,8.719100,8.719100,6.642850,48000
1973-03-22,8.406800,8.406800,8.406800,8.406800,6.404914,108000
1973-03-23,8.875500,8.875500,8.875500,8.875500,6.762006,47600
1973-03-26,8.875500,8.875500,8.875500,8.875500,6.762006,34400
1973-03-27,9.000500,9.000500,9.000500,9.000500,6.857238,34800
1973-03-28,9.000500,9.000500,9.000500,9.000500,6.857238,34000
1973-03-29,9.500500,9.500500,9.500500,9.500500,7.238176,104800
