Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,2.289063,2.328125,2.250000,2.328125,1.022396,167200
1982-01-04,2.296875,2.312500,2.281250,2.281250,1.001811,69600
1982-01-05,2.265625,2.281250,2.234375,2.250000,0.988088,282400
1982-01-06,2.250000,2.250000,2.234375,2.234375,0.981226,746400
1982-01-07,2.250000,2.265625,2.218750,2.250000,0.988088,1056800
1982-01-08,2.250000,2.250000,2.234375,2.234375,0.981226,403200
1982-01-11,2.234375,2.250000,2.218750,2.218750,0.974364,502400
1982-01-12,2.234375,2.250000,2.203125,2.234375,0.981226,344800
1982-01-13,2.234375,2.250000,2.203125,2.218750,0.974364,237600
1982-01-14,2.218750,2.250000,2.187500,2.250000,0.988088,252000
1982-01-15,2.234375,2.250000,2.218750,2.218750,0.974364,523200
1982-01-18,2.234375,2.265625,2.203125,2.250000,0.988088,1033600
1982-01-19,2.203125,2.234375,2.156250,2.156250,0.960254,94400
1982-01-20,2.156250,2.171875,2.140625,2.171875,0.967213,110400
1982-01-21,2.171875,2.187500,2.140625,2.171875,0.967213,288000
1982-01-22,2.296875,2.421875,2.156250,2.390625,1.064630,1112000
1982-01-25,3.078125,3.125000,3.031250,3.031250,1.349922,6201600
1982-01-26,3.281250,3.421875,3.125000,3.359375,1.496048,10124000
1982-01-27,3.328125,3.406250,3.250000,3.406250,1.516923,7451200
1982-01-28,3.437500,3.500000,3.375000,3.437500,1.530841,6950400
1982-01-29,3.359375,3.453125,3.265625,3.375000,1.503006,12292800
1982-02-01,3.375000,3.421875,3.312500,3.343750,1.489090,8064800
1982-02-02,3.328125,3.328125,3.312500,3.312500,1.475172,3766400
1982-02-03,3.375000,3.421875,3.312500,3.343750,1.489090,8153600
1982-02-04,3.312500,3.359375,3.265625,3.281250,1.461256,5224000
1982-02-05,3.187500,3.281250,3.093750,3.234375,1.440381,2205600
1982-02-08,3.093750,3.156250,3.031250,3.125000,1.391673,1417600
1982-02-09,3.156250,3.281250,3.031250,3.281250,1.461256,1716800
1982-02-10,3.109375,3.125000,3.078125,3.093750,1.377756,677600
1982-02-11,3.093750,3.093750,3.093750,3.093750,1.377756,0
1982-02-12,3.296875,3.312500,3.265625,3.281250,1.461256,3533600
1982-02-16,3.187500,3.218750,3.140625,3.140625,1.398632,2309600
1982-02-17,3.125000,3.156250,3.078125,3.125000,1.391673,1630400
1982-02-18,3.125000,3.156250,3.078125,3.093750,1.377756,947200
1982-02-19,3.078125,3.093750,3.062500,3.062500,1.363839,783200
1982-02-22,3.046875,3.078125,3.015625,3.015625,1.342964,1411200
1982-02-23,3.031250,3.062500,3.000000,3.062500,1.363839,1359200
1982-02-24,3.062500,3.078125,3.031250,3.046875,1.356881,1899200
1982-02-25,3.078125,3.109375,3.031250,3.062500,1.363839,1720000
1982-02-26,2.734375,2.875000,2.593750,2.656250,1.182921,1608800
1982-03-01,2.734375,2.843750,2.609375,2.843750,1.266422,2062400
1982-03-02,2.718750,2.796875,2.640625,2.656250,1.182921,1734400
