Date,Open,High,Low,Close,Adj Close,Volume
1972-06-05,0.617446,0.617446,0.617446,0.617446,0.264276,0
1972-06-06,null,null,null,null,null,null
1972-06-07,0.609642,0.609642,0.609642,0.609642,0.260936,0
1972-06-08,null,null,null,null,null,null
1972-06-09,null,null,null,null,null,null
1972-06-12,null,null,null,null,null,null
1972-06-13,null,null,null,null,null,null
1972-06-14,0.625250,0.625250,0.625250,0.625250,0.267616,0
1972-06-15,null,null,null,null,null,null
1972-06-16,0.633151,0.633151,0.633151,0.633151,0.270998,0
1972-06-19,null,null,null,null,null,null
1972-06-20,null,null,null,null,null,null
1972-06-21,0.640955,0.640955,0.640955,0.640955,0.274338,0
1972-06-22,null,null,null,null,null,null
1972-06-23,0.633151,0.633151,0.633151,0.633151,0.270998,0
1972-06-26,0.633151,0.633151,0.633151,0.633151,0.270998,0
1972-06-27,null,null,null,null,null,null
1972-06-28,0.648758,0.648758,0.648758,0.648758,0.277678,0
1972-06-29,null,null,null,null,null,null
1972-06-30,null,null,null,null,null,null
1972-07-03,0.625250,0.625250,0.625250,0.625250,0.267616,0
1972-07-05,null,null,null,null,null,null
1972-07-06,null,null,null,null,null,null
1972-07-07,null,null,null,null,null,null
1972-07-10,null,null,null,null,null,null
1972-07-11,null,null,null,null,null,null
1972-07-12,null,null,null,null,null,null
1972-07-13,null,null,null,null,null,null
1972-07-14,null,null,null,null,null,null
1972-07-17,null,null,null,null,null,null
1972-07-18,null,null,null,null,null,null
1972-07-19,0.586235,0.586235,0.586235,0.586235,0.250917,0
1972-07-20,null,null,null,null,null,null
1972-07-21,0.609642,0.609642,0.609642,0.609642,0.260936,0
1972-07-24,null,null,null,null,null,null
1972-07-25,null,null,null,null,null,null
1972-07-26,0.648758,0.648758,0.648758,0.648758,0.277678,0
1972-07-27,0.648758,0.648758,0.648758,0.648758,0.277678,0
1972-07-28,null,null,null,null,null,null
1972-07-31,null,null,null,null,null,null
1972-08-01,null,null,null,null,null,null
1972-08-02,null,null,null,null,null,null
1972-08-03,0.664366,0.664366,0.664366,0.664366,0.284359,0
1972-08-04,null,null,null,null,null,null
1972-08-07,null,null,null,null,null,null
1972-08-08,null,null,null,null,null,null
1972-08-09,null,null,null,null,null,null
1972-08-10,null,null,null,null,null,null
1972-08-11,null,null,null,null,null,null
1972-08-14,null,null,null,null,null,null
1972-08-15,null,null,null,null,null,null
1972-08-16,null,null,null,null,null,null
1972-08-17,0.766005,0.766005,0.766005,0.766005,0.327862,0
1972-08-18,null,null,null,null,null,null
1972-08-21,null,null,null,null,null,null
1972-08-22,0.789416,0.789416,0.789416,0.789416,0.337882,0
1972-08-23,null,null,null,null,null,null
1972-08-24,null,null,null,null,null,null
1972-08-25,0.750300,0.750300,0.750300,0.750300,0.321140,0
