Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,3.541667,3.541667,3.447917,3.458333,1.259487,276000
1970-01-05,3.458333,3.489583,3.437500,3.447917,1.255694,103200
1970-01-06,3.447917,3.447917,3.343750,3.364583,1.225344,105600
1970-01-07,3.333333,3.333333,3.239583,3.260417,1.187407,201600
1970-01-08,3.260417,3.333333,3.250000,3.270833,1.191201,325200
1970-01-09,3.270833,3.270833,3.208333,3.208333,1.168440,345600
1970-01-12,3.208333,3.239583,3.145833,3.187500,1.160853,414000
1970-01-13,3.197917,3.239583,3.197917,3.229167,1.176027,297600
1970-01-14,3.229167,3.260417,3.177083,3.260417,1.187407,256800
1970-01-15,3.260417,3.260417,3.218750,3.250000,1.183614,201600
1970-01-16,3.250000,3.281250,3.208333,3.208333,1.168440,217200
1970-01-19,3.208333,3.239583,3.177083,3.208333,1.168440,178800
1970-01-20,3.208333,3.250000,3.177083,3.208333,1.168440,279600
1970-01-21,3.208333,3.229167,3.145833,3.187500,1.160853,292800
1970-01-22,3.187500,3.229167,3.166667,3.177083,1.157059,216000
1970-01-23,3.177083,3.260417,3.166667,3.166667,1.153265,247200
1970-01-26,3.166667,3.166667,3.041667,3.072917,1.119123,198000
1970-01-27,3.062500,3.062500,3.010417,3.020833,1.100154,204000
1970-01-28,3.020833,3.083333,3.010417,3.052083,1.111535,276000
1970-01-29,3.052083,3.093750,3.020833,3.041667,1.107742,241200
1970-01-30,3.041667,3.093750,3.000000,3.031250,1.103949,547200
1970-02-02,3.041667,3.156250,3.041667,3.041667,1.107742,172800
1970-02-03,3.041667,3.156250,3.041667,3.104167,1.130503,806400
1970-02-04,3.104167,3.114583,3.041667,3.062500,1.115328,346800
1970-02-05,3.052083,3.052083,3.000000,3.041667,1.107742,277200
1970-02-06,3.041667,3.083333,3.000000,3.031250,1.103949,196800
1970-02-09,3.031250,3.135417,3.020833,3.083333,1.122917,87600
1970-02-10,3.083333,3.135417,3.072917,3.114583,1.134296,237600
1970-02-11,3.114583,3.218750,3.093750,3.145833,1.145678,242400
1970-02-12,3.145833,3.156250,3.104167,3.104167,1.130503,181200
1970-02-13,3.104167,3.135417,3.093750,3.104167,1.130503,562800
1970-02-16,3.104167,3.145833,3.104167,3.114583,1.134296,157200
1970-02-17,3.114583,3.125000,3.093750,3.104167,1.130503,166800
1970-02-18,3.104167,3.156250,3.083333,3.135417,1.141884,1314000
1970-02-19,3.145833,3.270833,3.145833,3.260417,1.187407,788400
1970-02-20,3.260417,3.354167,3.197917,3.270833,1.191201,291600
1970-02-24,3.270833,3.354167,3.260417,3.333333,1.213964,169200
1970-02-25,3.333333,3.375000,3.312500,3.354167,1.221550,226800
1970-02-26,3.343750,3.343750,3.291667,3.312500,1.206376,88800
1970-02-27,3.312500,3.354167,3.302083,3.312500,1.206376,99600
1970-03-02,3.322917,3.468750,3.322917,3.364583,1.225344,298800
1970-03-03,3.364583,3.427083,3.333333,3.333333,1.213964,459600
1970-03-04,3.354167,3.437500,3.354167,3.395833,1.236724,265200
1970-03-05,3.395833,3.447917,3.395833,3.427083,1.248106,217200
1970-03-06,3.427083,3.458333,3.416667,3.427083,1.248106,255600
1970-03-09,3.395833,3.395833,3.354167,3.385417,1.232931,130800
1970-03-10,3.385417,3.385417,3.343750,3.354167,1.221550,91200
1970-03-11,3.354167,3.375000,3.343750,3.343750,1.217757,111600
1970-03-12,3.343750,3.375000,3.333333,3.354167,1.221550,130800
1970-03-13,3.364583,3.385417,3.364583,3.385417,1.232931,372000
1970-03-16,3.385417,3.385417,3.354167,3.354167,1.221550,133200
1970-03-17,3.354167,3.406250,3.333333,3.406250,1.240519,824400
1970-03-18,3.458333,3.583333,3.458333,3.510417,1.278455,811200
1970-03-19,3.510417,3.562500,3.500000,3.541667,1.289837,140400
1970-03-20,3.541667,3.552083,3.468750,3.489583,1.270867,118800
1970-03-23,3.500000,3.572917,3.500000,3.541667,1.289837,260400
1970-03-24,3.541667,3.656250,3.520833,3.541667,1.289837,430800
1970-03-25,3.541667,3.729167,3.520833,3.666667,1.335360,996000
1970-03-26,3.666667,3.708333,3.656250,3.687500,1.342946,373200
