Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,11.099500,11.204875,10.994125,11.169750,0.399843,24555
1970-01-05,11.169750,11.345375,11.169750,11.345375,0.406130,13879
1970-01-06,11.310250,11.310250,11.029250,11.134625,0.398586,15302
1970-01-07,11.099500,11.099500,10.713125,10.959000,0.392299,10676
1970-01-08,10.959000,10.959000,10.853625,10.959000,0.392299,18149
1970-01-09,10.959000,10.959000,10.888750,10.888750,0.389784,7117
1970-01-12,11.029250,11.134625,11.029250,11.134625,0.398586,13167
1970-01-13,11.134625,11.169750,11.064375,11.099500,0.397328,18149
1970-01-14,11.099500,11.099500,10.959000,10.959000,0.392299,24555
1970-01-15,10.959000,11.099500,10.818500,10.818500,0.387270,11032
1970-01-16,10.818500,10.959000,10.748250,10.959000,0.392299,25267
1970-01-19,10.959000,10.959000,10.748250,10.748250,0.384755,19929
1970-01-20,10.748250,10.959000,10.748250,10.818500,0.387270,8897
1970-01-21,10.818500,10.818500,10.678000,10.818500,0.387270,17794
1970-01-22,10.818500,10.818500,10.713125,10.713125,0.383497,11388
1970-01-23,10.713125,10.818500,10.502375,10.537500,0.377210,32740
1970-01-26,10.537500,10.607750,10.432125,10.432125,0.373438,9964
1970-01-27,10.432125,10.502375,10.397000,10.467250,0.374696,3203
1970-01-28,10.432125,10.432125,10.397000,10.397000,0.372181,22776
1970-01-29,10.502375,10.572625,10.502375,10.502375,0.375953,14591
1970-01-30,10.502375,10.678000,10.467250,10.467250,0.374696,20641
1970-02-02,10.467250,10.467250,10.326750,10.467250,0.374696,12456
1970-02-03,10.502375,10.642875,10.502375,10.572625,0.378468,13879
1970-02-04,10.572625,10.818500,10.537500,10.642875,0.380983,29181
1970-02-05,10.642875,10.713125,10.326750,10.502375,0.375953,29537
1970-02-06,10.397000,10.397000,10.291625,10.326750,0.372657,34164
1970-02-09,10.326750,10.678000,10.291625,10.432125,0.376460,16726
1970-02-10,10.397000,10.397000,10.291625,10.291625,0.371390,20641
1970-02-11,10.291625,10.397000,10.221375,10.397000,0.375193,22064
1970-02-12,10.397000,10.397000,10.326750,10.326750,0.372657,3915
1970-02-13,10.397000,10.502375,10.397000,10.397000,0.375193,9253
1970-02-16,10.397000,10.713125,10.326750,10.678000,0.385333,88968
1970-02-17,10.678000,10.783375,10.642875,10.783375,0.389136,11744
1970-02-18,10.783375,10.959000,10.678000,10.959000,0.395473,98932
