Date,Open,High,Low,Close,Adj Close,Volume
1980-11-03,0.391204,0.391204,0.381944,0.391204,0.128663,4460400
1980-11-05,0.394676,0.420139,0.394676,0.394676,0.129805,8208000
1980-11-06,0.394676,0.394676,0.381944,0.386574,0.127141,2613600
1980-11-07,0.385417,0.385417,0.380787,0.384259,0.126379,1987200
1980-11-10,0.384259,0.387731,0.384259,0.385417,0.126760,3261600
1980-11-11,0.387731,0.403935,0.387731,0.398148,0.130947,6663600
1980-11-12,0.400463,0.416667,0.400463,0.412037,0.135515,8607600
1980-11-13,0.414352,0.422454,0.414352,0.422454,0.138941,6080400
1980-11-14,0.422454,0.427083,0.416667,0.421296,0.138560,6264000
1980-11-17,0.417824,0.417824,0.415509,0.417824,0.137418,7797600
1980-11-18,0.417824,0.429398,0.416667,0.424769,0.139703,8704800
1980-11-19,0.424769,0.430556,0.423611,0.424769,0.139703,17442000
1980-11-20,0.424769,0.425926,0.416667,0.417824,0.137418,4428000
1980-11-21,0.417824,0.421296,0.417824,0.421296,0.138560,15076800
1980-11-24,0.421296,0.421296,0.414352,0.420139,0.138180,10303200
1980-11-25,0.420139,0.422454,0.416667,0.421296,0.138560,7128000
1980-11-26,0.421296,0.421296,0.417824,0.418981,0.137799,8812800
1980-11-28,0.420139,0.421296,0.420139,0.421296,0.138560,4633200
1980-12-01,0.421296,0.421296,0.414352,0.417824,0.137418,12592800
1980-12-02,0.416667,0.416667,0.408565,0.412037,0.135515,6534000
1980-12-03,0.412037,0.416667,0.407407,0.415509,0.136657,6166800
1980-12-04,0.415509,0.421296,0.415509,0.420139,0.138180,8143200
1980-12-05,0.417824,0.417824,0.409722,0.412037,0.135515,7808400
1980-12-08,0.409722,0.409722,0.395833,0.403935,0.132850,8748000
1980-12-09,0.403935,0.407407,0.398148,0.406250,0.133612,7365600
1980-12-10,0.406250,0.414352,0.406250,0.406250,0.133612,9925200
1980-12-11,0.400463,0.400463,0.386574,0.390046,0.128282,9774000
1980-12-12,0.390046,0.400463,0.388889,0.398148,0.130947,5778000
1980-12-15,0.402778,0.407407,0.402778,0.407407,0.133992,11383200
1980-12-16,0.407407,0.407407,0.398148,0.401620,0.132089,61732800
1980-12-17,0.401620,0.407407,0.399306,0.406250,0.133612,5929200
1980-12-18,0.407407,0.420139,0.407407,0.414352,0.136277,8964000
1980-12-19,0.414352,0.418981,0.413194,0.415509,0.136657,2062800
1980-12-22,0.418981,0.425926,0.418981,0.424769,0.139703,5032800
1980-12-23,0.425926,0.435185,0.425926,0.434028,0.142748,7657200
1980-12-24,0.434028,0.450231,0.432870,0.447917,0.147316,7808400
1980-12-26,0.447917,0.457176,0.442130,0.449074,0.147696,3596400
1980-12-29,0.449074,0.454861,0.438657,0.438657,0.144270,5659200
1980-12-30,0.438657,0.439815,0.431713,0.439815,0.144651,2667600
1980-12-31,0.439815,0.442130,0.436343,0.442130,0.145412,4752000
1981-01-02,0.442130,0.447917,0.440972,0.443287,0.145793,3261600
1981-01-05,0.443287,0.452546,0.439815,0.451389,0.148458,6717600
1981-01-06,0.451389,0.460648,0.451389,0.453704,0.149219,12387600
1981-01-07,0.453704,0.453704,0.416667,0.444444,0.146174,24094800
1981-01-08,0.444444,0.451389,0.438657,0.438657,0.144270,15411600
1981-01-09,0.438657,0.445602,0.430556,0.432870,0.142367,17280000
1981-01-12,0.434028,0.442130,0.434028,0.436343,0.143509,19839600
1981-01-13,0.435185,0.435185,0.429398,0.432870,0.142367,14245200
1981-01-14,0.432870,0.436343,0.431713,0.431713,0.141986,8294400
1981-01-15,0.432870,0.437500,0.432870,0.437500,0.143890,4903200
1981-01-16,0.440972,0.450231,0.440972,0.447917,0.147316,8985600
1981-01-19,0.453704,0.461806,0.453704,0.460648,0.151503,10864800
