Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,3.578125,3.541667,3.552083,0.793577,314400
1972-06-02,3.552083,3.562500,3.541667,3.552083,0.793577,1396800
1972-06-05,3.552083,3.557292,3.531250,3.536458,0.790086,372000
1972-06-06,3.541667,3.562500,3.541667,3.541667,0.791250,177600
1972-06-07,3.526042,3.526042,3.479167,3.479167,0.777286,379200
1972-06-08,3.479167,3.510417,3.479167,3.489583,0.779613,552000
1972-06-09,3.489583,3.500000,3.468750,3.500000,0.781941,177600
1972-06-12,3.500000,3.510417,3.468750,3.500000,0.781941,506400
1972-06-13,3.500000,3.510417,3.479167,3.500000,0.781941,288000
1972-06-14,3.500000,3.515625,3.489583,3.489583,0.779613,789600
1972-06-15,3.489583,3.526042,3.489583,3.510417,0.784268,220800
1972-06-16,3.510417,3.520833,3.458333,3.463542,0.773795,96000
1972-06-19,3.463542,3.515625,3.447917,3.515625,0.785432,124800
1972-06-20,3.520833,3.541667,3.520833,3.526042,0.787759,206400
1972-06-21,3.531250,3.572917,3.531250,3.572917,0.798231,232800
1972-06-22,3.572917,3.572917,3.552083,3.562500,0.795904,336000
1972-06-23,3.562500,3.583333,3.531250,3.536458,0.790086,242400
1972-06-26,3.536458,3.536458,3.520833,3.520833,0.786595,237600
1972-06-27,3.531250,3.562500,3.531250,3.546875,0.792413,285600
1972-06-28,3.541667,3.541667,3.520833,3.531250,0.788922,139200
1972-06-29,3.531250,3.562500,3.489583,3.562500,0.795904,278400
1972-06-30,3.567708,3.598958,3.546875,3.546875,0.792413,153600
1972-07-03,3.546875,3.552083,3.536458,3.541667,0.791250,134400
1972-07-05,3.552083,3.645833,3.552083,3.635417,0.812195,148800
1972-07-06,3.656250,3.697917,3.656250,3.677083,0.821503,391200
1972-07-07,3.677083,3.682292,3.645833,3.645833,0.814521,175200
1972-07-10,3.640625,3.640625,3.614583,3.614583,0.807540,201600
1972-07-11,3.593750,3.593750,3.557292,3.578125,0.799395,117600
1972-07-12,3.578125,3.598958,3.572917,3.572917,0.798231,242400
1972-07-13,3.572917,3.572917,3.546875,3.572917,0.798231,120000
1972-07-14,3.572917,3.593750,3.562500,3.578125,0.799395,182400
1972-07-17,3.578125,3.588542,3.567708,3.583333,0.800558,170400
1972-07-18,3.583333,3.604167,3.562500,3.604167,0.805213,158400
1972-07-19,3.604167,3.645833,3.598958,3.614583,0.807540,307200
1972-07-20,3.619792,3.666667,3.619792,3.666667,0.819175,76800
1972-07-21,3.666667,3.687500,3.645833,3.677083,0.821503,184800
1972-07-24,3.677083,3.755208,3.666667,3.755208,0.838957,194400
1972-07-25,3.755208,3.843750,3.739583,3.739583,0.835466,391200
1972-07-26,3.739583,3.750000,3.723958,3.734375,0.834302,196800
1972-07-27,3.734375,3.750000,3.718750,3.750000,0.837794,446400
1972-07-28,3.750000,3.750000,3.692708,3.718750,0.830812,218400
1972-07-31,3.718750,3.718750,3.703125,3.718750,0.830812,144000
1972-08-01,3.729167,3.760417,3.729167,3.739583,0.835466,206400
1972-08-02,3.739583,3.744792,3.729167,3.729167,0.833139,1514400
1972-08-03,3.729167,3.744792,3.729167,3.744792,0.836630,350400
1972-08-04,3.744792,3.744792,3.723958,3.739583,0.835466,148800
1972-08-07,3.739583,3.744792,3.708333,3.713542,0.829648,216000
1972-08-08,3.729167,3.744792,3.729167,3.744792,0.836630,100800
1972-08-09,3.744792,3.770833,3.744792,3.770833,0.842448,741600
1972-08-10,3.770833,3.791667,3.760417,3.781250,0.844775,302400
1972-08-11,3.791667,3.807292,3.791667,3.791667,0.847103,91200
1972-08-14,3.791667,3.812500,3.776042,3.796875,0.851072,667200
1972-08-15,3.796875,3.807292,3.781250,3.802083,0.852239,268800
1972-08-16,3.802083,3.802083,3.776042,3.781250,0.847569,420000
1972-08-17,3.776042,3.776042,3.729167,3.729167,0.835895,379200
1972-08-18,3.729167,3.744792,3.723958,3.734375,0.837061,232800
1972-08-21,3.734375,3.744792,3.729167,3.739583,0.838229,244800
1972-08-22,3.739583,3.744792,3.729167,3.744792,0.839397,364800
1972-08-23,3.739583,3.739583,3.687500,3.697917,0.828890,314400
1972-08-24,3.697917,3.718750,3.687500,3.687500,0.826556,105600
1972-08-25,3.687500,3.703125,3.671875,3.671875,0.823053,81600
1972-08-28,3.671875,3.682292,3.666667,3.677083,0.824220,177600
1972-08-29,3.677083,3.687500,3.666667,3.687500,0.826556,343200
1972-08-30,3.687500,3.708333,3.687500,3.687500,0.826556,127200
1972-08-31,3.687500,3.734375,3.687500,3.734375,0.837061,278400
1972-09-01,3.734375,3.739583,3.708333,3.723958,0.834727,196800
1972-09-05,3.723958,3.729167,3.697917,3.729167,0.835895,117600
1972-09-06,3.729167,3.739583,3.723958,3.729167,0.835895,115200
1972-09-07,3.718750,3.718750,3.692708,3.718750,0.833560,93600
1972-09-08,3.718750,3.729167,3.697917,3.708333,0.831225,62400
1972-09-11,3.703125,3.703125,3.635417,3.635417,0.814881,136800
1972-09-12,3.635417,3.645833,3.625000,3.645833,0.817216,280800
1972-09-13,3.645833,3.682292,3.635417,3.666667,0.821886,156000
1972-09-14,3.666667,3.671875,3.640625,3.656250,0.819551,163200
1972-09-15,3.635417,3.635417,3.572917,3.572917,0.800872,427200
1972-09-18,3.572917,3.593750,3.541667,3.572917,0.800872,211200
1972-09-19,3.572917,3.588542,3.546875,3.562500,0.798537,141600
1972-09-20,3.557292,3.557292,3.510417,3.557292,0.797369,276000
1972-09-21,3.557292,3.557292,3.510417,3.557292,0.797369,240000
1972-09-22,3.557292,3.562500,3.531250,3.541667,0.793867,314400
1972-09-25,3.541667,3.552083,3.531250,3.552083,0.796202,271200
1972-09-26,3.552083,3.557292,3.526042,3.541667,0.793867,523200
1972-09-27,3.541667,3.588542,3.536458,3.588542,0.804374,297600
1972-09-28,3.588542,3.692708,3.578125,3.692708,0.827722,357600
1972-09-29,3.703125,3.739583,3.703125,3.739583,0.838229,199200
1972-10-02,3.718750,3.718750,3.666667,3.677083,0.824220,264000
1972-10-03,3.677083,3.682292,3.666667,3.671875,0.823053,93600
1972-10-04,3.671875,3.671875,3.651042,3.656250,0.819551,112800
1972-10-05,3.656250,3.666667,3.625000,3.656250,0.819551,938400
1972-10-06,3.656250,3.739583,3.645833,3.729167,0.835895,657600
1972-10-09,3.708333,3.708333,3.697917,3.708333,0.831225,151200
1972-10-10,3.708333,3.729167,3.687500,3.687500,0.826556,156000
1972-10-11,3.687500,3.697917,3.666667,3.682292,0.825388,206400
1972-10-12,3.682292,3.687500,3.625000,3.635417,0.814881,194400
1972-10-13,3.625000,3.625000,3.593750,3.604167,0.807877,235200
1972-10-16,3.604167,3.614583,3.572917,3.614583,0.810211,91200
1972-10-17,3.625000,3.687500,3.625000,3.687500,0.826556,192000
1972-10-18,3.687500,3.703125,3.645833,3.703125,0.830057,196800
1972-10-19,3.703125,3.708333,3.682292,3.697917,0.828890,134400
1972-10-20,3.697917,3.723958,3.692708,3.708333,0.831225,91200
1972-10-23,3.708333,3.723958,3.687500,3.692708,0.827722,321600
1972-10-24,3.692708,3.708333,3.687500,3.697917,0.828890,600000
1972-10-25,3.697917,3.729167,3.697917,3.713542,0.832392,86400
1972-10-26,3.739583,3.786458,3.739583,3.750000,0.840565,268800
1972-10-27,3.750000,3.765625,3.708333,3.734375,0.837061,578400
1972-10-30,3.734375,3.760417,3.713542,3.713542,0.832392,340800
1972-10-31,3.718750,3.750000,3.718750,3.750000,0.840565,290400
1972-11-01,3.750000,3.760417,3.744792,3.760417,0.842900,316800
1972-11-02,3.781250,3.833333,3.781250,3.791667,0.849904,789600
1972-11-03,3.796875,3.828125,3.796875,3.828125,0.858077,230400
1972-11-06,3.828125,3.828125,3.802083,3.822917,0.856909,211200
1972-11-08,3.833333,3.890625,3.833333,3.885417,0.870918,376800
1972-11-09,3.885417,3.927083,3.880208,3.927083,0.880258,220800
1972-11-10,3.937500,4.015625,3.937500,3.953125,0.886095,372000
1972-11-13,3.937500,3.937500,3.916667,3.932292,0.884222,148800
1972-11-14,3.932292,3.942708,3.916667,3.921875,0.881879,468000
1972-11-15,3.921875,3.937500,3.885417,3.901042,0.877194,259200
1972-11-16,3.901042,3.901042,3.854167,3.895833,0.876023,192000
1972-11-17,3.895833,3.916667,3.885417,3.916667,0.880708,180000
1972-11-20,3.916667,3.916667,3.864583,3.875000,0.871339,141600
1972-11-21,3.875000,3.895833,3.875000,3.875000,0.871339,91200
1972-11-22,3.875000,3.875000,3.833333,3.833333,0.861969,139200
1972-11-24,3.812500,3.812500,3.776042,3.776042,0.849086,98400
1972-11-27,3.776042,3.791667,3.770833,3.770833,0.847915,120000
1972-11-28,3.770833,3.791667,3.750000,3.770833,0.847915,489600
1972-11-29,3.770833,3.770833,3.697917,3.697917,0.831519,132000
1972-11-30,3.697917,3.718750,3.697917,3.708333,0.833862,124800
1972-12-01,3.708333,3.739583,3.708333,3.729167,0.838546,295200
1972-12-04,3.718750,3.718750,3.682292,3.697917,0.831519,146400
1972-12-05,3.697917,3.697917,3.666667,3.697917,0.831519,362400
1972-12-06,3.697917,3.734375,3.697917,3.729167,0.838546,489600
1972-12-07,3.750000,3.781250,3.750000,3.765625,0.846744,379200
1972-12-08,3.791667,3.854167,3.791667,3.791667,0.852601,388800
1972-12-11,3.791667,3.822917,3.791667,3.822917,0.859628,129600
1972-12-12,3.822917,3.854167,3.796875,3.854167,0.866654,410400
1972-12-13,3.854167,3.864583,3.843750,3.854167,0.866654,189600
1972-12-14,3.854167,3.875000,3.843750,3.869792,0.870168,211200
1972-12-15,3.869792,3.906250,3.854167,3.895833,0.876023,230400
1972-12-18,3.885417,3.885417,3.833333,3.843750,0.864311,220800
1972-12-19,3.843750,3.843750,3.802083,3.802083,0.854942,213600
1972-12-20,3.802083,3.833333,3.770833,3.807292,0.856113,278400
1972-12-21,3.807292,3.833333,3.776042,3.776042,0.849086,184800
1972-12-22,3.776042,3.786458,3.760417,3.781250,0.850258,192000
1972-12-26,3.781250,3.786458,3.760417,3.770833,0.847915,175200
1972-12-27,3.770833,3.828125,3.770833,3.770833,0.847915,309600
1972-12-29,3.786458,3.833333,3.786458,3.802083,0.854942,403200
1973-01-02,3.802083,3.822917,3.770833,3.770833,0.847915,105600
1973-01-03,3.770833,3.770833,3.739583,3.750000,0.843231,374400
1973-01-04,3.750000,3.765625,3.739583,3.750000,0.843231,201600
1973-01-05,3.755208,3.786458,3.755208,3.770833,0.847915,316800
1973-01-08,3.791667,3.833333,3.791667,3.833333,0.861969,746400
1973-01-09,3.833333,3.869792,3.822917,3.854167,0.866654,288000
1973-01-10,3.854167,3.869792,3.843750,3.854167,0.866654,122400
1973-01-11,3.854167,3.958333,3.848958,3.932292,0.884222,422400
1973-01-12,3.932292,3.947917,3.890625,3.927083,0.883050,396000
1973-01-15,3.927083,3.958333,3.875000,3.875000,0.871339,194400
1973-01-16,3.875000,3.906250,3.875000,3.895833,0.876023,652800
1973-01-17,3.895833,3.901042,3.843750,3.843750,0.864311,177600
1973-01-18,3.843750,3.906250,3.843750,3.901042,0.877194,360000
1973-01-19,3.901042,3.916667,3.885417,3.916667,0.880708,170400
1973-01-22,3.916667,3.963542,3.916667,3.963542,0.891248,211200
1973-01-23,3.963542,3.963542,3.927083,3.947917,0.887735,163200
1973-01-24,3.947917,3.979167,3.937500,3.937500,0.885392,136800
1973-01-26,3.937500,3.958333,3.843750,3.916667,0.880708,367200
1973-01-29,3.916667,3.937500,3.864583,3.875000,0.871339,122400
1973-01-30,3.875000,3.885417,3.848958,3.875000,0.871339,153600
1973-01-31,3.875000,3.895833,3.864583,3.864583,0.868997,333600
1973-02-01,3.864583,3.885417,3.833333,3.833333,0.861969,292800
1973-02-02,3.833333,3.864583,3.833333,3.833333,0.861969,268800
1973-02-05,3.833333,3.833333,3.802083,3.812500,0.857285,122400
1973-02-06,3.812500,3.833333,3.770833,3.802083,0.854942,175200
1973-02-07,3.802083,3.864583,3.802083,3.864583,0.868997,206400
1973-02-08,3.864583,3.895833,3.854167,3.869792,0.870168,583200
1973-02-09,3.869792,3.906250,3.854167,3.895833,0.878986,355200
1973-02-12,3.895833,3.916667,3.895833,3.901042,0.880161,364800
1973-02-13,3.911458,3.937500,3.911458,3.932292,0.887212,357600
1973-02-14,3.932292,3.932292,3.880208,3.890625,0.877811,120000
1973-02-15,3.890625,3.916667,3.880208,3.895833,0.878986,165600
1973-02-16,3.911458,3.947917,3.911458,3.916667,0.883686,266400
1973-02-20,3.927083,3.958333,3.927083,3.947917,0.890737,189600
1973-02-21,3.947917,3.968750,3.942708,3.942708,0.889562,273600
1973-02-22,3.937500,3.937500,3.916667,3.937500,0.888387,112800
1973-02-23,3.937500,3.968750,3.927083,3.927083,0.886037,223200
1973-02-26,3.927083,3.958333,3.906250,3.906250,0.881336,225600
1973-02-27,3.895833,3.895833,3.885417,3.885417,0.876636,91200
1973-02-28,3.885417,3.895833,3.833333,3.833333,0.864884,122400
1973-03-01,3.833333,3.854167,3.729167,3.729167,0.841382,316800
1973-03-02,3.729167,3.770833,3.697917,3.770833,0.850782,225600
