Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,4.055060,4.181548,4.045759,4.064360,3.574335,6636134
2001-06-18,4.064360,4.092262,3.984375,3.999256,3.517080,4323379
2001-06-19,4.027158,4.027158,3.869048,3.878348,3.410750,5387290
2001-06-20,3.859747,3.869048,3.683036,3.869048,3.402571,7024819
2001-06-21,3.850446,3.850446,3.718378,3.720238,3.271703,5805005
2001-06-22,3.720238,3.738839,3.720238,3.720238,3.271703,1827840
2001-06-25,3.720238,3.722098,3.720238,3.720238,3.271703,175795
2001-06-26,3.720238,3.729539,3.720238,3.722098,3.273338,979507
2001-06-27,3.720238,3.722098,3.645833,3.683036,3.238986,5565235
2001-06-28,3.683036,3.720238,3.664435,3.664435,3.222627,3022387
2001-06-29,3.664435,3.841146,3.664435,3.841146,3.378033,1049395
2001-07-02,3.841146,3.841146,3.664435,3.683036,3.238986,511258
2001-07-03,3.673735,3.673735,3.534226,3.554688,3.126112,1235405
2001-07-05,3.580729,3.627232,3.580729,3.627232,3.189910,904781
2001-07-06,3.617932,3.627232,3.608631,3.612351,3.176823,526310
2001-07-09,3.621652,3.673735,3.562128,3.562128,3.132655,2762189
2001-07-10,3.562128,3.562128,3.338914,3.348214,2.944532,4078234
2001-07-11,3.363095,3.422619,3.338914,3.366815,2.960891,3526118
2001-07-12,3.366815,3.366815,3.338914,3.366815,2.960891,1940736
2001-07-13,3.385417,3.515625,3.385417,3.476563,3.057406,2275123
2001-07-16,3.443080,3.443080,3.316592,3.338914,2.936353,934886
2001-07-17,3.320313,3.363095,3.238467,3.271949,2.877462,1885363
2001-07-18,3.253348,3.357515,3.253348,3.318452,2.918358,738662
2001-07-19,3.337054,3.450521,3.329613,3.376116,2.969070,934349
2001-07-20,3.366815,3.376116,3.329613,3.364955,2.959255,2073523
2001-07-23,3.364955,3.370536,3.329613,3.348214,2.944532,413952
2001-07-24,3.329613,3.515625,3.320313,3.348214,2.944532,1144013
2001-07-25,3.357515,3.608631,3.303571,3.571429,3.140835,1585382
2001-07-26,3.552827,3.571429,3.515625,3.552827,3.124475,516634
2001-07-27,3.524926,3.524926,3.431920,3.435640,3.021417,461798
2001-07-30,3.444940,3.454241,3.387277,3.439360,3.024689,143539
2001-07-31,3.448661,3.467262,3.301711,3.361235,2.955983,2246093
2001-08-01,3.379836,3.404018,3.346354,3.348214,2.944532,659635
