Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,4.380665,4.380665,4.380665,2.665816,3972
1973-02-22,0.000000,4.248489,4.248489,4.248489,2.585383,11916
1973-02-23,0.000000,4.191843,4.191843,4.191843,2.550910,10592
1973-02-26,0.000000,4.191843,4.191843,4.191843,2.550910,1986
1973-02-27,0.000000,4.116314,4.116314,4.116314,2.504949,5958
1973-02-28,0.000000,4.040785,4.040785,4.040785,2.458986,13902
1973-03-01,0.000000,4.021903,4.021903,4.021903,2.447496,3310
1973-03-02,0.000000,4.059668,4.059668,4.059668,2.470477,1324
1973-03-05,0.000000,4.116314,4.116314,4.116314,2.504949,4634
1973-03-06,0.000000,4.078550,4.078550,4.078550,2.481966,35748
1973-03-07,0.000000,4.078550,4.078550,4.078550,2.481966,17212
1973-03-08,0.000000,4.229607,4.229607,4.229607,2.573892,9930
1973-03-09,0.000000,4.191843,4.191843,4.191843,2.550910,3972
1973-03-12,0.000000,4.229607,4.229607,4.229607,2.573892,142330
1973-03-13,0.000000,4.286254,4.286254,4.286254,2.608364,31776
1973-03-14,4.286254,4.286254,4.286254,4.286254,2.608364,0
1973-03-15,4.286254,4.286254,4.286254,4.286254,2.608364,0
1973-03-16,0.000000,4.324018,4.324018,4.324018,2.631346,6620
1973-03-19,0.000000,4.305136,4.305136,4.305136,2.619854,662
1973-03-20,0.000000,4.267372,4.267372,4.267372,2.596874,1986
1973-03-21,4.267372,4.267372,4.267372,4.267372,2.596874,0
1973-03-22,0.000000,3.965257,3.965257,3.965257,2.413024,367410
1973-03-23,0.000000,3.870846,3.870846,3.870846,2.355571,15888
1973-03-26,0.000000,3.776435,3.776435,3.776435,2.298117,8606
1973-03-27,0.000000,3.776435,3.776435,3.776435,2.298117,69510
1973-03-28,0.000000,3.776435,3.776435,3.776435,2.298117,8606
1973-03-29,0.000000,3.927492,3.927492,3.927492,2.390043,23170
1973-03-30,0.000000,3.889728,3.889728,3.889728,2.367062,21184
1973-04-02,0.000000,3.870846,3.870846,3.870846,2.355571,3310
1973-04-03,0.000000,3.700906,3.700906,3.700906,2.252156,11916
1973-04-04,0.000000,3.776435,3.776435,3.776435,2.298117,13902
1973-04-05,0.000000,3.700906,3.700906,3.700906,2.252156,4634
1973-04-06,0.000000,3.757553,3.757553,3.757553,2.286627,80764
