Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,8.667714,8.959557,8.638530,8.930373,1.265514,75812
1970-01-05,9.076294,9.338952,9.076294,9.251399,1.311006,125068
1970-01-06,9.251399,9.280583,9.105478,9.163846,1.298599,89089
1970-01-07,9.134662,9.134662,8.901188,8.959557,1.269650,98940
1970-01-08,8.988741,9.076294,8.988741,9.047109,1.282057,78381
1970-01-09,9.017925,9.017925,8.872004,8.959557,1.269650,98512
1970-01-12,8.959557,8.988741,8.784451,8.842820,1.253108,41546
1970-01-13,8.842820,8.872004,8.755267,8.784451,1.244835,114360
1970-01-14,8.784451,8.784451,8.667714,8.755267,1.240700,40690
1970-01-15,8.755267,8.755267,8.580162,8.667714,1.228292,50541
1970-01-16,8.609346,8.609346,8.054846,8.317504,1.178665,101082
1970-01-19,8.317504,8.448833,8.317504,8.375872,1.186936,67245
1970-01-20,8.375872,8.434241,8.317504,8.405056,1.191072,80095
1970-01-21,8.405056,8.434241,8.229951,8.317504,1.178665,75812
1970-01-22,8.317504,8.405056,8.259135,8.288320,1.174530,53968
1970-01-23,8.288320,8.346688,8.113214,8.113214,1.149715,85663
1970-01-26,8.113214,8.113214,7.938109,8.054846,1.141445,61249
1970-01-27,8.054846,8.054846,7.908925,7.967293,1.129037,66817
1970-01-28,7.938109,7.938109,7.763004,7.850556,1.112495,76240
1970-01-29,7.763004,7.763004,7.529530,7.646267,1.083545,113931
1970-01-30,7.646267,7.879740,7.617082,7.675451,1.087680,67245
1970-02-02,7.733819,7.996477,7.733819,7.733819,1.095952,142628
1970-02-03,7.733819,7.996477,7.704635,7.908925,1.120766,158904
1970-02-04,7.908925,8.025662,7.908925,7.996477,1.133173,118215
1970-02-05,7.996477,8.171583,7.996477,8.142398,1.153852,43688
1970-02-06,8.200767,8.463425,8.200767,8.405056,1.191072,90802
1970-02-09,8.463425,8.609346,8.463425,8.550978,1.211750,43688
1970-02-10,8.550978,8.580162,8.434241,8.521793,1.207615,92087
1970-02-11,8.521793,8.667714,8.317504,8.638530,1.224157,145198
1970-02-12,8.638530,8.813636,8.550978,8.755267,1.240700,64247
1970-02-13,8.755267,8.755267,8.667714,8.726083,1.236565,65960
1970-02-16,8.726083,8.726083,8.288320,8.375872,1.198966,51826
1970-02-17,8.375872,8.405056,8.171583,8.171583,1.169724,172610
1970-02-18,8.200767,8.346688,8.200767,8.346688,1.194789,103652
1970-02-19,8.346688,8.492609,8.171583,8.200767,1.173901,95942
1970-02-20,8.200767,8.200767,8.054846,8.200767,1.173901,65532
1970-02-24,8.200767,8.288320,8.113214,8.113214,1.161367,64675
1970-02-25,8.113214,8.346688,8.054846,8.317504,1.190611,74527
1970-02-26,8.317504,8.317504,8.200767,8.288320,1.186434,45830
1970-02-27,8.288320,8.521793,8.229951,8.492609,1.215676,71528
1970-03-02,8.521793,8.696899,8.521793,8.580162,1.228209,87376
1970-03-03,8.580162,8.609346,8.434241,8.521793,1.219855,59107
1970-03-04,8.521793,8.580162,8.463425,8.521793,1.219855,72813
1970-03-05,8.550978,8.696899,8.550978,8.550978,1.224031,71100
1970-03-06,8.550978,8.550978,8.375872,8.463425,1.211498,110077
1970-03-09,8.463425,8.463425,8.259135,8.346688,1.194789,53539
1970-03-10,8.346688,8.405056,8.288320,8.317504,1.190611,64675
1970-03-11,8.317504,8.375872,8.259135,8.288320,1.186434,69815
1970-03-12,8.288320,8.346688,8.229951,8.317504,1.190611,49684
1970-03-13,8.317504,8.317504,8.200767,8.200767,1.173901,107507
1970-03-16,8.200767,8.259135,8.025662,8.084030,1.157191,52254
1970-03-17,8.084030,8.171583,7.996477,8.084030,1.157191,148625
1970-03-18,8.084030,8.142398,8.054846,8.084030,1.157191,329373
1970-03-19,8.084030,8.171583,8.054846,8.054846,1.153012,53539
