Date,Open,High,Low,Close,Adj Close,Volume
1991-05-16,3.625000,3.750000,3.625000,3.625000,3.625000,9143600
1991-05-17,3.500000,3.625000,3.406300,3.500000,3.500000,2748400
1991-05-20,3.500000,3.500000,3.468800,3.500000,3.500000,347600
1991-05-21,3.406300,3.468800,3.406300,3.406300,3.406300,1055600
1991-05-22,3.531300,3.531300,3.406300,3.531300,3.531300,1238000
1991-05-23,3.593800,3.593800,3.500000,3.593800,3.593800,355200
1991-05-24,3.656300,3.687500,3.593800,3.656300,3.656300,251600
1991-05-28,3.812500,3.812500,3.656300,3.812500,3.812500,423600
1991-05-29,4.062500,4.062500,3.812500,4.062500,4.062500,399200
1991-05-30,4.250000,4.281300,4.093800,4.250000,4.250000,468000
1991-05-31,4.250000,4.312500,4.062500,4.250000,4.250000,299200
1991-06-03,4.156300,4.250000,4.156300,4.156300,4.156300,104800
1991-06-04,4.156300,4.218800,4.125000,4.156300,4.156300,67200
1991-06-05,4.343800,4.406300,4.156300,4.343800,4.343800,998800
1991-06-06,4.312500,4.343800,4.312500,4.312500,4.312500,479600
1991-06-07,4.250000,4.343800,4.250000,4.250000,4.250000,33600
1991-06-10,4.031300,4.187500,4.031300,4.031300,4.031300,76000
1991-06-11,4.156300,4.156300,4.093800,4.156300,4.156300,162400
1991-06-12,4.093800,4.125000,4.062500,4.093800,4.093800,54400
1991-06-13,4.156300,4.218800,4.062500,4.156300,4.156300,110000
1991-06-14,4.031300,4.156300,4.031300,4.031300,4.031300,103200
1991-06-17,3.968800,4.000000,3.968800,3.968800,3.968800,55200
1991-06-18,3.968800,4.031300,3.968800,3.968800,3.968800,32000
1991-06-19,3.875000,4.031300,3.812500,3.875000,3.875000,184400
1991-06-20,3.906300,3.906300,3.906300,3.906300,3.906300,18000
1991-06-21,3.875000,3.875000,3.843800,3.875000,3.875000,27600
1991-06-24,3.937500,3.937500,3.843800,3.937500,3.937500,13200
1991-06-25,3.968800,4.062500,3.937500,3.968800,3.968800,245200
1991-06-26,4.031300,4.031300,3.968800,4.031300,4.031300,36800
1991-06-27,3.937500,4.093800,3.937500,3.937500,3.937500,191600
1991-06-28,3.906300,3.937500,3.875000,3.906300,3.906300,31600
1991-07-01,4.062500,4.062500,3.906300,4.062500,4.062500,272800
1991-07-02,4.000000,4.062500,4.000000,4.000000,4.000000,45200
1991-07-03,4.000000,4.000000,3.968800,4.000000,4.000000,34800
1991-07-05,4.062500,4.062500,4.000000,4.062500,4.062500,14000
1991-07-08,4.125000,4.125000,4.031300,4.125000,4.125000,78000
1991-07-09,4.156300,4.156300,4.125000,4.156300,4.156300,12000
1991-07-10,4.343800,4.375000,4.125000,4.343800,4.343800,150800
1991-07-11,4.468800,4.500000,4.312500,4.468800,4.468800,88000
1991-07-12,4.500000,4.531300,4.437500,4.500000,4.500000,35200
1991-07-15,4.625000,4.656300,4.437500,4.625000,4.625000,75600
1991-07-16,4.687500,4.781300,4.625000,4.687500,4.687500,299600
1991-07-17,4.625000,4.625000,4.562500,4.625000,4.625000,136800
1991-07-18,4.625000,4.656300,4.562500,4.625000,4.625000,54400
1991-07-19,4.562500,4.625000,4.562500,4.562500,4.562500,31200
1991-07-22,4.375000,4.531300,4.375000,4.375000,4.375000,346800
1991-07-23,4.343800,4.375000,4.312500,4.343800,4.343800,15200
1991-07-24,4.312500,4.375000,4.312500,4.312500,4.312500,29200
1991-07-25,4.343800,4.406300,4.343800,4.343800,4.343800,22800
1991-07-26,4.312500,4.375000,4.312500,4.312500,4.312500,22400
1991-07-29,4.250000,4.281300,4.218800,4.250000,4.250000,10800
1991-07-30,4.156300,4.218800,4.156300,4.156300,4.156300,53200
1991-07-31,4.218800,4.218800,4.062500,4.218800,4.218800,88800
1991-08-01,4.281300,4.281300,4.156300,4.281300,4.281300,178400
1991-08-02,4.406300,4.406300,4.343800,4.406300,4.406300,452800
1991-08-05,4.343800,4.406300,4.312500,4.343800,4.343800,90000
1991-08-06,4.562500,4.562500,4.406300,4.562500,4.562500,284400
1991-08-07,4.781300,4.812500,4.562500,4.781300,4.781300,545200
1991-08-08,4.687500,4.812500,4.687500,4.687500,4.687500,180000
1991-08-09,4.625000,4.750000,4.593800,4.625000,4.625000,408800
1991-08-12,4.718800,4.718800,4.625000,4.718800,4.718800,98400
1991-08-13,4.718800,4.843800,4.718800,4.718800,4.718800,271600
1991-08-14,4.687500,4.750000,4.656300,4.687500,4.687500,56400
1991-08-15,4.625000,4.687500,4.625000,4.625000,4.625000,74000
1991-08-16,4.687500,4.687500,4.625000,4.687500,4.687500,36000
1991-08-19,4.500000,4.625000,4.281300,4.500000,4.500000,118800
1991-08-20,4.500000,4.531300,4.500000,4.500000,4.500000,31200
1991-08-21,4.593800,4.625000,4.500000,4.593800,4.593800,102800
1991-08-22,4.750000,4.750000,4.562500,4.750000,4.750000,60000
1991-08-23,4.718800,4.750000,4.718800,4.718800,4.718800,141200
1991-08-26,4.750000,4.750000,4.718800,4.750000,4.750000,800
1991-08-27,4.781300,4.812500,4.781300,4.781300,4.781300,68000
1991-08-28,4.750000,4.781300,4.718800,4.750000,4.750000,69600
1991-08-29,4.656300,4.750000,4.656300,4.656300,4.656300,58000
1991-08-30,4.718800,4.718800,4.656300,4.718800,4.718800,10000
1991-09-03,4.656300,4.656300,4.656300,4.656300,4.656300,10800
1991-09-04,4.500000,4.656300,4.468800,4.500000,4.500000,37600
1991-09-05,4.437500,4.562500,4.437500,4.437500,4.437500,22400
1991-09-06,4.375000,4.437500,4.375000,4.375000,4.375000,109600
1991-09-09,4.312500,4.312500,4.312500,4.312500,4.312500,15600
1991-09-10,4.187500,4.218800,4.156300,4.187500,4.187500,165600
1991-09-11,4.218800,4.218800,4.187500,4.218800,4.218800,73200
1991-09-12,4.312500,4.343800,4.250000,4.312500,4.312500,19200
