Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.937500,1.843750,1.843750,0.897116,37600
1980-03-18,0.000000,2.000000,1.906250,1.906250,0.927527,100800
1980-03-19,0.000000,2.062500,1.968750,1.968750,0.957937,30400
1980-03-20,0.000000,2.062500,1.968750,1.968750,0.957937,27200
1980-03-21,0.000000,2.062500,1.968750,1.968750,0.957937,7200
1980-03-24,0.000000,2.031250,1.937500,1.937500,0.942732,50400
1980-03-25,0.000000,2.031250,1.937500,1.937500,0.942732,26400
1980-03-26,0.000000,2.031250,1.937500,1.937500,0.942732,80800
1980-03-27,0.000000,2.000000,1.906250,1.906250,0.927527,70400
1980-03-28,0.000000,2.062500,1.968750,1.968750,0.957937,63200
1980-03-31,0.000000,2.062500,1.968750,1.968750,0.957937,4800
1980-04-01,0.000000,2.125000,2.031250,2.031250,0.988349,27200
1980-04-02,0.000000,2.218750,2.125000,2.125000,1.033964,38400
1980-04-03,0.000000,2.218750,2.125000,2.125000,1.033964,7200
1980-04-07,0.000000,2.218750,2.125000,2.125000,1.033964,9600
1980-04-08,0.000000,2.218750,2.125000,2.125000,1.033964,27200
1980-04-09,0.000000,2.375000,2.281250,2.281250,1.109990,48000
1980-04-10,0.000000,2.375000,2.281250,2.281250,1.109990,23200
1980-04-11,0.000000,2.406250,2.312500,2.312500,1.125197,54400
1980-04-14,0.000000,2.406250,2.312500,2.312500,1.125197,32800
1980-04-15,0.000000,2.437500,2.343750,2.343750,1.140402,44000
1980-04-16,0.000000,2.406250,2.312500,2.312500,1.125197,76000
1980-04-17,0.000000,2.281250,2.187500,2.187500,1.064375,247200
1980-04-18,0.000000,2.281250,2.187500,2.187500,1.064375,8000
1980-04-21,0.000000,2.312500,2.218750,2.218750,1.079580,38400
1980-04-22,0.000000,2.343750,2.250000,2.250000,1.094786,188800
1980-04-23,0.000000,2.312500,2.218750,2.218750,1.079580,68800
1980-04-24,0.000000,2.312500,2.218750,2.218750,1.079580,71200
1980-04-25,0.000000,2.312500,2.218750,2.218750,1.079580,18400
1980-04-28,0.000000,2.312500,2.218750,2.218750,1.079580,39200
1980-04-29,0.000000,2.312500,2.218750,2.218750,1.079580,4000
1980-04-30,0.000000,2.312500,2.218750,2.218750,1.079580,23200
1980-05-01,0.000000,2.343750,2.250000,2.250000,1.094786,21600
1980-05-02,0.000000,2.312500,2.218750,2.218750,1.079580,30400
1980-05-05,0.000000,2.312500,2.218750,2.218750,1.079580,8800
1980-05-06,0.000000,2.312500,2.218750,2.218750,1.079580,3200
1980-05-07,0.000000,2.312500,2.218750,2.218750,1.079580,8800
1980-05-08,0.000000,2.281250,2.187500,2.187500,1.064375,25600
