Date,Open,High,Low,Close,Adj Close,Volume
1986-08-01,0.000000,6.125000,6.000000,6.125000,2.468381,845000
1986-08-04,0.000000,6.125000,5.937500,6.000000,2.418009,228000
1986-08-05,0.000000,5.937500,5.750000,5.937500,2.392820,125200
1986-08-06,0.000000,6.000000,5.875000,5.875000,2.367632,112600
1986-08-07,0.000000,6.000000,5.875000,6.000000,2.418009,38200
1986-08-08,0.000000,6.000000,5.937500,6.000000,2.418009,4200
1986-08-11,0.000000,6.125000,5.937500,5.937500,2.392820,35200
1986-08-12,0.000000,6.125000,6.000000,6.125000,2.468381,15400
1986-08-13,0.000000,6.625000,6.250000,6.562500,2.644695,103800
1986-08-14,0.000000,6.812500,6.500000,6.500000,2.619507,41400
1986-08-15,0.000000,6.750000,6.500000,6.750000,2.720256,46200
1986-08-18,0.000000,6.750000,6.625000,6.625000,2.669885,35400
1986-08-19,0.000000,6.562500,6.500000,6.500000,2.619507,35800
1986-08-20,0.000000,6.500000,6.375000,6.375000,2.569131,39600
1986-08-21,0.000000,6.750000,6.437500,6.687500,2.695069,64800
1986-08-22,0.000000,6.687500,6.625000,6.687500,2.695069,5000
1986-08-25,0.000000,6.562500,6.562500,6.562500,2.644695,1200
1986-08-26,0.000000,6.437500,6.187500,6.187500,2.493572,16400
1986-08-27,6.187500,6.187500,6.187500,6.187500,2.493572,0
1986-08-28,0.000000,6.500000,6.375000,6.437500,2.594320,62800
1986-08-29,0.000000,6.437500,6.437500,6.437500,2.594320,24800
1986-09-02,0.000000,6.437500,6.375000,6.375000,2.569131,18000
1986-09-03,0.000000,6.437500,6.250000,6.250000,2.518758,161800
1986-09-04,0.000000,6.250000,6.250000,6.250000,2.518758,8400
1986-09-05,0.000000,6.250000,6.125000,6.250000,2.518758,22800
1986-09-08,0.000000,6.125000,6.062500,6.062500,2.443195,14200
1986-09-09,0.000000,6.062500,6.000000,6.000000,2.418009,4400
1986-09-10,0.000000,6.000000,5.937500,5.937500,2.392820,64400
1986-09-11,0.000000,6.000000,5.750000,5.812500,2.342446,21000
1986-09-12,0.000000,5.687500,5.187500,5.187500,2.090569,19600
1986-09-15,0.000000,5.312500,5.312500,5.312500,2.140943,8800
1986-09-16,0.000000,5.375000,5.250000,5.375000,2.166132,2800
1986-09-17,0.000000,5.500000,5.500000,5.500000,2.216506,5000
1986-09-18,0.000000,5.750000,5.625000,5.625000,2.266881,8600
1986-09-19,0.000000,5.875000,5.750000,5.875000,2.367632,8400
1986-09-22,0.000000,6.000000,6.000000,6.000000,2.418009,12200
1986-09-23,0.000000,6.375000,6.000000,6.250000,2.518758,17400
1986-09-24,0.000000,6.250000,6.250000,6.250000,2.518758,7400
1986-09-25,0.000000,6.250000,6.062500,6.062500,2.443195,2200
1986-09-26,0.000000,6.062500,5.812500,6.000000,2.418009,31200
1986-09-29,0.000000,5.937500,5.937500,5.937500,2.392820,800
1986-09-30,0.000000,6.125000,6.062500,6.125000,2.468381,2600
1986-10-01,0.000000,6.250000,6.250000,6.250000,2.518758,20800
1986-10-02,0.000000,6.250000,6.250000,6.250000,2.518758,8200
1986-10-03,0.000000,6.250000,6.125000,6.125000,2.468381,2800
1986-10-06,0.000000,6.125000,6.125000,6.125000,2.468381,6800
1986-10-07,0.000000,6.125000,6.125000,6.125000,2.468381,8200
1986-10-08,0.000000,6.125000,6.062500,6.062500,2.443195,2200
