Date,Open,High,Low,Close,Adj Close,Volume
1992-05-19,1.750000,1.750000,1.656250,1.750000,1.028668,18095200
1992-05-20,1.765625,1.859375,1.750000,1.843750,1.083775,3993600
1992-05-21,1.843750,1.859375,1.796875,1.843750,1.083775,1164800
1992-05-22,1.843750,1.906250,1.843750,1.906250,1.120514,729600
1992-05-26,1.906250,1.906250,1.859375,1.875000,1.102144,668800
1992-05-27,1.875000,1.921875,1.843750,1.875000,1.102144,673600
1992-05-28,1.875000,1.906250,1.875000,1.906250,1.120514,544800
1992-05-29,1.890625,1.984375,1.890625,1.953125,1.148067,292800
1992-06-01,1.968750,2.062500,1.953125,2.000000,1.175621,1489600
1992-06-02,2.000000,2.031250,1.984375,2.015625,1.184806,1423200
1992-06-03,2.000000,2.015625,1.953125,1.968750,1.157252,1146400
1992-06-04,1.968750,1.984375,1.953125,1.968750,1.157252,408800
1992-06-05,1.984375,1.984375,1.968750,1.984375,1.166436,491200
1992-06-08,1.984375,1.984375,1.937500,1.968750,1.157252,701600
1992-06-09,1.984375,1.984375,1.875000,1.921875,1.129698,880000
1992-06-10,1.906250,1.921875,1.890625,1.921875,1.129698,448800
1992-06-11,1.937500,1.968750,1.921875,1.937500,1.138883,208800
1992-06-12,1.968750,2.000000,1.953125,1.968750,1.157252,518400
1992-06-15,1.937500,2.015625,1.937500,1.984375,1.166436,380000
1992-06-16,2.000000,2.000000,1.906250,1.921875,1.129698,216000
1992-06-17,1.953125,1.968750,1.921875,1.937500,1.138883,816800
1992-06-18,1.953125,1.953125,1.921875,1.921875,1.129698,220800
1992-06-19,1.906250,1.921875,1.906250,1.921875,1.129698,192800
1992-06-22,1.937500,1.953125,1.890625,1.937500,1.138883,954400
1992-06-23,1.968750,2.000000,1.953125,1.968750,1.157252,1403200
1992-06-24,1.968750,2.000000,1.937500,2.000000,1.175621,1368800
1992-06-25,2.000000,2.031250,1.984375,2.000000,1.175621,462400
1992-06-26,1.984375,2.031250,1.984375,2.031250,1.193990,803200
1992-06-29,2.046875,2.156250,2.046875,2.125000,1.249097,295200
1992-06-30,2.093750,2.281250,2.093750,2.281250,1.340943,545600
1992-07-01,2.312500,2.390625,2.171875,2.375000,1.396049,2180000
1992-07-02,2.375000,2.390625,2.296875,2.312500,1.359311,1099200
1992-07-06,2.328125,2.359375,2.328125,2.359375,1.386865,1457600
1992-07-07,2.343750,2.359375,2.343750,2.343750,1.377681,692800
1992-07-08,2.312500,2.328125,2.203125,2.265625,1.331758,1060800
1992-07-09,2.312500,2.406250,2.312500,2.375000,1.396049,1344000
1992-07-10,2.375000,2.468750,2.375000,2.468750,1.451157,881600
1992-07-13,2.468750,2.468750,2.390625,2.437500,1.432788,387200
1992-07-14,2.437500,2.437500,2.343750,2.375000,1.396049,321600
1992-07-15,2.375000,2.375000,2.296875,2.343750,1.377681,313600
1992-07-16,2.359375,2.359375,2.296875,2.359375,1.386865,717600
1992-07-17,2.359375,2.359375,2.343750,2.343750,1.377681,39200
1992-07-20,2.343750,2.343750,2.281250,2.281250,1.340943,44800
1992-07-21,2.281250,2.296875,2.281250,2.281250,1.340943,304000
1992-07-22,2.281250,2.296875,2.250000,2.250000,1.322573,506400
1992-07-23,2.250000,2.281250,2.218750,2.250000,1.322573,584000
1992-07-24,2.250000,2.281250,2.218750,2.234375,1.313389,446400
1992-07-27,2.265625,2.312500,2.265625,2.281250,1.340943,310400
1992-07-28,2.296875,2.312500,2.218750,2.296875,1.350127,960800
1992-07-29,2.296875,2.390625,2.296875,2.375000,1.396049,1070400
1992-07-30,2.359375,2.375000,2.343750,2.375000,1.396049,618400
1992-07-31,2.375000,2.421875,2.375000,2.421875,1.423603,500000
1992-08-03,2.421875,2.531250,2.421875,2.500000,1.469525,260000
1992-08-04,2.515625,2.625000,2.515625,2.593750,1.524633,676000
1992-08-05,2.593750,2.703125,2.578125,2.703125,1.588925,204800
1992-08-06,2.671875,2.703125,2.625000,2.656250,1.561371,551200
1992-08-07,2.625000,2.734375,2.625000,2.718750,1.598110,625600
1992-08-10,2.718750,2.718750,2.531250,2.625000,1.543002,549600
1992-08-11,2.656250,2.812500,2.625000,2.812500,1.653217,171200
1992-08-12,2.812500,2.812500,2.656250,2.687500,1.579740,411200
1992-08-13,2.703125,2.718750,2.656250,2.656250,1.561371,424000
1992-08-14,2.671875,2.671875,2.593750,2.640625,1.552187,640800
1992-08-17,2.625000,2.703125,2.625000,2.703125,1.588925,397600
1992-08-18,2.734375,2.734375,2.703125,2.718750,1.598110,68000
1992-08-19,2.687500,2.718750,2.687500,2.703125,1.588925,105600
1992-08-20,2.750000,2.750000,2.718750,2.734375,1.607295,431200
1992-08-21,2.734375,2.781250,2.718750,2.718750,1.598110,260000
1992-08-24,2.687500,2.687500,2.640625,2.640625,1.552187,38400
1992-08-25,2.640625,2.640625,2.531250,2.593750,1.524633,288000
1992-08-26,2.609375,2.671875,2.578125,2.671875,1.570556,264800
1992-08-27,2.703125,2.750000,2.687500,2.687500,1.579740,188800
1992-08-28,2.671875,2.718750,2.671875,2.703125,1.588925,24800
1992-08-31,2.734375,2.781250,2.718750,2.718750,1.598110,241600
1992-09-01,2.703125,2.906250,2.703125,2.875000,1.689955,284000
1992-09-02,2.875000,2.968750,2.843750,2.968750,1.745062,565600
1992-09-03,3.000000,3.125000,2.968750,2.984375,1.754246,1440800
1992-09-04,3.000000,3.000000,2.906250,2.921875,1.717509,197600
1992-09-08,2.968750,3.000000,2.953125,3.000000,1.763431,85600
1992-09-09,3.000000,3.000000,2.968750,3.000000,1.763431,700800
1992-09-10,3.031250,3.156250,3.031250,3.062500,1.800170,200800
1992-09-11,3.046875,3.046875,3.000000,3.031250,1.781800,575200
1992-09-14,3.062500,3.062500,3.015625,3.031250,1.781800,142400
1992-09-15,3.062500,3.062500,3.015625,3.031250,1.781800,444800
1992-09-16,3.031250,3.093750,3.031250,3.062500,1.800170,76800
1992-09-17,3.093750,3.125000,3.046875,3.125000,1.836907,80800
1992-09-18,3.125000,3.125000,3.078125,3.093750,1.818538,47200
1992-09-21,3.093750,3.093750,3.062500,3.062500,1.800170,600800
1992-09-22,3.062500,3.109375,3.062500,3.078125,1.809353,109600
1992-09-23,3.078125,3.093750,3.062500,3.093750,1.818538,76000
1992-09-24,3.109375,3.125000,3.109375,3.125000,1.836907,112800
1992-09-25,3.125000,3.125000,3.062500,3.062500,1.800170,386400
1992-09-28,3.046875,3.046875,2.781250,2.812500,1.653217,349600
1992-09-29,2.812500,2.843750,2.593750,2.812500,1.653217,803200
1992-09-30,2.843750,2.875000,2.812500,2.843750,1.671586,522400
1992-10-01,2.812500,2.937500,2.687500,2.937500,1.726693,768800
1992-10-02,2.968750,3.015625,2.937500,2.953125,1.735878,233600
1992-10-05,2.921875,2.921875,2.656250,2.765625,1.625663,255200
1992-10-06,2.781250,2.906250,2.781250,2.906250,1.708324,384000
1992-10-07,2.937500,2.984375,2.937500,2.937500,1.726693,584800
1992-10-08,2.968750,3.000000,2.906250,3.000000,1.763431,282400
1992-10-09,3.000000,3.031250,2.968750,2.968750,1.745062,295200
1992-10-12,3.000000,3.062500,3.000000,3.031250,1.781800,20800
1992-10-13,3.000000,3.093750,3.000000,3.078125,1.809353,68000
1992-10-14,3.093750,3.093750,3.000000,3.000000,1.763431,34400
1992-10-15,3.000000,3.031250,2.968750,3.015625,1.772616,27200
1992-10-16,3.046875,3.078125,3.015625,3.046875,1.790985,43200
1992-10-19,3.015625,3.125000,3.000000,3.125000,1.836907,359200
1992-10-20,3.156250,3.250000,3.156250,3.187500,1.873646,157600
1992-10-21,3.218750,3.218750,3.187500,3.187500,1.873646,38400
1992-10-22,3.203125,3.250000,3.187500,3.250000,1.910384,76000
1992-10-23,3.281250,3.343750,3.171875,3.171875,1.864461,208800
1992-10-26,3.203125,3.281250,3.203125,3.281250,1.928753,61600
1992-10-27,3.281250,3.375000,3.281250,3.375000,1.983860,157600
1992-10-28,3.375000,3.390625,3.359375,3.359375,1.974675,608800
1992-10-29,3.453125,3.468750,3.328125,3.328125,1.956306,230400
1992-10-30,3.343750,3.343750,3.187500,3.218750,1.892015,205600
1992-11-02,3.250000,3.312500,3.250000,3.312500,1.947122,19200
1992-11-03,3.312500,3.406250,3.312500,3.406250,2.002229,151200
1992-11-04,3.437500,3.437500,3.375000,3.375000,1.983860,160000
1992-11-05,3.437500,3.593750,3.390625,3.578125,2.103259,596800
1992-11-06,3.578125,3.781250,3.578125,3.734375,2.195104,1281600
1992-11-09,3.703125,4.000000,3.703125,3.968750,2.332872,2169600
1992-11-10,3.937500,3.968750,3.875000,3.937500,2.314503,1035200
1992-11-11,3.843750,3.906250,3.812500,3.812500,2.241028,318400
1992-11-12,3.828125,3.828125,3.593750,3.687500,2.167550,988800
1992-11-13,3.718750,3.843750,3.703125,3.812500,2.241028,171200
1992-11-16,3.843750,4.000000,3.812500,3.843750,2.259396,603200
1992-11-17,3.843750,3.843750,3.812500,3.812500,2.241028,68000
1992-11-18,3.828125,3.843750,3.796875,3.828125,2.250211,221600
1992-11-19,3.859375,3.984375,3.859375,3.953125,2.323688,85600
1992-11-20,3.953125,4.000000,3.937500,3.937500,2.314503,199200
1992-11-23,3.953125,3.953125,3.812500,3.812500,2.241028,87200
1992-11-24,3.843750,3.843750,3.562500,3.687500,2.167550,452800
1992-11-25,3.718750,3.781250,3.687500,3.734375,2.195104,320800
1992-11-27,3.750000,3.781250,3.734375,3.734375,2.195104,48000
1992-11-30,3.750000,3.796875,3.703125,3.734375,2.195104,105600
1992-12-01,3.734375,3.734375,3.656250,3.656250,2.149182,46400
1992-12-02,3.671875,3.671875,3.468750,3.500000,2.057337,376000
1992-12-03,3.531250,3.562500,3.437500,3.453125,2.029783,162400
