Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,9.187500,9.125000,9.125000,2.602934,41600
1980-03-18,0.000000,9.125000,9.093750,9.093750,2.594022,29200
1980-03-19,0.000000,9.250000,9.093750,9.250000,2.638592,25600
1980-03-20,0.000000,9.406250,9.250000,9.281250,2.647508,48000
1980-03-21,0.000000,9.343750,9.125000,9.156250,2.611849,87600
1980-03-24,0.000000,9.218750,9.125000,9.125000,2.602934,25600
1980-03-25,0.000000,9.093750,9.062500,9.062500,2.585106,72400
1980-03-26,0.000000,9.062500,8.843750,8.906250,2.540538,20400
1980-03-27,0.000000,8.750000,8.250000,8.312500,2.371169,44800
1980-03-28,0.000000,8.500000,8.375000,8.375000,2.388996,40000
1980-03-31,0.000000,8.437500,8.187500,8.437500,2.406825,48400
1980-04-01,0.000000,8.562500,8.312500,8.562500,2.442481,60000
1980-04-02,0.000000,8.750000,8.531250,8.718750,2.487052,42000
1980-04-03,0.000000,8.625000,8.500000,8.593750,2.451396,20800
1980-04-07,0.000000,8.687500,8.500000,8.500000,2.424651,32400
1980-04-08,0.000000,8.687500,8.500000,8.687500,2.478137,27600
1980-04-09,0.000000,8.718750,8.593750,8.718750,2.487052,18000
1980-04-10,0.000000,8.937500,8.812500,8.906250,2.540538,29200
1980-04-11,0.000000,9.062500,8.906250,9.062500,2.585106,28000
1980-04-14,0.000000,9.062500,8.875000,8.875000,2.531623,29200
1980-04-15,0.000000,8.875000,8.625000,8.687500,2.478137,25600
1980-04-16,0.000000,8.687500,8.562500,8.562500,2.442481,40400
1980-04-17,0.000000,8.687500,8.437500,8.687500,2.478137,29200
1980-04-18,0.000000,8.875000,8.656250,8.750000,2.495966,30400
1980-04-21,0.000000,8.875000,8.750000,8.750000,2.495966,8800
1980-04-22,0.000000,9.031250,8.750000,9.031250,2.576194,26400
1980-04-23,0.000000,9.125000,9.000000,9.062500,2.585106,5600
1980-04-24,0.000000,9.250000,9.000000,9.218750,2.629679,86800
1980-04-25,0.000000,9.218750,9.156250,9.218750,2.629679,4800
1980-04-28,0.000000,9.156250,9.000000,9.062500,2.585106,15200
1980-04-29,0.000000,9.187500,9.000000,9.093750,2.594022,17600
1980-04-30,0.000000,9.156250,9.031250,9.093750,2.594022,29600
1980-05-01,0.000000,9.156250,8.906250,8.906250,2.540538,19200
1980-05-02,0.000000,9.062500,8.906250,9.000000,2.567280,83200
1980-05-05,0.000000,9.000000,8.937500,9.000000,2.567280,79600
1980-05-06,0.000000,9.250000,9.031250,9.250000,2.638592,79200
1980-05-07,0.000000,9.656250,9.343750,9.562500,2.727735,173600
1980-05-08,0.000000,9.593750,9.312500,9.406250,2.683164,112400
1980-05-09,0.000000,9.406250,9.093750,9.093750,2.594022,34400
1980-05-12,0.000000,9.187500,9.062500,9.125000,2.602934,12800
1980-05-13,0.000000,9.218750,9.062500,9.062500,2.585106,34800
1980-05-14,0.000000,9.281250,9.031250,9.250000,2.638592,48400
1980-05-15,0.000000,9.250000,9.218750,9.250000,2.638592,26400
1980-05-16,0.000000,9.250000,9.125000,9.218750,2.629679,30800
1980-05-19,0.000000,9.218750,9.156250,9.156250,2.611849,20800
1980-05-20,0.000000,9.250000,9.218750,9.218750,2.629679,65600
1980-05-21,0.000000,9.312500,9.187500,9.218750,2.629679,47200
1980-05-22,0.000000,9.312500,9.218750,9.281250,2.647508,32800
1980-05-23,0.000000,9.625000,9.375000,9.593750,2.736648,46000
1980-05-27,0.000000,9.750000,9.562500,9.625000,2.745561,76400
1980-05-28,0.000000,9.687500,9.625000,9.656250,2.754476,72000
