Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.000000,3.423317,3.398191,3.423317,1.615938,79601
1970-01-05,0.000000,3.429598,3.291409,3.291409,1.553672,4425825
1970-01-06,0.000000,3.216033,3.090407,3.143798,1.483993,1194017
1970-01-07,0.000000,3.291409,3.172064,3.291409,1.553672,441786
1970-01-08,0.000000,3.291409,3.234877,3.266284,1.541811,230843
1970-01-09,0.000000,3.285128,3.253721,3.285128,1.550707,83581
1970-01-12,0.000000,3.291409,3.275706,3.275706,1.546259,143282
1970-01-13,0.000000,3.278846,3.228596,3.228596,1.524022,310445
1970-01-14,0.000000,3.228596,3.194049,3.194049,1.507713,151242
1970-01-15,0.000000,3.203471,3.165783,3.203471,1.512161,179103
1970-01-16,0.000000,3.341660,3.184627,3.329097,1.571461,505467
1970-01-19,0.000000,3.329097,3.285128,3.297690,1.556636,191043
1970-01-20,0.000000,3.385629,3.260003,3.385629,1.598147,183083
1970-01-21,0.000000,3.454723,3.366785,3.407613,1.608525,234823
1970-01-22,0.000000,3.504974,3.407613,3.486130,1.645588,274624
1970-01-23,0.000000,3.561506,3.482989,3.482989,1.644105,851732
1970-01-26,0.000000,3.492411,3.442161,3.451583,1.629279,461687
1970-01-27,0.000000,3.498693,3.454723,3.498693,1.651517,636809
1970-01-28,0.000000,3.498693,3.473567,3.473567,1.639657,465667
1970-01-29,0.000000,3.454723,3.347941,3.410754,1.610007,326365
1970-01-30,0.000000,3.417035,3.341660,3.379348,1.595183,513428
1970-02-02,0.000000,3.417035,3.379348,3.379348,1.595183,326365
1970-02-03,0.000000,3.391910,3.329097,3.366785,1.589252,2503457
1970-02-04,0.000000,3.360504,3.278846,3.319675,1.567014,1018895
1970-02-05,0.000000,3.316534,3.065282,3.065282,1.446931,1934308
1970-02-06,0.000000,3.347941,3.027594,3.266284,1.541811,1695505
1970-02-09,0.000000,3.325956,3.275706,3.275706,1.546259,1114416
1970-02-10,0.000000,3.190908,3.153220,3.156361,1.489924,286564
1970-02-11,0.000000,3.146939,2.958499,3.131236,1.478064,2029830
1970-02-12,0.000000,3.128095,3.065282,3.077844,1.452861,417906
1970-02-13,0.000000,3.109251,3.065282,3.099829,1.463238,597009
1970-02-16,0.000000,3.150080,3.109251,3.143798,1.483993,362185
1970-02-17,0.000000,3.172064,3.140658,3.172064,1.497336,354225
1970-02-18,0.000000,3.241159,3.178345,3.241159,1.529952,887553
1970-02-19,0.000000,3.285128,3.216033,3.216033,1.518092,577108
1970-02-20,0.000000,3.253721,3.216033,3.234877,1.526988,202983
1970-02-24,0.000000,3.297690,3.241159,3.266284,1.541811,577108
1970-02-25,0.000000,3.303972,3.241159,3.294550,1.555154,202983
1970-02-26,0.000000,3.291409,3.266284,3.285128,1.550707,139302
1970-02-27,0.000000,3.347941,3.216033,3.228596,1.524022,1946248
1970-03-02,0.000000,3.228596,3.172064,3.190908,1.506230,827852
1970-03-03,0.000000,3.165783,3.027594,3.093548,1.460274,1010935
1970-03-04,0.000000,3.090407,3.002469,3.052719,1.441001,441786
1970-03-05,0.000000,3.090407,3.040157,3.040157,1.435071,453727
1970-03-06,0.000000,2.964781,2.889405,2.933374,1.384665,744271
1970-03-09,0.000000,2.920812,2.892546,2.892546,1.365394,497507
1970-03-10,0.000000,2.952218,2.914530,2.952218,1.393561,326365
