Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,6.908463,6.440702,6.440702,1.800971,148687
1980-03-18,0.000000,6.548647,6.314767,6.548647,1.831155,451620
1980-03-19,0.000000,6.818509,6.620610,6.782527,1.896553,245959
1980-03-20,0.000000,6.764537,6.620610,6.638601,1.856309,266803
1980-03-21,0.000000,6.620610,6.314767,6.332758,1.770787,309881
1980-03-24,0.000000,6.278785,5.900979,5.954951,1.665143,419659
1980-03-25,0.000000,6.062896,5.802029,5.802029,1.622383,343231
1980-03-26,0.000000,5.972942,5.793034,5.793034,1.619868,230674
1980-03-27,0.000000,5.613126,5.307283,5.451209,1.524287,557230
1980-03-28,0.000000,5.900979,5.577145,5.900979,1.650052,259855
1980-03-31,0.000000,6.080887,5.918969,6.062896,1.695328,194544
1980-04-01,0.000000,6.224813,6.080887,6.080887,1.700359,98662
1980-04-02,0.000000,6.242804,6.008923,6.242804,1.745635,118116
1980-04-03,0.000000,6.296776,6.224813,6.296776,1.760726,118116
1980-04-07,0.000000,6.332758,6.080887,6.080887,1.700359,348790
1980-04-08,0.000000,6.224813,6.080887,6.224813,1.740604,227894
1980-04-09,0.000000,6.440702,6.260794,6.440702,1.800971,198713
1980-04-10,0.000000,6.530656,6.476684,6.476684,1.811032,166752
1980-04-11,0.000000,6.512666,6.458693,6.494675,1.816064,1278432
1980-04-14,0.000000,6.530656,6.368739,6.386730,1.785880,236232
1980-04-15,0.000000,6.548647,6.368739,6.512666,1.821095,111168
1980-04-16,0.000000,6.602619,6.440702,6.440702,1.800971,227894
1980-04-17,0.000000,6.440702,6.260794,6.260794,1.750666,116726
1980-04-18,0.000000,6.260794,6.188831,6.188831,1.730543,402984
1980-04-21,0.000000,6.197827,6.152850,6.188831,1.730543,50026
1980-04-22,0.000000,6.458693,6.332758,6.386730,1.785880,204271
1980-04-23,0.000000,6.494675,6.422712,6.422712,1.795941,304322
1980-04-24,0.000000,6.818509,6.458693,6.818509,1.906614,397426
1980-04-25,0.000000,6.926454,6.638601,6.656592,1.861339,243180
1980-04-28,0.000000,6.800518,6.656592,6.746546,1.886494,108389
1980-04-29,0.000000,6.800518,6.764537,6.764537,1.891523,211219
1980-04-30,0.000000,6.746546,6.602619,6.602619,1.846248,86155
1980-05-01,0.000000,6.620610,6.422712,6.422712,1.795941,708696
1980-05-02,0.000000,6.575633,6.404721,6.548647,1.831155,83376
1980-05-05,0.000000,6.566638,6.494675,6.494675,1.816064,72259
1980-05-06,0.000000,6.530656,6.404721,6.476684,1.811032,454399
1980-05-07,0.000000,6.467689,6.404721,6.404721,1.790910,161194
1980-05-08,0.000000,6.386730,6.242804,6.278785,1.755696,68090
1980-05-09,0.000000,6.260794,6.188831,6.188831,1.730543,51415
1980-05-12,0.000000,6.143854,5.936960,5.972942,1.670175,190375
1980-05-13,0.000000,6.098877,5.918969,6.044905,1.690297,118116
1980-05-14,0.000000,6.170841,5.757052,5.757052,1.609806,1491041
1980-05-15,0.000000,5.900979,5.766048,5.900979,1.650052,566957
1980-05-16,0.000000,5.900979,5.847006,5.900979,1.650052,394646
1980-05-19,0.000000,5.847006,5.775043,5.775043,1.614837,462737
1980-05-20,0.000000,5.784039,5.667098,5.703080,1.594716,394646
1980-05-21,0.000000,5.721071,5.595135,5.721071,1.599746,1101953
1980-05-22,0.000000,5.864997,5.703080,5.847006,1.634959,357127
1980-05-23,0.000000,5.981937,5.873993,5.945956,1.662629,607255
1980-05-27,0.000000,5.990933,5.954951,5.990933,1.675206,397426
1980-05-28,0.000000,6.071891,5.954951,6.008923,1.680236,758722
1980-05-29,0.000000,6.080887,5.999928,5.999928,1.677719,458568
1980-05-30,0.000000,5.999928,5.972942,5.990933,1.675206,258466
1980-06-02,0.000000,6.332758,6.008923,6.188831,1.730543,309881
1980-06-03,0.000000,6.332758,6.161845,6.161845,1.722997,255686
1980-06-04,0.000000,6.530656,6.116868,6.413716,1.793425,639216
1980-06-05,0.000000,6.728555,6.530656,6.620610,1.851279,648943
1980-06-06,0.000000,6.674583,6.602619,6.674583,1.866370,833760
1980-06-09,0.000000,6.881477,6.710564,6.710564,1.876431,558619
1980-06-10,0.000000,7.421200,6.854491,7.286269,2.037413,733709
1980-06-11,0.000000,7.799007,7.367228,7.664076,2.143056,789293
1980-06-12,0.000000,7.933938,7.718048,7.852979,2.195876,635974
1980-06-13,0.000000,7.960924,7.718048,7.772021,2.173241,305249
1980-06-16,0.000000,7.691062,7.313256,7.313256,2.044958,318218
1980-06-17,0.000000,7.556131,7.259283,7.394214,2.067596,299690
1980-06-18,0.000000,7.394214,7.232297,7.286269,2.037413,250128
1980-06-19,0.000000,7.313256,7.016408,7.016408,1.961952,419659
1980-06-20,0.000000,7.070380,6.692573,6.962435,1.946860,303396
1980-06-23,0.000000,7.313256,6.854491,7.232297,2.022320,176479
1980-06-24,0.000000,7.394214,7.205311,7.394214,2.067596,301543
1980-06-25,0.000000,8.176813,7.394214,8.095855,2.263792,613277
1980-06-26,0.000000,8.311744,7.772021,7.825993,2.188331,896755
1980-06-27,0.000000,7.906952,7.610104,7.772021,2.173241,473390
1980-06-30,0.000000,7.852979,7.367228,7.394214,2.067596,251054
1980-07-01,0.000000,7.799007,7.367228,7.691062,2.150602,209366
1980-07-02,0.000000,7.772021,7.529145,7.718048,2.158147,164899
1980-07-03,0.000000,7.772021,7.448187,7.529145,2.105325,362686
1980-07-07,0.000000,7.664076,7.286269,7.286269,2.037413,1176065
1980-07-08,0.000000,7.448187,7.313256,7.421200,2.075142,305712
1980-07-09,0.000000,7.637090,7.475173,7.556131,2.112871,243643
1980-07-10,0.000000,7.502159,7.259283,7.259283,2.029866,280699
1980-07-11,0.000000,7.529145,7.124352,7.529145,2.105325,239938
1980-07-14,0.000000,7.583117,7.448187,7.502159,2.097780,351569
1980-07-15,0.000000,7.556131,7.043394,7.124352,1.992136,453936
1980-07-16,0.000000,7.987910,7.016408,7.232297,2.022320,874985
1980-07-17,0.000000,7.502159,7.286269,7.502159,2.097780,498866
1980-07-18,0.000000,7.664076,7.502159,7.556131,2.112871,522490
1980-07-21,0.000000,7.745035,7.394214,7.718048,2.158147,214925
1980-07-22,0.000000,7.745035,7.610104,7.691062,2.150602,526195
1980-07-23,0.000000,7.772021,7.556131,7.745035,2.165694,291353
1980-07-24,0.000000,8.311744,7.718048,8.149827,2.278883,373802
1980-07-25,0.000000,8.149827,7.879965,7.879965,2.203423,545186
1980-07-28,0.000000,8.392703,7.960924,8.230786,2.301521,210293
1980-07-29,0.000000,8.392703,8.014896,8.095855,2.263792,302470
1980-07-30,0.000000,8.203800,7.879965,7.879965,2.203423,202418
1980-07-31,0.000000,7.772021,7.394214,7.637090,2.135510,434018
1980-08-01,0.000000,7.718048,7.421200,7.448187,2.082689,249665
1980-08-04,0.000000,7.583117,7.259283,7.502159,2.097780,94030
1980-08-05,0.000000,7.529145,7.340242,7.394214,2.067596,173237
1980-08-06,0.000000,7.421200,7.205311,7.286269,2.037413,159341
1980-08-07,0.000000,7.637090,7.367228,7.637090,2.135510,251981
1980-08-08,0.000000,8.203800,7.879965,7.879965,2.203423,432629
1980-08-11,0.000000,8.257772,7.799007,8.203800,2.293976,222336
1980-08-12,0.000000,8.230786,7.987910,8.041883,2.248699,199176
1980-08-13,0.000000,8.203800,7.879965,7.879965,2.203423,93103
1980-08-14,0.000000,8.419689,7.933938,8.419689,2.354343,108852
1980-08-15,0.000000,8.446675,8.203800,8.419689,2.354343,196397
1980-08-18,0.000000,8.338731,7.906952,7.987910,2.233607,368707
1980-08-19,0.000000,7.987910,7.718048,7.933938,2.218516,85229
1980-08-20,0.000000,8.095855,7.852979,8.068869,2.256246,77818
1980-08-21,0.000000,8.419689,8.176813,8.419689,2.354343,261245
1980-08-22,0.000000,8.959413,8.581606,8.689551,2.429804,617446
1980-08-25,0.000000,8.743523,8.311744,8.365717,2.339251,182038
1980-08-26,0.000000,8.689551,8.419689,8.527634,2.384527,186670
1980-08-27,0.000000,8.527634,8.365717,8.500648,2.376980,342305
1980-08-28,0.000000,9.013385,8.500648,8.635579,2.414711,375655
1980-08-29,0.000000,9.040371,8.716537,9.040371,2.527900,146834
1980-09-02,0.000000,9.526123,8.851468,9.445164,2.641090,228358
1980-09-03,0.000000,9.822971,9.553109,9.607081,2.686364,252444
1980-09-04,0.000000,9.795984,9.337219,9.337219,2.610905,308491
1980-09-05,0.000000,9.580095,9.337219,9.337219,2.610905,89398
1980-09-08,0.000000,9.472150,8.959413,9.283247,2.595814,259392
1980-09-09,0.000000,9.337219,9.121330,9.310233,2.603359,94030
1980-09-10,0.000000,9.526123,9.364206,9.499136,2.656181,79207
1980-09-11,0.000000,9.795984,9.499136,9.795984,2.739187,135718
1980-09-12,0.000000,9.876943,9.526123,9.661054,2.701458,106999
1980-09-15,0.000000,9.553109,9.283247,9.499136,2.656181,112558
1980-09-16,0.000000,9.822971,9.391192,9.661054,2.701458,173700
1980-09-17,0.000000,9.688040,9.499136,9.526123,2.663728,102830
1980-09-18,0.000000,9.715026,9.391192,9.418178,2.633544,155635
1980-09-19,0.000000,9.445164,9.256261,9.256261,2.588269,109315
