Date,Open,High,Low,Close,Adj Close,Volume
1993-11-12,4.531300,4.625000,4.500000,4.531300,4.531300,3055200
1993-11-15,4.531300,4.593800,4.531300,4.531300,4.531300,998400
1993-11-16,4.375000,4.562500,4.375000,4.375000,4.375000,722800
1993-11-17,4.406300,4.468800,4.406300,4.406300,4.406300,325600
1993-11-18,4.406300,4.406300,4.375000,4.406300,4.406300,227600
1993-11-19,4.125000,4.375000,4.125000,4.125000,4.125000,584400
1993-11-22,4.281300,4.312500,4.187500,4.281300,4.281300,146000
1993-11-23,4.250000,4.312500,4.218800,4.250000,4.250000,124400
1993-11-24,4.375000,4.406300,4.250000,4.375000,4.375000,137200
1993-11-26,4.312500,4.312500,4.312500,4.312500,4.312500,202800
1993-11-29,4.125000,4.343800,4.093800,4.125000,4.125000,263600
1993-11-30,4.093800,4.187500,4.093800,4.093800,4.093800,64000
1993-12-01,4.125000,4.125000,4.093800,4.125000,4.125000,55200
1993-12-02,4.156300,4.156300,4.125000,4.156300,4.156300,24800
1993-12-03,4.093800,4.250000,4.062500,4.093800,4.093800,110400
1993-12-06,4.000000,4.062500,3.937500,4.000000,4.000000,216800
1993-12-07,4.062500,4.062500,4.000000,4.062500,4.062500,82000
1993-12-08,4.093800,4.125000,4.093800,4.093800,4.093800,38400
1993-12-09,4.218800,4.250000,4.125000,4.218800,4.218800,65600
1993-12-10,4.218800,4.250000,4.218800,4.218800,4.218800,98800
1993-12-13,4.156300,4.250000,4.156300,4.156300,4.156300,34000
1993-12-14,4.093800,4.187500,4.093800,4.093800,4.093800,102000
1993-12-15,4.156300,4.187500,4.125000,4.156300,4.156300,112800
1993-12-16,4.187500,4.218800,4.187500,4.187500,4.187500,70800
1993-12-17,4.156300,4.218800,4.125000,4.156300,4.156300,36000
1993-12-20,4.156300,4.187500,4.125000,4.156300,4.156300,95600
1993-12-21,4.250000,4.281300,4.187500,4.250000,4.250000,365200
1993-12-22,4.250000,4.281300,4.250000,4.250000,4.250000,6800
1993-12-23,4.281300,4.281300,4.250000,4.281300,4.281300,23600
1993-12-27,4.281300,4.312500,4.250000,4.281300,4.281300,47200
1993-12-28,4.250000,4.281300,4.250000,4.250000,4.250000,24400
1993-12-29,4.375000,4.406300,4.281300,4.375000,4.375000,65600
1993-12-30,4.375000,4.437500,4.343800,4.375000,4.375000,113200
1993-12-31,4.406300,4.406300,4.343800,4.406300,4.406300,49600
1994-01-03,4.375000,4.375000,4.343800,4.375000,4.375000,99200
1994-01-04,4.343800,4.375000,4.343800,4.343800,4.343800,75200
1994-01-05,4.531300,4.625000,4.406300,4.531300,4.531300,699200
