Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.826389,0.805556,0.805556,0.367808,230400
1980-03-18,0.000000,0.812500,0.791667,0.791667,0.361466,493200
1980-03-19,0.000000,0.812500,0.791667,0.791667,0.361466,72000
1980-03-20,0.000000,0.812500,0.791667,0.791667,0.361466,97200
1980-03-21,0.000000,0.805556,0.784722,0.784722,0.358295,198000
1980-03-24,0.000000,0.805556,0.784722,0.784722,0.358295,230400
1980-03-25,0.000000,0.805556,0.784722,0.784722,0.358295,64800
1980-03-26,0.000000,0.805556,0.784722,0.784722,0.358295,28800
1980-03-27,0.000000,0.791667,0.770833,0.770833,0.351953,90000
1980-03-28,0.000000,0.805556,0.784722,0.784722,0.358295,104400
1980-03-31,0.000000,0.819444,0.798611,0.798611,0.364636,111600
1980-04-01,0.000000,0.819444,0.798611,0.798611,0.364636,68400
1980-04-02,0.000000,0.826389,0.805556,0.805556,0.367808,68400
1980-04-03,0.000000,0.826389,0.805556,0.805556,0.367808,28800
1980-04-07,0.000000,0.826389,0.805556,0.805556,0.367808,90000
1980-04-08,0.000000,0.826389,0.805556,0.805556,0.367808,36000
1980-04-09,0.000000,0.826389,0.805556,0.805556,0.367808,133200
1980-04-10,0.000000,0.819444,0.798611,0.798611,0.364636,295200
1980-04-11,0.000000,0.819444,0.798611,0.798611,0.364636,126000
1980-04-14,0.000000,0.819444,0.798611,0.798611,0.364636,183600
1980-04-15,0.000000,0.819444,0.798611,0.798611,0.364636,7200
1980-04-16,0.000000,0.819444,0.798611,0.798611,0.364636,241200
1980-04-17,0.000000,0.826389,0.805556,0.805556,0.367808,262800
1980-04-18,0.000000,0.826389,0.805556,0.805556,0.367808,75600
1980-04-21,0.000000,0.826389,0.805556,0.805556,0.367808,36000
1980-04-22,0.000000,0.826389,0.805556,0.805556,0.367808,10800
1980-04-23,0.000000,0.840278,0.819444,0.819444,0.374148,212400
1980-04-24,0.000000,0.854167,0.833333,0.833333,0.380490,75600
1980-04-25,0.000000,0.868056,0.847222,0.847222,0.386831,90000
1980-04-28,0.000000,0.875000,0.854167,0.854167,0.390002,79200
1980-04-29,0.000000,0.881944,0.861111,0.861111,0.393173,93600
1980-04-30,0.000000,0.888889,0.868056,0.868056,0.396344,28800
1980-05-01,0.000000,0.895833,0.875000,0.875000,0.399514,122400
1980-05-02,0.000000,0.888889,0.868056,0.868056,0.396344,79200
1980-05-05,0.000000,0.944444,0.923611,0.923611,0.421710,788400
1980-05-06,0.000000,0.951389,0.930556,0.930556,0.424881,144000
1980-05-07,0.000000,0.951389,0.930556,0.930556,0.424881,72000
1980-05-08,0.000000,0.979167,0.958333,0.958333,0.437563,327600
1980-05-09,0.000000,0.979167,0.958333,0.958333,0.437563,43200
1980-05-12,0.000000,0.979167,0.958333,0.958333,0.437563,21600
1980-05-13,0.000000,0.979167,0.958333,0.958333,0.437563,154800
1980-05-14,0.000000,0.979167,0.958333,0.958333,0.437563,14400
1980-05-15,0.000000,0.979167,0.958333,0.958333,0.437563,72000
1980-05-16,0.000000,0.965278,0.944444,0.944444,0.431222,406800
1980-05-19,0.000000,0.965278,0.944444,0.944444,0.431222,7200
1980-05-20,0.000000,0.958333,0.937500,0.937500,0.428051,216000
1980-05-21,0.000000,0.951389,0.930556,0.930556,0.424881,28800
1980-05-22,0.000000,0.951389,0.930556,0.930556,0.424881,1357200
1980-05-23,0.000000,0.965278,0.944444,0.944444,0.431222,417600
1980-05-27,0.000000,0.965278,0.944444,0.944444,0.431222,216000
1980-05-28,0.000000,0.965278,0.944444,0.944444,0.431222,82800
1980-05-29,0.000000,0.951389,0.930556,0.930556,0.424881,43200
1980-05-30,0.000000,0.944444,0.923611,0.923611,0.421710,500400
1980-06-02,0.000000,0.937500,0.916667,0.916667,0.418539,90000
1980-06-03,0.000000,0.937500,0.916667,0.916667,0.418539,46800
1980-06-04,0.000000,0.930556,0.909722,0.909722,0.415368,61200
1980-06-05,0.000000,0.937500,0.916667,0.916667,0.418539,82800
1980-06-06,0.000000,0.937500,0.916667,0.916667,0.418539,349200
1980-06-09,0.000000,0.937500,0.916667,0.916667,0.418539,25200
1980-06-10,0.000000,0.937500,0.916667,0.916667,0.418539,64800
