Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,8.781120,8.781120,8.781120,8.781120,8.781120,0
1972-06-02,8.624830,8.624830,8.624830,8.624830,8.624830,0
1972-06-05,8.312350,8.312350,8.312350,8.312350,8.312350,0
1972-06-06,8.187320,8.187320,8.187320,8.187320,8.187320,0
1972-06-07,8.031140,8.031140,8.031140,8.031140,8.031140,0
1972-06-08,7.874840,7.874840,7.874840,7.874840,7.874840,0
1972-06-09,7.937360,7.937360,7.937360,7.937360,7.937360,0
1972-06-12,7.874840,7.874840,7.874840,7.874840,7.874840,0
1972-06-13,null,null,null,null,null,null
1972-06-14,7.812320,7.812320,7.812320,7.812320,7.812320,0
1972-06-15,7.656150,7.656150,7.656150,7.656150,7.656150,0
1972-06-16,7.874840,7.874840,7.874840,7.874840,7.874840,0
1972-06-19,7.718670,7.718670,7.718670,7.718670,7.718670,0
1972-06-20,7.562370,7.562370,7.562370,7.562370,7.562370,0
1972-06-21,null,null,null,null,null,null
1972-06-22,7.499850,7.499850,7.499850,7.499850,7.499850,0
1972-06-23,8.187320,8.187320,8.187320,8.187320,8.187320,0
1972-06-26,8.249830,8.249830,8.249830,8.249830,8.249830,0
1972-06-27,8.031140,8.031140,8.031140,8.031140,8.031140,0
1972-06-28,7.562370,7.562370,7.562370,7.562370,7.562370,0
1972-06-29,7.874840,7.874840,7.874840,7.874840,7.874840,0
1972-06-30,7.718670,7.718670,7.718670,7.718670,7.718670,0
1972-07-03,7.656150,7.656150,7.656150,7.656150,7.656150,0
1972-07-05,7.718670,7.718670,7.718670,7.718670,7.718670,0
1972-07-06,7.874840,7.874840,7.874840,7.874840,7.874840,0
1972-07-07,7.718670,7.718670,7.718670,7.718670,7.718670,0
1972-07-10,null,null,null,null,null,null
1972-07-11,7.562370,7.562370,7.562370,7.562370,7.562370,0
1972-07-12,7.343670,7.343670,7.343670,7.343670,7.343670,0
1972-07-13,null,null,null,null,null,null
1972-07-14,6.374870,6.374870,6.374870,6.374870,6.374870,0
1972-07-17,null,null,null,null,null,null
1972-07-18,5.999880,5.999880,5.999880,5.999880,5.999880,0
1972-07-19,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-07-20,6.218700,6.218700,6.218700,6.218700,6.218700,0
1972-07-21,6.312350,6.312350,6.312350,6.312350,6.312350,0
1972-07-24,6.062400,6.062400,6.062400,6.062400,6.062400,0
1972-07-25,5.687410,5.687410,5.687410,5.687410,5.687410,0
1972-07-26,5.468710,5.468710,5.468710,5.468710,5.468710,0
1972-07-27,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-07-28,5.999880,5.999880,5.999880,5.999880,5.999880,0
1972-07-31,null,null,null,null,null,null
1972-08-01,5.781180,5.781180,5.781180,5.781180,5.781180,0
1972-08-02,5.937360,5.937360,5.937360,5.937360,5.937360,0
1972-08-03,5.999880,5.999880,5.999880,5.999880,5.999880,0
1972-08-04,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-08-07,6.062400,6.062400,6.062400,6.062400,6.062400,0
1972-08-08,6.218700,6.218700,6.218700,6.218700,6.218700,0
1972-08-09,6.812380,6.812380,6.812380,6.812380,6.812380,0
1972-08-10,7.437330,7.437330,7.437330,7.437330,7.437330,0
1972-08-11,null,null,null,null,null,null
1972-08-14,7.718670,7.718670,7.718670,7.718670,7.718670,0
1972-08-15,7.562370,7.562370,7.562370,7.562370,7.562370,0
1972-08-16,7.343670,7.343670,7.343670,7.343670,7.343670,0
1972-08-17,7.062340,7.062340,7.062340,7.062340,7.062340,0
1972-08-18,6.968680,6.968680,6.968680,6.968680,6.968680,0
1972-08-21,6.906160,6.906160,6.906160,6.906160,6.906160,0
1972-08-22,7.124860,7.124860,7.124860,7.124860,7.124860,0
1972-08-23,6.749860,6.749860,6.749860,6.749860,6.749860,0
1972-08-24,6.531170,6.531170,6.531170,6.531170,6.531170,0
1972-08-25,6.437390,6.437390,6.437390,6.437390,6.437390,0
1972-08-28,null,null,null,null,null,null
1972-08-29,null,null,null,null,null,null
1972-08-30,6.374870,6.374870,6.374870,6.374870,6.374870,0
1972-08-31,null,null,null,null,null,null
1972-09-01,6.312350,6.312350,6.312350,6.312350,6.312350,0
1972-09-05,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-09-06,null,null,null,null,null,null
1972-09-07,6.218700,6.218700,6.218700,6.218700,6.218700,0
1972-09-08,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-09-11,6.062400,6.062400,6.062400,6.062400,6.062400,0
1972-09-12,6.218700,6.218700,6.218700,6.218700,6.218700,0
1972-09-13,6.312350,6.312350,6.312350,6.312350,6.312350,0
1972-09-14,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-09-15,5.999880,5.999880,5.999880,5.999880,5.999880,0
1972-09-18,6.062400,6.062400,6.062400,6.062400,6.062400,0
1972-09-19,5.999880,5.999880,5.999880,5.999880,5.999880,0
1972-09-20,null,null,null,null,null,null
1972-09-21,null,null,null,null,null,null
1972-09-22,5.937360,5.937360,5.937360,5.937360,5.937360,0
1972-09-25,5.781180,5.781180,5.781180,5.781180,5.781180,0
1972-09-26,null,null,null,null,null,null
1972-09-27,5.937360,5.937360,5.937360,5.937360,5.937360,0
1972-09-28,6.062400,6.062400,6.062400,6.062400,6.062400,0
1972-09-29,null,null,null,null,null,null
1972-10-02,5.937360,5.937360,5.937360,5.937360,5.937360,0
1972-10-03,5.781180,5.781180,5.781180,5.781180,5.781180,0
1972-10-04,5.843700,5.843700,5.843700,5.843700,5.843700,0
1972-10-05,5.687410,5.687410,5.687410,5.687410,5.687410,0
1972-10-06,5.781180,5.781180,5.781180,5.781180,5.781180,0
1972-10-09,null,null,null,null,null,null
1972-10-10,null,null,null,null,null,null
1972-10-11,null,null,null,null,null,null
1972-10-12,null,null,null,null,null,null
1972-10-13,5.843700,5.843700,5.843700,5.843700,5.843700,0
1972-10-16,5.687410,5.687410,5.687410,5.687410,5.687410,0
1972-10-17,null,null,null,null,null,null
1972-10-18,5.843700,5.843700,5.843700,5.843700,5.843700,0
1972-10-19,6.531170,6.531170,6.531170,6.531170,6.531170,0
1972-10-20,7.062340,7.062340,7.062340,7.062340,7.062340,0
1972-10-23,7.812320,7.812320,7.812320,7.812320,7.812320,0
1972-10-24,7.718670,7.718670,7.718670,7.718670,7.718670,0
1972-10-25,7.499850,7.499850,7.499850,7.499850,7.499850,0
1972-10-26,7.562370,7.562370,7.562370,7.562370,7.562370,0
1972-10-27,null,null,null,null,null,null
1972-10-30,7.499850,7.499850,7.499850,7.499850,7.499850,0
1972-10-31,6.906160,6.906160,6.906160,6.906160,6.906160,0
1972-11-01,6.968680,6.968680,6.968680,6.968680,6.968680,0
1972-11-02,7.124860,7.124860,7.124860,7.124860,7.124860,0
1972-11-03,null,null,null,null,null,null
1972-11-06,null,null,null,null,null,null
1972-11-08,7.062340,7.062340,7.062340,7.062340,7.062340,0
1972-11-09,6.906160,6.906160,6.906160,6.906160,6.906160,0
1972-11-10,null,null,null,null,null,null
1972-11-13,6.687350,6.687350,6.687350,6.687350,6.687350,0
1972-11-14,6.312350,6.312350,6.312350,6.312350,6.312350,0
1972-11-15,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-11-16,6.437390,6.437390,6.437390,6.437390,6.437390,0
1972-11-17,6.374870,6.374870,6.374870,6.374870,6.374870,0
1972-11-20,6.156180,6.156180,6.156180,6.156180,6.156180,0
1972-11-21,6.062400,6.062400,6.062400,6.062400,6.062400,0
1972-11-22,5.999880,5.999880,5.999880,5.999880,5.999880,0
1972-11-24,5.937360,5.937360,5.937360,5.937360,5.937360,0
1972-11-27,6.437390,6.437390,6.437390,6.437390,6.437390,0
1972-11-28,6.374870,6.374870,6.374870,6.374870,6.374870,0
1972-11-29,6.312350,6.312350,6.312350,6.312350,6.312350,0
1972-11-30,6.374870,6.374870,6.374870,6.374870,6.374870,0
1972-12-01,6.749860,6.749860,6.749860,6.749860,6.749860,0
1972-12-04,6.531170,6.531170,6.531170,6.531170,6.531170,0
1972-12-05,null,null,null,null,null,null
1972-12-06,6.749860,6.749860,6.749860,6.749860,6.749860,0
1972-12-07,6.812380,6.812380,6.812380,6.812380,6.812380,0
1972-12-08,6.906160,6.906160,6.906160,6.906160,6.906160,0
1972-12-11,6.812380,6.812380,6.812380,6.812380,6.812380,0
1972-12-12,6.531170,6.531170,6.531170,6.531170,6.531170,0
1972-12-13,6.437390,6.437390,6.437390,6.437390,6.437390,0
