Date,Open,High,Low,Close,Adj Close,Volume
1983-08-26,0.000000,0.212434,0.208098,0.208098,0.095858,15754089
1983-08-29,0.000000,0.203763,0.199428,0.199428,0.091865,3598298
1983-08-30,0.000000,0.208098,0.199428,0.199428,0.091865,3096613
1983-08-31,0.000000,0.203763,0.199428,0.199428,0.091865,738113
1983-09-01,0.000000,0.203763,0.195092,0.195092,0.089867,1176367
1983-09-02,0.000000,0.203763,0.195092,0.195092,0.089867,674681
1983-09-06,0.000000,0.199428,0.195092,0.195092,0.089867,651615
1983-09-07,0.000000,0.208098,0.195092,0.195092,0.089867,1037971
1983-09-08,0.000000,0.208098,0.199428,0.199428,0.091865,697747
1983-09-09,0.000000,0.212434,0.203763,0.203763,0.093861,1066803
1983-09-12,0.000000,0.212434,0.203763,0.203763,0.093861,657381
1983-09-13,0.000000,0.208098,0.199428,0.199428,0.091865,317158
1983-09-14,0.000000,0.208098,0.195092,0.195092,0.089867,271026
1983-09-15,0.000000,0.208098,0.195092,0.195092,0.089867,282559
1983-09-16,0.000000,0.208098,0.195092,0.195092,0.089867,167229
1983-09-19,0.000000,0.208098,0.195092,0.195092,0.089867,149929
1983-09-20,0.000000,0.221105,0.208098,0.208098,0.095858,1124468
1983-09-21,0.000000,0.221105,0.208098,0.208098,0.095858,334457
1983-09-22,0.000000,0.221105,0.208098,0.208098,0.095858,420955
1983-09-23,0.000000,0.221105,0.208098,0.208098,0.095858,818844
1983-09-26,0.000000,0.225440,0.212434,0.212434,0.097856,149929
1983-09-27,0.000000,0.225440,0.212434,0.212434,0.097856,144163
1983-09-28,0.000000,0.225440,0.212434,0.212434,0.097856,126863
1983-09-29,0.000000,0.225440,0.212434,0.212434,0.097856,86498
1983-09-30,0.000000,0.225440,0.212434,0.212434,0.097856,957240
1983-10-03,0.000000,0.225440,0.212434,0.212434,0.097856,92264
1983-10-04,0.000000,0.225440,0.212434,0.212434,0.097856,74965
1983-10-05,0.000000,0.225440,0.212434,0.212434,0.097856,190295
1983-10-06,0.000000,0.251452,0.238446,0.238446,0.109838,593950
1983-10-07,0.000000,0.247117,0.234111,0.234111,0.107841,392122
1983-10-10,0.000000,0.247117,0.234111,0.234111,0.107841,126863
1983-10-11,0.000000,0.251452,0.242781,0.242781,0.111835,2150906
1983-10-12,0.000000,0.247117,0.238446,0.238446,0.109838,853443
1983-10-13,0.000000,0.247117,0.238446,0.238446,0.109838,2600693
1983-10-14,0.000000,0.247117,0.238446,0.238446,0.109838,69198
1983-10-17,0.000000,0.247117,0.238446,0.238446,0.109838,28833
1983-10-18,0.000000,0.242781,0.234111,0.234111,0.107841,253726
1983-10-19,0.000000,0.229775,0.216769,0.216769,0.099853,317158
1983-10-20,0.000000,0.229775,0.221105,0.221105,0.101850,397889
1983-10-21,0.000000,0.234111,0.229775,0.229775,0.105844,536285
1983-10-24,0.000000,0.234111,0.229775,0.229775,0.105844,196061
1983-10-25,0.000000,0.242781,0.229775,0.229775,0.105844,155696
1983-10-26,0.000000,0.238446,0.234111,0.234111,0.107841,184528
1983-10-27,0.000000,0.238446,0.234111,0.234111,0.107841,138396
1983-10-28,0.000000,0.242781,0.234111,0.234111,0.107841,115330
1983-10-31,0.000000,0.238446,0.229775,0.229775,0.105844,74965
1983-11-01,0.000000,0.238446,0.229775,0.229775,0.105844,80731
1983-11-02,0.000000,0.242781,0.234111,0.234111,0.107841,697747
1983-11-03,0.000000,0.238446,0.234111,0.234111,0.107841,80731
1983-11-04,0.000000,0.242781,0.234111,0.234111,0.107841,57665
1983-11-07,0.000000,0.242781,0.234111,0.234111,0.107841,420955
1983-11-08,0.000000,0.238446,0.229775,0.229775,0.105844,334457
1983-11-09,0.000000,0.234111,0.229775,0.229775,0.105844,34599
1983-11-10,0.000000,0.234111,0.229775,0.229775,0.105844,34599
1983-11-11,0.000000,0.234111,0.229775,0.229775,0.105844,98031
1983-11-14,0.000000,0.234111,0.229775,0.229775,0.105844,57665
1983-11-15,0.000000,0.234111,0.229775,0.229775,0.105844,51899
1983-11-16,0.000000,0.229775,0.221105,0.221105,0.101850,92264
1983-11-17,0.000000,0.229775,0.221105,0.221105,0.101850,276792
1983-11-18,0.000000,0.229775,0.221105,0.221105,0.101850,219127
1983-11-21,0.000000,0.225440,0.216769,0.216769,0.099853,403655
1983-11-22,0.000000,0.221105,0.212434,0.212434,0.097856,190295
1983-11-23,0.000000,0.221105,0.212434,0.212434,0.097856,138396
1983-11-25,0.000000,0.208098,0.203763,0.203763,0.093861,720813
1983-11-28,0.000000,0.203763,0.199428,0.199428,0.091865,726579
1983-11-29,0.000000,0.208098,0.203763,0.203763,0.093861,490153
1983-11-30,0.000000,0.208098,0.203763,0.203763,0.093861,357523
1983-12-01,0.000000,0.212434,0.208098,0.208098,0.095858,374823
1983-12-02,0.000000,0.212434,0.203763,0.203763,0.093861,1285930
1983-12-05,0.000000,0.212434,0.208098,0.208098,0.095858,5767
1983-12-06,0.000000,0.212434,0.203763,0.203763,0.093861,282559
1983-12-07,0.000000,0.208098,0.203763,0.203763,0.093861,63432
1983-12-08,0.203763,0.203763,0.203763,0.203763,0.093861,0
1983-12-09,0.000000,0.208098,0.203763,0.203763,0.093861,34599
1983-12-12,0.000000,0.212434,0.203763,0.203763,0.093861,132630
1983-12-13,0.000000,0.208098,0.199428,0.199428,0.091865,207594
1983-12-14,0.000000,0.208098,0.199428,0.199428,0.091865,132630
1983-12-15,0.000000,0.208098,0.199428,0.199428,0.091865,5767
1983-12-16,0.000000,0.203763,0.199428,0.199428,0.091865,201828
1983-12-19,0.000000,0.199428,0.195092,0.195092,0.089867,28833
1983-12-20,0.000000,0.199428,0.195092,0.195092,0.089867,294092
1983-12-21,0.000000,0.208098,0.199428,0.199428,0.091865,432488
1983-12-22,0.000000,0.216769,0.212434,0.212434,0.097856,1891413
1983-12-23,0.000000,0.216769,0.212434,0.212434,0.097856,322924
1983-12-27,0.000000,0.221105,0.212434,0.212434,0.097856,1395494
1983-12-28,0.000000,0.221105,0.212434,0.212434,0.097856,86498
1983-12-29,0.000000,0.221105,0.212434,0.212434,0.097856,126863
1983-12-30,0.000000,0.216769,0.208098,0.208098,0.095858,317158
1984-01-03,0.000000,0.212434,0.203763,0.203763,0.093861,386356
1984-01-04,0.000000,0.212434,0.203763,0.203763,0.093861,645848
1984-01-05,0.000000,0.212434,0.203763,0.203763,0.093861,2646825
1984-01-06,0.000000,0.216769,0.212434,0.212434,0.097856,432488
1984-01-09,0.000000,0.216769,0.208098,0.208098,0.095858,611249
1984-01-10,0.000000,0.212434,0.208098,0.208098,0.095858,213361
1984-01-11,0.000000,0.212434,0.203763,0.203763,0.093861,1833748
1984-01-12,0.000000,0.208098,0.199428,0.199428,0.091865,311391
1984-01-13,0.000000,0.208098,0.199428,0.199428,0.091865,98031
1984-01-16,0.000000,0.208098,0.199428,0.199428,0.091865,74965
1984-01-17,0.000000,0.208098,0.203763,0.203763,0.093861,1920246
