Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.849233,0.834269,0.834269,0.232317,126968
1980-03-18,0.000000,0.815563,0.800599,0.800599,0.222941,360855
1980-03-19,0.000000,0.804340,0.789375,0.789375,0.219815,213840
1980-03-20,0.000000,0.748223,0.733259,0.733259,0.204189,400950
1980-03-21,0.000000,0.755705,0.740741,0.740741,0.206272,173745
1980-03-24,0.000000,0.740741,0.725776,0.725776,0.202105,441045
1980-03-25,0.000000,0.751964,0.737000,0.737000,0.205230,253935
1980-03-26,0.000000,0.751964,0.737000,0.737000,0.205230,80190
1980-03-27,0.000000,0.733259,0.718294,0.718294,0.200022,1055835
1980-03-28,0.000000,0.755705,0.740741,0.740741,0.206272,200475
1980-03-31,0.000000,0.755705,0.740741,0.740741,0.206272,140333
1980-04-01,0.000000,0.755705,0.740741,0.740741,0.206272,66825
1980-04-02,0.000000,0.744482,0.729517,0.729517,0.203147,260618
1980-04-03,0.000000,0.744482,0.729517,0.729517,0.203147,153698
1980-04-07,0.000000,0.744482,0.729517,0.729517,0.203147,1262993
1980-04-08,0.000000,0.740741,0.725776,0.725776,0.202105,1283040
1980-04-09,0.000000,0.759446,0.744482,0.744482,0.207314,4069643
1980-04-10,0.000000,0.755705,0.740741,0.740741,0.206272,53460
1980-04-11,0.000000,0.755705,0.740741,0.740741,0.206272,213840
1980-04-14,0.000000,0.748223,0.733259,0.733259,0.204189,86873
1980-04-15,0.000000,0.748223,0.733259,0.733259,0.204189,46778
1980-04-16,0.000000,0.744482,0.729517,0.729517,0.203147,735075
1980-04-17,0.000000,0.725776,0.710812,0.710812,0.197938,140333
1980-04-18,0.000000,0.722035,0.707071,0.707071,0.196896,233888
1980-04-21,0.000000,0.722035,0.707071,0.707071,0.196896,60143
1980-04-22,0.000000,0.729517,0.714553,0.714553,0.198980,133650
1980-04-23,0.000000,0.635990,0.621025,0.621025,0.172935,995693
1980-04-24,0.000000,0.673401,0.658436,0.658436,0.183353,821948
1980-04-25,0.000000,0.669660,0.654695,0.654695,0.182311,300713
1980-04-28,0.000000,0.673401,0.658436,0.658436,0.183353,120285
1980-04-29,0.000000,0.673401,0.658436,0.658436,0.183353,507870
1980-04-30,0.000000,0.688365,0.673401,0.673401,0.187520,300713
1980-05-01,0.000000,0.684624,0.669660,0.669660,0.186479,1610483
1980-05-02,0.000000,0.680883,0.665918,0.665918,0.185436,942233
1980-05-05,0.000000,0.684624,0.669660,0.669660,0.186479,621473
1980-05-06,0.000000,0.695847,0.680883,0.680883,0.189604,340808
1980-05-07,0.000000,0.718294,0.703330,0.703330,0.195854,227205
1980-05-08,0.000000,0.729517,0.714553,0.714553,0.198980,187110
1980-05-09,0.000000,0.737000,0.722035,0.722035,0.201063,173745
1980-05-12,0.000000,0.725776,0.710812,0.710812,0.197938,207158
1980-05-13,0.000000,0.707071,0.692106,0.692106,0.192729,654885
1980-05-14,0.000000,0.729517,0.714553,0.714553,0.198980,253935
1980-05-15,0.000000,0.737000,0.722035,0.722035,0.201063,167063
1980-05-16,0.000000,0.748223,0.733259,0.733259,0.204189,80190
1980-05-19,0.000000,0.744482,0.729517,0.729517,0.203147,253935
1980-05-20,0.000000,0.744482,0.729517,0.729517,0.203147,340808
1980-05-21,0.000000,0.744482,0.729517,0.729517,0.203147,227205
1980-05-22,0.000000,0.800599,0.785634,0.785634,0.218773,708345
1980-05-23,0.000000,0.819304,0.804340,0.804340,0.223982,213840
1980-05-27,0.000000,0.815563,0.800599,0.800599,0.222941,240570
1980-05-28,0.000000,0.804340,0.789375,0.789375,0.219815,233888
1980-05-29,0.000000,0.793116,0.778152,0.778152,0.216690,173745
1980-05-30,0.000000,0.789375,0.774411,0.774411,0.215648,86873
1980-06-02,0.000000,0.789375,0.774411,0.774411,0.215648,26730
1980-06-03,0.000000,0.785634,0.770670,0.770670,0.214607,273983
1980-06-04,0.000000,0.793116,0.778152,0.778152,0.216690,160380
1980-06-05,0.000000,0.785634,0.770670,0.770670,0.214607,120285
1980-06-06,0.000000,0.781893,0.766929,0.766929,0.213565,253935
1980-06-09,0.000000,0.770670,0.755705,0.755705,0.210439,267300
1980-06-10,0.000000,0.770670,0.755705,0.755705,0.210439,53460
1980-06-11,0.000000,0.778152,0.763187,0.763187,0.212523,334125
1980-06-12,0.000000,0.766929,0.751964,0.751964,0.209397,147015
1980-06-13,0.000000,0.770670,0.755705,0.755705,0.210439,80190
1980-06-16,0.000000,0.774411,0.759446,0.759446,0.211481,73508
1980-06-17,0.000000,0.774411,0.759446,0.759446,0.211481,53460
1980-06-18,0.000000,0.763187,0.748223,0.748223,0.208356,173745
1980-06-19,0.000000,0.766929,0.751964,0.751964,0.209397,66825
1980-06-20,0.000000,0.763187,0.748223,0.748223,0.208356,173745
1980-06-23,0.000000,0.763187,0.748223,0.748223,0.208356,33413
1980-06-24,0.000000,0.770670,0.755705,0.755705,0.210439,113603
1980-06-25,0.000000,0.778152,0.763187,0.763187,0.212523,167063
1980-06-26,0.000000,0.781893,0.766929,0.766929,0.213565,213840
1980-06-27,0.000000,0.781893,0.766929,0.766929,0.213565,113603
1980-06-30,0.000000,0.781893,0.766929,0.766929,0.213565,93555
1980-07-01,0.000000,0.781893,0.766929,0.766929,0.213565,120285
1980-07-02,0.000000,0.781893,0.766929,0.766929,0.213565,93555
1980-07-03,0.000000,0.800599,0.785634,0.785634,0.218773,474458
1980-07-07,0.000000,0.804340,0.796857,0.796857,0.221899,100238
1980-07-08,0.000000,0.796857,0.789375,0.789375,0.219815,167063
1980-07-09,0.000000,0.808081,0.800599,0.800599,0.222941,374220
1980-07-10,0.000000,0.815563,0.804340,0.804340,0.223982,140333
1980-07-11,0.000000,0.823045,0.811822,0.811822,0.226066,180428
1980-07-14,0.000000,0.860456,0.852974,0.852974,0.237526,461093
1980-07-15,0.000000,0.852974,0.849233,0.849233,0.236484,581378
1980-07-16,0.000000,0.852974,0.845492,0.845492,0.235442,140333
1980-07-17,0.000000,0.852974,0.849233,0.849233,0.236484,1002375
1980-07-18,0.000000,0.849233,0.841751,0.841751,0.234400,781853
1980-07-21,0.000000,0.852974,0.845492,0.845492,0.235442,654885
1980-07-22,0.000000,0.841751,0.834269,0.834269,0.232317,407633
1980-07-23,0.000000,0.841751,0.834269,0.834269,0.232317,260618
1980-07-24,0.000000,0.841751,0.834269,0.834269,0.232317,133650
1980-07-25,0.000000,0.841751,0.834269,0.834269,0.232317,153698
1980-07-28,0.000000,0.852974,0.845492,0.845492,0.235442,207158
1980-07-29,0.000000,0.852974,0.845492,0.845492,0.235442,173745
1980-07-30,0.000000,0.882903,0.875421,0.875421,0.243776,1657260
1980-07-31,0.000000,0.867939,0.864198,0.864198,0.240651,240570
1980-08-01,0.000000,0.867939,0.860456,0.860456,0.239609,173745
1980-08-04,0.000000,0.875421,0.867939,0.867939,0.241693,160380
1980-08-05,0.000000,0.879162,0.871680,0.871680,0.242734,273983
1980-08-06,0.000000,0.879162,0.871680,0.871680,0.242734,200475
1980-08-07,0.000000,0.901609,0.894126,0.894126,0.248985,768488
1980-08-08,0.000000,0.912832,0.909091,0.909091,0.253152,1002375
1980-08-11,0.000000,0.920314,0.912832,0.912832,0.254194,360855
1980-08-12,0.000000,0.927796,0.920314,0.920314,0.256278,287348
1980-08-13,0.000000,0.946502,0.939020,0.939020,0.261487,781853
1980-08-14,0.000000,0.946502,0.942761,0.942761,0.262528,781853
1980-08-15,0.000000,0.972690,0.965208,0.965208,0.268779,788535
1980-08-18,0.000000,0.946502,0.942761,0.942761,0.262528,735075
1980-08-19,0.000000,0.942761,0.939020,0.939020,0.261487,340808
1980-08-20,0.000000,0.946502,0.939020,0.939020,0.261487,46778
1980-08-21,0.000000,0.995137,0.987654,0.987654,0.275029,735075
1980-08-22,0.000000,1.025065,1.017583,1.017583,0.283364,1897830
1980-08-25,0.000000,1.010101,1.002619,1.002619,0.279197,327443
1980-08-26,0.000000,1.021324,1.013842,1.013842,0.282322,180428
1980-08-27,0.000000,1.002619,0.995137,0.995137,0.277113,260618
1980-08-28,0.000000,1.006360,0.995137,0.995137,0.277113,300713
1980-08-29,0.000000,1.010101,0.998878,0.998878,0.278155,46778
1980-09-02,0.000000,1.010101,0.998878,0.998878,0.278155,46778
1980-09-03,0.000000,1.058736,1.047512,1.047512,0.291698,1156073
1980-09-04,0.000000,1.062477,1.051253,1.051253,0.292740,447728
1980-09-05,0.000000,1.077441,1.069959,1.069959,0.297949,915503
1980-09-08,0.000000,1.073700,1.066218,1.066218,0.296907,120285
1980-09-09,0.000000,1.062477,1.051253,1.051253,0.292740,1623848
1980-09-10,0.000000,1.062477,1.051253,1.051253,0.292740,80190
1980-09-11,0.000000,1.103629,1.092406,1.092406,0.304200,1423373
1980-09-12,0.000000,1.103629,1.096147,1.096147,0.305241,427680
1980-09-15,0.000000,1.099888,1.092406,1.092406,0.304200,133650
1980-09-16,0.000000,1.099888,1.092406,1.092406,0.304200,80190
1980-09-17,0.000000,1.099888,1.092406,1.092406,0.304200,280665
1980-09-18,0.000000,1.092406,1.084923,1.084923,0.302116,253935
1980-09-19,0.000000,1.096147,1.084923,1.084923,0.302116,280665
1980-09-22,0.000000,1.103629,1.096147,1.096147,0.305241,434363
1980-09-23,0.000000,1.103629,1.096147,1.096147,0.305241,167063
1980-09-24,0.000000,1.088664,1.084923,1.084923,0.302116,360855
1980-09-25,0.000000,1.088664,1.084923,1.084923,0.302116,360855
1980-09-26,0.000000,1.073700,1.062477,1.062477,0.295865,1904513
1980-09-29,0.000000,1.043771,1.036289,1.036289,0.288573,153698
1980-09-30,0.000000,1.043771,1.036289,1.036289,0.288573,46778
1980-10-01,0.000000,1.043771,1.036289,1.036289,0.288573,320760
1980-10-02,0.000000,1.073700,1.066218,1.066218,0.296907,1436738
1980-10-03,0.000000,1.077441,1.069959,1.069959,0.297949,60143
1980-10-06,0.000000,1.107370,1.096147,1.096147,0.305241,1242945
1980-10-07,0.000000,1.111111,1.103629,1.103629,0.307325,180428
1980-10-08,0.000000,1.118593,1.111111,1.111111,0.309408,521235
1980-10-09,0.000000,1.114852,1.107370,1.107370,0.308366,300713
1980-10-10,0.000000,1.114852,1.111111,1.111111,0.309408,1824323
1980-10-13,0.000000,1.114852,1.107370,1.107370,0.308366,46778
1980-10-14,0.000000,1.114852,1.107370,1.107370,0.308366,153698
1980-10-15,0.000000,1.118593,1.111111,1.111111,0.309408,728393
1980-10-16,0.000000,1.118593,1.111111,1.111111,0.309408,815265
1980-10-17,0.000000,1.114852,1.103629,1.103629,0.307325,354173
