Date,Open,High,Low,Close,Adj Close,Volume
1992-10-28,2.083333,2.111111,1.972222,1.972222,1.314695,19343700
1992-10-29,1.972222,2.055556,1.972222,2.000000,1.333212,4667400
1992-10-30,1.972222,2.027778,1.944444,1.944444,1.296178,4563000
1992-11-02,1.944444,1.972222,1.861111,1.861111,1.240628,3475800
1992-11-03,1.861111,1.916667,1.861111,1.888889,1.259145,1044000
1992-11-04,1.902778,1.944444,1.861111,1.916667,1.277662,897300
1992-11-05,1.888889,1.944444,1.888889,1.944444,1.296178,490500
1992-11-06,1.944444,2.083333,1.888889,2.000000,1.333212,1603800
1992-11-09,2.055556,2.138889,2.027778,2.083333,1.388763,2086200
1992-11-10,2.138889,2.250000,2.111111,2.166667,1.444313,848700
1992-11-11,2.250000,2.361111,2.166667,2.305556,1.536898,1459800
1992-11-12,2.305556,2.305556,2.250000,2.277778,1.518381,655200
1992-11-13,2.250000,2.305556,2.250000,2.305556,1.536898,531900
1992-11-16,2.305556,2.305556,2.083333,2.166667,1.444313,1015200
1992-11-17,2.166667,2.277778,2.083333,2.194444,1.462830,716400
1992-11-18,2.277778,2.333333,2.194444,2.277778,1.518381,413100
1992-11-19,2.388889,2.388889,2.250000,2.250000,1.499864,795600
1992-11-20,2.305556,2.305556,2.194444,2.277778,1.518381,809100
1992-11-23,2.305556,2.305556,2.250000,2.250000,1.499864,218700
1992-11-24,2.361111,2.388889,2.277778,2.333333,1.555414,1695600
1992-11-25,2.333333,2.361111,2.277778,2.361111,1.573931,716400
1992-11-27,2.361111,2.361111,2.277778,2.361111,1.573931,413100
1992-11-30,2.361111,2.361111,2.277778,2.333333,1.555414,1309500
1992-12-01,2.361111,2.430556,2.333333,2.430556,1.620223,348300
1992-12-02,2.444444,2.555556,2.361111,2.500000,1.666516,443700
1992-12-03,2.500000,2.555556,2.472222,2.500000,1.666516,439200
1992-12-04,2.555556,2.555556,2.472222,2.555556,1.703549,88200
1992-12-07,2.472222,2.555556,2.472222,2.472222,1.647998,797400
1992-12-08,2.555556,2.583333,2.472222,2.583333,1.722065,448200
1992-12-09,2.583333,2.611111,2.500000,2.611111,1.740583,280800
1992-12-10,2.527778,2.611111,2.527778,2.583333,1.722065,211500
1992-12-11,2.527778,2.583333,2.527778,2.583333,1.722065,468900
1992-12-14,2.527778,2.611111,2.527778,2.611111,1.740583,500400
1992-12-15,2.611111,2.611111,2.500000,2.500000,1.666516,528300
1992-12-16,2.500000,2.583333,2.500000,2.513889,1.675774,473400
1992-12-17,2.583333,2.611111,2.527778,2.611111,1.740583,206100
1992-12-18,2.638889,2.805556,2.583333,2.805556,1.870200,522000
1992-12-21,2.777778,2.805556,2.666667,2.694444,1.796132,448200
1992-12-22,2.666667,2.750000,2.611111,2.694444,1.796132,2104200
1992-12-23,2.694444,2.694444,2.611111,2.694444,1.796132,97200
1992-12-24,2.694444,2.722222,2.611111,2.722222,1.814649,245700
1992-12-28,2.722222,2.777778,2.666667,2.777778,1.851684,144000
1992-12-29,2.722222,2.777778,2.722222,2.722222,1.814649,36900
1992-12-30,2.722222,2.833333,2.722222,2.777778,1.851684,116100
1992-12-31,2.722222,2.833333,2.722222,2.833333,1.888717,339300
1993-01-04,2.805556,2.916667,2.777778,2.833333,1.888717,306900
1993-01-05,2.833333,2.916667,2.750000,2.833333,1.888717,148500
1993-01-06,2.805556,2.833333,2.638889,2.694444,1.796132,463500
1993-01-07,2.611111,2.666667,2.333333,2.361111,1.573931,1692900
1993-01-08,2.388889,2.388889,2.250000,2.305556,1.536898,885600
1993-01-11,2.305556,2.333333,2.250000,2.319444,1.546156,554400
1993-01-12,2.333333,2.361111,2.291667,2.333333,1.555414,471600
1993-01-13,2.361111,2.361111,2.305556,2.305556,1.536898,259200
1993-01-14,2.361111,2.361111,2.305556,2.361111,1.573931,313200
1993-01-15,2.361111,2.361111,2.305556,2.361111,1.573931,98100
1993-01-18,2.361111,2.361111,2.194444,2.277778,1.518381,596700
1993-01-19,2.277778,2.277778,2.194444,2.277778,1.518381,215100
1993-01-20,2.277778,2.333333,2.138889,2.319444,1.546156,2341800
1993-01-21,2.333333,2.333333,2.250000,2.333333,1.555414,608400
1993-01-22,2.333333,2.333333,2.250000,2.333333,1.555414,812700
1993-01-25,2.333333,2.333333,2.250000,2.305556,1.536898,675900
1993-01-26,2.333333,2.333333,2.250000,2.277778,1.518381,979200
1993-01-27,2.333333,2.416667,2.250000,2.402778,1.601706,941400
1993-01-28,2.444444,2.527778,2.416667,2.500000,1.666516,523800
1993-01-29,2.500000,2.500000,2.416667,2.500000,1.666516,2851200
1993-02-01,2.500000,2.500000,2.416667,2.500000,1.666516,611100
1993-02-02,2.527778,2.527778,2.444444,2.527778,1.685033,230400
1993-02-03,2.444444,2.583333,2.444444,2.569444,1.712807,1307700
1993-02-04,2.583333,2.611111,2.555556,2.583333,1.722065,351900
1993-02-05,2.527778,2.583333,2.444444,2.583333,1.722065,666900
1993-02-08,2.527778,2.611111,2.500000,2.555556,1.703549,349200
1993-02-09,2.555556,2.638889,2.527778,2.555556,1.703549,448200
1993-02-10,2.555556,2.583333,2.527778,2.583333,1.722065,430200
1993-02-11,2.583333,2.638889,2.527778,2.583333,1.722065,117900
1993-02-12,2.583333,2.611111,2.527778,2.555556,1.703549,135900
1993-02-16,2.611111,2.611111,2.138889,2.166667,1.444313,852300
1993-02-17,2.277778,2.305556,2.166667,2.305556,1.536898,995400
1993-02-18,2.388889,2.388889,2.305556,2.319444,1.546156,560700
1993-02-19,2.388889,2.416667,2.305556,2.388889,1.592448,82800
1993-02-22,2.277778,2.361111,2.277778,2.277778,1.518381,99900
