Date,Open,High,Low,Close,Adj Close,Volume
2007-12-28,26.500000,26.950001,26.480000,26.950001,26.950001,360
2007-12-31,null,null,null,null,null,null
2008-01-02,26.850000,27.270000,26.850000,27.270000,27.270000,100
2008-01-03,28.459999,28.459999,28.459999,28.459999,28.459999,50
2008-01-04,null,null,null,null,null,null
2008-01-07,null,null,null,null,null,null
2008-01-08,27.730000,27.730000,27.730000,27.730000,27.730000,40
2008-01-09,null,null,null,null,null,null
2008-01-10,27.160000,27.160000,27.160000,27.160000,27.160000,35
2008-01-11,26.799999,27.450001,26.610001,27.450001,27.450001,26
2008-01-14,null,null,null,null,null,null
2008-01-15,27.120001,27.139999,27.120001,27.139999,27.139999,220
2008-01-16,26.600000,26.600000,26.600000,26.600000,26.600000,370
2008-01-17,27.350000,27.350000,27.350000,27.350000,27.350000,35
2008-01-18,26.400000,26.400000,26.340000,26.340000,26.340000,501
2008-01-22,23.299999,24.000000,23.299999,24.000000,24.000000,1150
2008-01-23,24.000000,24.000000,22.870001,22.870001,22.870001,385
2008-01-24,24.500000,24.500000,24.500000,24.500000,24.500000,2050
2008-01-25,25.000000,25.000000,25.000000,25.000000,25.000000,215
2008-01-28,25.650000,25.650000,25.650000,25.650000,25.650000,20
2008-01-29,null,null,null,null,null,null
2008-01-30,25.590000,25.590000,25.590000,25.590000,25.590000,50
2008-01-31,25.080000,25.260000,25.070000,25.260000,25.260000,1015
2008-02-01,null,null,null,null,null,null
2008-02-04,26.389999,26.389999,26.080000,26.090000,26.090000,93
2008-02-05,25.570000,25.570000,24.639999,24.639999,24.639999,65
2008-02-06,null,null,null,null,null,null
2008-02-07,null,null,null,null,null,null
2008-02-08,null,null,null,null,null,null
2008-02-11,22.700001,22.700001,22.700001,22.700001,22.700001,150
2008-02-12,null,null,null,null,null,null
2008-02-13,24.129999,24.320000,23.950001,24.320000,24.320000,230
2008-02-14,null,null,null,null,null,null
2008-02-15,27.190001,27.190001,26.000000,26.000000,26.000000,850
2008-02-19,null,null,null,null,null,null
2008-02-20,null,null,null,null,null,null
2008-02-21,27.129999,27.129999,27.129999,27.129999,27.129999,40
2008-02-22,null,null,null,null,null,null
2008-02-25,null,null,null,null,null,null
2008-02-26,null,null,null,null,null,null
2008-02-27,null,null,null,null,null,null
2008-02-28,null,null,null,null,null,null
2008-02-29,null,null,null,null,null,null
2008-03-03,24.410000,24.410000,24.410000,24.410000,24.410000,550
2008-03-04,null,null,null,null,null,null
2008-03-05,null,null,null,null,null,null
2008-03-06,25.500000,25.500000,25.200001,25.200001,25.200001,84
2008-03-07,null,null,null,null,null,null
2008-03-10,null,null,null,null,null,null
2008-03-11,24.350000,24.350000,24.350000,24.350000,24.350000,170
2008-03-12,25.100000,25.190001,25.100000,25.190001,25.190001,935
2008-03-13,null,null,null,null,null,null
2008-03-14,null,null,null,null,null,null
2008-03-17,null,null,null,null,null,null
2008-03-18,24.090000,24.090000,24.090000,24.090000,24.090000,25
2008-03-19,24.150000,24.309999,24.150000,24.309999,24.309999,180
2008-03-20,24.480000,24.480000,24.480000,24.480000,24.480000,100
2008-03-24,null,null,null,null,null,null
2008-03-25,null,null,null,null,null,null
2008-03-26,null,null,null,null,null,null
2008-03-27,null,null,null,null,null,null
2008-03-28,null,null,null,null,null,null
2008-03-31,29.299999,29.299999,29.299999,29.299999,29.299999,65
2008-04-01,29.809999,29.809999,29.809999,29.809999,29.809999,50
2008-04-02,28.500000,28.500000,28.500000,28.500000,28.500000,200
2008-04-03,null,null,null,null,null,null
2008-04-04,28.150000,28.150000,28.150000,28.150000,28.150000,18
2008-04-07,null,null,null,null,null,null
2008-04-08,28.000000,28.000000,28.000000,28.000000,28.000000,300
2008-04-09,27.080000,27.080000,27.080000,27.080000,27.080000,32
2008-04-10,null,null,null,null,null,null
2008-04-11,26.809999,26.809999,26.809999,26.809999,26.809999,38
2008-04-14,null,null,null,null,null,null
2008-04-15,null,null,null,null,null,null
2008-04-16,null,null,null,null,null,null
2008-04-17,26.799999,26.799999,26.799999,26.799999,26.799999,1000
2008-04-18,null,null,null,null,null,null
2008-04-21,26.850000,26.850000,26.850000,26.850000,26.850000,10
2008-04-22,null,null,null,null,null,null
2008-04-23,26.280001,26.280001,26.020000,26.020000,26.020000,200
2008-04-24,26.100000,26.100000,26.100000,26.100000,26.100000,150
2008-04-25,null,null,null,null,null,null
2008-04-28,null,null,null,null,null,null
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,null,null,null,null,null,null
