Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.776825,0.791575,0.776825,0.791575,0.148116,386445
1970-01-05,0.791575,0.796492,0.786658,0.789117,0.147656,274579
1970-01-06,0.789117,0.789117,0.781742,0.786658,0.147196,447462
1970-01-07,0.786658,0.786658,0.771908,0.776825,0.145356,198307
1970-01-08,0.776825,0.784200,0.771908,0.771908,0.144436,162714
1970-01-09,0.771908,0.786658,0.771908,0.776825,0.145356,213562
1970-01-12,0.776825,0.784200,0.776825,0.781742,0.146276,127120
1970-01-13,0.776825,0.776825,0.754700,0.754700,0.141216,966112
1970-01-14,0.752242,0.752242,0.700618,0.705534,0.132016,1184758
1970-01-15,0.700618,0.700618,0.668660,0.678493,0.126957,1103402
1970-01-16,0.673576,0.673576,0.658826,0.671118,0.125577,1113571
1970-01-19,0.668660,0.668660,0.648993,0.648993,0.121437,752550
1970-01-20,0.648993,0.648993,0.624410,0.644076,0.120517,1449168
1970-01-21,0.644076,0.666201,0.636702,0.661285,0.123737,813568
1970-01-22,0.661285,0.688326,0.658826,0.683409,0.127877,727126
1970-01-23,0.683409,0.688326,0.661285,0.661285,0.123737,615261
1970-01-26,0.661285,0.668660,0.636702,0.668660,0.125117,838992
1970-01-27,0.668660,0.673576,0.651451,0.666201,0.124657,1113571
1970-01-28,0.666201,0.693243,0.666201,0.668660,0.125117,727126
1970-01-29,0.668660,0.668660,0.648993,0.668660,0.125117,1561034
1970-01-30,0.666201,0.666201,0.644076,0.646535,0.120977,432208
1970-02-02,0.648993,0.668660,0.648993,0.666201,0.124657,437293
1970-02-03,0.666201,0.668660,0.639160,0.646535,0.120977,818653
1970-02-04,0.646535,0.648993,0.629327,0.629327,0.117757,783059
1970-02-05,0.629327,0.629327,0.621952,0.626868,0.117297,254240
1970-02-06,0.624410,0.624410,0.604744,0.614577,0.114997,1006790
1970-02-09,0.614577,0.614577,0.594910,0.594910,0.111317,645770
1970-02-10,0.594910,0.602285,0.572786,0.572786,0.107177,1037299
1970-02-11,0.572786,0.617035,0.570327,0.604744,0.113157,1388150
1970-02-12,0.604744,0.604744,0.589994,0.604744,0.113157,2059344
1970-02-13,0.604744,0.609660,0.589994,0.599827,0.112237,966112
1970-02-16,0.599827,0.604744,0.589994,0.589994,0.110397,1469507
1970-02-17,0.589994,0.597369,0.585077,0.594910,0.113012,1200013
1970-02-18,0.594910,0.609660,0.592452,0.609660,0.115814,1708493
1970-02-19,0.629327,0.668660,0.629327,0.644076,0.122352,1576288
1970-02-20,0.644076,0.656368,0.639160,0.656368,0.124687,1871206
1970-02-24,0.656368,0.663743,0.651451,0.661285,0.125621,1337302
1970-02-25,0.673576,0.737492,0.673576,0.727659,0.138230,3432240
1970-02-26,0.725201,0.725201,0.693243,0.722742,0.137296,1316963
1970-02-27,0.732576,0.754700,0.732576,0.742409,0.141032,3015286
1970-03-02,0.742409,0.752242,0.700618,0.705534,0.134027,2761046
1970-03-03,0.705534,0.722742,0.705534,0.717826,0.136362,737296
1970-03-04,0.717826,0.727659,0.715367,0.715367,0.135895,986451
1970-03-05,0.722742,0.727659,0.722742,0.725201,0.137763,630515
1970-03-06,0.725201,0.725201,0.712909,0.715367,0.135895,1398320
1970-03-09,0.715367,0.720284,0.700618,0.703076,0.133560,574582
1970-03-10,0.698159,0.698159,0.673576,0.683409,0.129824,894925
1970-03-11,0.683409,0.683409,0.671118,0.678493,0.128890,498310
1970-03-12,0.678493,0.680951,0.671118,0.671118,0.127489,361021
1970-03-13,0.678493,0.693243,0.678493,0.678493,0.128890,701702
1970-03-16,0.685868,0.703076,0.685868,0.698159,0.132626,503395
1970-03-17,0.698159,0.715367,0.688326,0.707992,0.134494,884755
1970-03-18,0.707992,0.707992,0.690784,0.690784,0.131225,366106
1970-03-19,0.690784,0.693243,0.680951,0.685868,0.130291,361021
1970-03-20,0.685868,0.693243,0.671118,0.676034,0.128423,223731
1970-03-23,0.676034,0.688326,0.668660,0.688326,0.130758,366106
1970-03-24,0.688326,0.698159,0.680951,0.698159,0.132626,711872
1970-03-25,0.698159,0.727659,0.695701,0.722742,0.137296,1667814
1970-03-26,0.722742,0.725201,0.712909,0.712909,0.135428,447462
1970-03-30,0.712909,0.722742,0.707992,0.712909,0.135428,1128826
1970-03-31,0.712909,0.712909,0.705534,0.707992,0.134494,325427
1970-04-01,0.707992,0.715367,0.703076,0.712909,0.135428,889840
1970-04-02,0.712909,0.717826,0.698159,0.698159,0.132626,579667
1970-04-03,0.698159,0.715367,0.695701,0.703076,0.133560,589837
1970-04-06,0.703076,0.707992,0.698159,0.698159,0.132626,172883
1970-04-07,0.698159,0.707992,0.688326,0.705534,0.134027,320342
1970-04-08,0.705534,0.707992,0.700618,0.707992,0.134494,396614
1970-04-09,0.707992,0.715367,0.705534,0.712909,0.135428,432208
1970-04-10,0.712909,0.712909,0.688326,0.693243,0.131692,203392
1970-04-13,0.690784,0.690784,0.676034,0.688326,0.130758,320342
1970-04-14,0.680951,0.680951,0.671118,0.673576,0.127956,518650
1970-04-15,0.673576,0.683409,0.668660,0.678493,0.128890,335597
1970-04-16,0.676034,0.676034,0.666201,0.671118,0.127489,228816
1970-04-17,0.671118,0.685868,0.666201,0.683409,0.129824,477971
1970-04-20,0.683409,0.688326,0.668660,0.680951,0.129357,320342
1970-04-21,0.680951,0.683409,0.673576,0.673576,0.127956,305088
1970-04-22,0.673576,0.680951,0.668660,0.668660,0.127022,289834
1970-04-23,0.663743,0.663743,0.636702,0.636702,0.120951,600006
1970-04-24,0.636702,0.641618,0.621952,0.629327,0.119550,666109
1970-04-27,0.629327,0.629327,0.599827,0.599827,0.113946,381360
1970-04-28,0.594910,0.594910,0.580160,0.587535,0.111611,2110192
1970-04-29,0.587535,0.599827,0.582619,0.597369,0.113479,1561034
1970-04-30,0.597369,0.602285,0.589994,0.589994,0.112078,915264
1970-05-01,0.589994,0.599827,0.589994,0.599827,0.113946,716957
1970-05-04,0.594910,0.594910,0.560494,0.560494,0.106474,1464422
1970-05-05,0.565411,0.597369,0.565411,0.585077,0.111144,411869
1970-05-06,0.585077,0.597369,0.575244,0.585077,0.111144,1561034
1970-05-07,0.585077,0.597369,0.585077,0.594910,0.113012,437293
1970-05-08,0.594910,0.594910,0.587535,0.589994,0.112078,396614
1970-05-11,0.589994,0.589994,0.565411,0.572786,0.108809,564413
1970-05-12,0.567869,0.567869,0.550661,0.558036,0.106007,1235606
1970-05-13,0.558036,0.560494,0.535911,0.550661,0.104606,1113571
1970-05-14,0.550661,0.553119,0.523619,0.553119,0.105073,732211
1970-05-15,0.553119,0.604744,0.543286,0.604744,0.114880,1494931
1970-05-18,0.604744,0.607202,0.585077,0.604744,0.116586,467802
1970-05-19,0.599827,0.599827,0.580160,0.580160,0.111847,355936
1970-05-20,0.580160,0.587535,0.562952,0.572786,0.110425,416954
1970-05-21,0.572786,0.575244,0.538369,0.555577,0.107108,818653
1970-05-22,0.555577,0.589994,0.553119,0.553119,0.106634,696618
1970-05-25,0.545744,0.545744,0.530994,0.535911,0.103316,645770
1970-05-26,0.535911,0.560494,0.530994,0.530994,0.102368,1113571
1970-05-27,0.530994,0.575244,0.530994,0.562952,0.108530,981366
1970-05-28,0.562952,0.599827,0.558036,0.587535,0.113269,894925
1970-05-29,0.587535,0.587535,0.572786,0.587535,0.113269,879670
1970-06-01,0.589994,0.624410,0.589994,0.619493,0.119430,1830528
1970-06-02,0.619493,0.629327,0.589994,0.589994,0.113743,950858
1970-06-03,0.589994,0.589994,0.570327,0.587535,0.113269,1027130
1970-06-04,0.587535,0.594910,0.580160,0.580160,0.111847,655939
1970-06-05,0.580160,0.580160,0.565411,0.567869,0.109478,523734
1970-06-08,0.567869,0.575244,0.560494,0.572786,0.110425,376275
1970-06-09,0.572786,0.575244,0.565411,0.575244,0.110899,325427
1970-06-10,0.567869,0.567869,0.560494,0.565411,0.109004,584752
1970-06-11,0.560494,0.560494,0.540828,0.540828,0.104264,244070
1970-06-12,0.538369,0.538369,0.521161,0.523619,0.100947,1128826
1970-06-15,0.523619,0.540828,0.518703,0.528536,0.101895,1047469
1970-06-16,0.533453,0.548202,0.533453,0.543286,0.104738,1154250
1970-06-17,0.545744,0.562952,0.545744,0.548202,0.105686,1154250
1970-06-18,0.548202,0.580160,0.545744,0.575244,0.110899,523734
1970-06-19,0.575244,0.585077,0.565411,0.580160,0.111847,666109
1970-06-22,0.577702,0.577702,0.558036,0.562952,0.108530,554243
1970-06-23,0.562952,0.575244,0.550661,0.555577,0.107108,518650
1970-06-24,0.550661,0.550661,0.533453,0.533453,0.102843,630515
1970-06-25,0.533453,0.543286,0.528536,0.530994,0.102368,335597
1970-06-26,0.530994,0.545744,0.530994,0.530994,0.102368,152544
1970-06-29,0.530994,0.530994,0.521161,0.521161,0.100473,467802
1970-06-30,0.521161,0.526078,0.506411,0.506411,0.097629,391530
1970-07-01,0.503953,0.503953,0.501495,0.501495,0.096681,833907
1970-07-02,0.501495,0.516244,0.501495,0.511328,0.098577,600006
1970-07-06,0.506411,0.506411,0.481828,0.484287,0.093364,640685
1970-07-07,0.484287,0.489203,0.471995,0.471995,0.090994,411869
1970-07-08,0.471995,0.489203,0.464620,0.489203,0.094312,518650
1970-07-09,0.496578,0.523619,0.496578,0.511328,0.098577,772890
1970-07-10,0.511328,0.526078,0.501495,0.513786,0.099051,238986
1970-07-13,0.513786,0.518703,0.501495,0.511328,0.098577,279664
1970-07-14,0.511328,0.521161,0.501495,0.521161,0.100473,579667
1970-07-15,0.533453,0.565411,0.533453,0.562952,0.108530,1149165
1970-07-16,0.565411,0.582619,0.565411,0.575244,0.110899,788144
1970-07-17,0.577702,0.597369,0.577702,0.592452,0.114217,630515
1970-07-20,0.592452,0.624410,0.589994,0.609660,0.117534,1342387
1970-07-21,0.609660,0.617035,0.594910,0.597369,0.115165,589837
1970-07-22,0.597369,0.626868,0.594910,0.609660,0.117534,554243
1970-07-23,0.609660,0.624410,0.602285,0.612118,0.118008,279664
1970-07-24,0.612118,0.619493,0.599827,0.609660,0.117534,457632
1970-07-27,0.609660,0.626868,0.609660,0.626868,0.120852,432208
1970-07-28,0.624410,0.624410,0.609660,0.609660,0.117534,325427
1970-07-29,0.609660,0.626868,0.604744,0.604744,0.116586,371190
1970-07-30,0.604744,0.612118,0.597369,0.597369,0.115165,274579
1970-07-31,0.597369,0.604744,0.592452,0.599827,0.115638,284749
1970-08-03,0.592452,0.592452,0.580160,0.580160,0.111847,218646
1970-08-04,0.580160,0.589994,0.567869,0.585077,0.112795,462717
1970-08-05,0.585077,0.599827,0.570327,0.570327,0.109951,620346
1970-08-06,0.567869,0.567869,0.555577,0.560494,0.108056,584752
1970-08-07,0.560494,0.565411,0.550661,0.550661,0.106160,386445
1970-08-10,0.550661,0.550661,0.521161,0.548202,0.105686,671194
1970-08-11,0.548202,0.558036,0.545744,0.558036,0.107582,635600
1970-08-12,0.558036,0.560494,0.550661,0.555577,0.107108,244070
1970-08-13,0.555577,0.555577,0.543286,0.550661,0.106160,325427
1970-08-14,0.555577,0.577702,0.555577,0.577702,0.111373,823738
1970-08-17,0.570327,0.570327,0.560494,0.565411,0.110700,544074
1970-08-18,0.582619,0.594910,0.582619,0.594910,0.116475,757635
1970-08-19,0.594910,0.614577,0.594910,0.607202,0.118882,2435619
1970-08-20,0.604744,0.604744,0.585077,0.602285,0.117919,1037299
1970-08-21,0.602285,0.609660,0.592452,0.609660,0.119363,1083062
1970-08-24,0.629327,0.676034,0.629327,0.668660,0.130914,1800019
1970-08-25,0.668660,0.668660,0.656368,0.661285,0.129470,711872
1970-08-26,0.661285,0.673576,0.656368,0.658826,0.128989,371190
1970-08-27,0.658826,0.661285,0.639160,0.646535,0.126582,386445
1970-08-28,0.648993,0.688326,0.648993,0.673576,0.131877,1291539
1970-08-31,0.673576,0.678493,0.663743,0.678493,0.132839,798314
1970-09-01,0.678493,0.683409,0.648993,0.658826,0.128989,925434
1970-09-02,0.656368,0.656368,0.653910,0.653910,0.128026,345766
1970-09-03,0.653910,0.666201,0.636702,0.636702,0.124657,900010
1970-09-04,0.641618,0.676034,0.641618,0.671118,0.131395,1576288
1970-09-08,0.671118,0.703076,0.663743,0.695701,0.136209,1713578
1970-09-09,0.695701,0.700618,0.680951,0.685868,0.134283,564413
1970-09-10,0.676034,0.676034,0.666201,0.668660,0.130914,681363
1970-09-11,0.668660,0.678493,0.666201,0.678493,0.132839,350851
1970-09-14,0.676034,0.676034,0.668660,0.673576,0.131877,315258
1970-09-15,0.668660,0.668660,0.658826,0.666201,0.130433,3864448
1970-09-16,0.666201,0.678493,0.658826,0.678493,0.132839,503395
1970-09-17,0.678493,0.703076,0.678493,0.683409,0.133802,727126
1970-09-18,0.683409,0.695701,0.678493,0.690784,0.135246,315258
1970-09-21,0.690784,0.690784,0.680951,0.685868,0.134283,538989
1970-09-22,0.680951,0.680951,0.656368,0.668660,0.130914,355936
1970-09-23,0.668660,0.685868,0.661285,0.685868,0.134283,416954
1970-09-24,0.685868,0.732576,0.683409,0.727659,0.142465,1733917
1970-09-25,0.730117,0.739950,0.730117,0.732576,0.143428,854246
1970-09-28,0.732576,0.735034,0.700618,0.730117,0.142947,1367811
1970-09-29,0.730117,0.732576,0.720284,0.730117,0.142947,610176
1970-09-30,0.727659,0.727659,0.712909,0.717826,0.140540,777974
1970-10-01,0.707992,0.707992,0.700618,0.700618,0.137171,732211
1970-10-02,0.693243,0.693243,0.658826,0.678493,0.132839,3350883
1970-10-05,0.688326,0.715367,0.688326,0.712909,0.139577,2150870
