Date,Open,High,Low,Close,Adj Close,Volume
1996-08-13,1.850000,1.900000,1.850000,1.900000,1.900000,5000
1996-08-14,1.850000,1.850000,1.850000,1.850000,1.850000,2500
1996-08-15,1.850000,1.850000,1.780000,1.780000,1.780000,2800
1996-08-16,1.800000,1.800000,1.780000,1.780000,1.780000,5400
1996-08-19,1.780000,1.780000,1.780000,1.780000,1.780000,0
1996-08-20,1.800000,1.830000,1.760000,1.830000,1.830000,11400
1996-08-21,1.830000,1.830000,1.830000,1.830000,1.830000,0
1996-08-22,1.760000,1.760000,1.760000,1.760000,1.760000,1000
1996-08-23,1.760000,1.850000,1.760000,1.850000,1.850000,5300
1996-08-26,1.850000,1.850000,1.850000,1.850000,1.850000,0
1996-08-27,1.760000,1.760000,1.750000,1.750000,1.750000,3200
1996-08-28,1.670000,1.670000,1.620000,1.620000,1.620000,209200
1996-08-29,1.600000,1.600000,1.550000,1.600000,1.600000,3800
1996-08-30,1.600000,1.600000,1.600000,1.600000,1.600000,0
1996-09-03,1.570000,1.570000,1.550000,1.550000,1.550000,4000
1996-09-04,1.600000,1.600000,1.500000,1.500000,1.500000,15000
1996-09-05,1.500000,1.500000,1.400000,1.400000,1.400000,10500
1996-09-06,1.500000,1.500000,1.450000,1.450000,1.450000,8500
1996-09-09,1.500000,1.500000,1.350000,1.500000,1.500000,21000
1996-09-10,1.500000,1.550000,1.500000,1.500000,1.500000,2500
1996-09-11,1.450000,1.600000,1.450000,1.600000,1.600000,6000
1996-09-12,1.600000,1.750000,1.500000,1.700000,1.700000,13000
1996-09-13,1.700000,1.700000,1.700000,1.700000,1.700000,1500
1996-09-16,1.750000,1.750000,1.600000,1.600000,1.600000,5500
1996-09-17,1.520000,1.600000,1.480000,1.600000,1.600000,17900
1996-09-18,1.600000,1.600000,1.600000,1.600000,1.600000,25000
1996-09-19,1.600000,1.600000,1.450000,1.450000,1.450000,14500
1996-09-20,1.450000,1.450000,1.450000,1.450000,1.450000,0
1996-09-23,1.500000,1.500000,1.450000,1.450000,1.450000,9000
1996-09-24,1.500000,1.580000,1.500000,1.580000,1.580000,11000
1996-09-25,1.450000,1.500000,1.450000,1.500000,1.500000,15800
1996-09-26,1.400000,1.400000,1.400000,1.400000,1.400000,500
1996-09-27,1.400000,1.400000,1.400000,1.400000,1.400000,0
1996-09-30,1.400000,1.400000,1.400000,1.400000,1.400000,3000
1996-10-01,1.400000,1.400000,1.400000,1.400000,1.400000,0
1996-10-02,1.400000,1.400000,1.400000,1.400000,1.400000,6500
1996-10-03,1.400000,1.400000,1.400000,1.400000,1.400000,35600
1996-10-04,1.400000,1.400000,1.400000,1.400000,1.400000,0
1996-10-07,1.350000,1.350000,1.350000,1.350000,1.350000,2500
1996-10-08,1.400000,1.490000,1.400000,1.490000,1.490000,7700
1996-10-09,1.490000,1.490000,1.490000,1.490000,1.490000,400
1996-10-10,1.490000,1.490000,1.490000,1.490000,1.490000,700
1996-10-11,1.490000,1.490000,1.490000,1.490000,1.490000,2000
1996-10-14,null,null,null,null,null,null
1996-10-15,1.690000,1.690000,1.690000,1.690000,1.690000,3000
1996-10-16,1.600000,1.600000,1.600000,1.600000,1.600000,1000
1996-10-17,1.600000,1.600000,1.600000,1.600000,1.600000,0
1996-10-18,1.490000,1.490000,1.490000,1.490000,1.490000,300
1996-10-21,1.690000,1.700000,1.590000,1.590000,1.590000,22500
1996-10-22,1.590000,1.600000,1.500000,1.500000,1.500000,40500
1996-10-23,1.480000,1.480000,1.480000,1.480000,1.480000,3000
1996-10-24,1.490000,1.500000,1.490000,1.500000,1.500000,10000
1996-10-25,1.470000,1.490000,1.450000,1.490000,1.490000,40800
1996-10-28,1.400000,1.450000,1.400000,1.450000,1.450000,17700
1996-10-29,1.450000,1.500000,1.350000,1.500000,1.500000,27100
1996-10-30,1.350000,1.450000,1.350000,1.450000,1.450000,14500
1996-10-31,1.450000,1.450000,1.450000,1.450000,1.450000,0
1996-11-01,1.450000,1.450000,1.450000,1.450000,1.450000,43800
1996-11-04,1.500000,1.500000,1.450000,1.450000,1.450000,25800
1996-11-05,1.450000,1.450000,1.380000,1.380000,1.380000,4800
1996-11-06,1.500000,1.530000,1.390000,1.530000,1.530000,33000
1996-11-07,1.500000,1.600000,1.500000,1.520000,1.520000,15600
1996-11-08,1.500000,1.800000,1.500000,1.800000,1.800000,17000
1996-11-11,1.810000,2.050000,1.810000,1.990000,1.990000,18100
1996-11-12,1.950000,2.000000,1.950000,1.950000,1.950000,12300
1996-11-13,1.900000,1.900000,1.800000,1.800000,1.800000,7900
1996-11-14,1.800000,1.800000,1.800000,1.800000,1.800000,6300
1996-11-15,1.800000,1.800000,1.800000,1.800000,1.800000,0
1996-11-18,1.800000,1.800000,1.800000,1.800000,1.800000,0
1996-11-19,1.800000,1.800000,1.800000,1.800000,1.800000,400
1996-11-20,1.900000,1.990000,1.900000,1.900000,1.900000,9900
1996-11-21,1.950000,1.950000,1.900000,1.900000,1.900000,3100
1996-11-22,1.840000,1.850000,1.840000,1.850000,1.850000,9500
1996-11-25,1.800000,1.840000,1.650000,1.840000,1.840000,6400
1996-11-26,1.880000,1.880000,1.710000,1.710000,1.710000,4000
1996-11-27,1.710000,1.710000,1.710000,1.710000,1.710000,0
1996-11-29,1.850000,1.900000,1.850000,1.900000,1.900000,4000
1996-12-02,1.650000,1.900000,1.650000,1.900000,1.900000,5100
1996-12-03,1.800000,1.800000,1.800000,1.800000,1.800000,5000
1996-12-04,1.800000,1.800000,1.700000,1.800000,1.800000,7700
1996-12-05,1.800000,1.900000,1.800000,1.900000,1.900000,14000
1996-12-06,1.870000,1.980000,1.870000,1.980000,1.980000,7000
1996-12-09,1.950000,1.960000,1.950000,1.960000,1.960000,7000
1996-12-10,1.980000,2.400000,1.980000,2.150000,2.150000,16100
1996-12-11,2.250000,2.250000,2.150000,2.250000,2.250000,6100
1996-12-12,2.200000,2.350000,2.200000,2.350000,2.350000,16500
1996-12-13,2.350000,2.350000,2.270000,2.270000,2.270000,11000
1996-12-16,2.330000,2.330000,2.250000,2.250000,2.250000,5400
1996-12-17,2.330000,2.400000,2.300000,2.400000,2.400000,19300
1996-12-18,2.450000,2.450000,2.210000,2.450000,2.450000,12500
1996-12-19,2.320000,2.430000,2.320000,2.430000,2.430000,3800
1996-12-20,2.370000,2.370000,2.370000,2.370000,2.370000,7000
1996-12-23,2.470000,2.480000,2.470000,2.480000,2.480000,4000
1996-12-24,2.450000,2.450000,2.250000,2.250000,2.250000,6500
1996-12-26,null,null,null,null,null,null
1996-12-27,2.350000,2.550000,2.350000,2.550000,2.550000,26300
1996-12-30,2.500000,2.750000,2.500000,2.750000,2.750000,56900
1996-12-31,2.750000,2.900000,2.710000,2.710000,2.710000,47500
1997-01-02,2.750000,2.800000,2.650000,2.700000,2.700000,61000
1997-01-03,2.890000,3.030000,2.700000,2.900000,2.900000,136800
1997-01-06,2.990000,3.190000,2.900000,3.190000,3.190000,311900
1997-01-07,3.150000,3.200000,3.000000,3.070000,3.070000,141400
1997-01-08,3.010000,3.200000,2.910000,2.950000,2.950000,78800
1997-01-09,3.050000,3.120000,3.000000,3.120000,3.120000,50200
1997-01-10,3.080000,3.650000,3.080000,3.650000,3.650000,24300
1997-01-13,3.600000,3.800000,3.530000,3.800000,3.800000,40000
1997-01-14,3.800000,3.900000,3.750000,3.750000,3.750000,49400
1997-01-15,3.700000,3.800000,3.650000,3.750000,3.750000,26200
1997-01-16,3.700000,3.850000,3.650000,3.750000,3.750000,37100
1997-01-17,3.890000,4.200000,3.890000,4.000000,4.000000,47600
1997-01-20,4.200000,4.200000,3.890000,3.950000,3.950000,40000
1997-01-21,3.750000,3.900000,3.650000,3.900000,3.900000,70400
1997-01-22,3.700000,3.950000,3.700000,3.950000,3.950000,35700
1997-01-23,3.900000,4.150000,3.850000,4.000000,4.000000,39900
1997-01-24,4.150000,4.150000,4.000000,4.150000,4.150000,31000
1997-01-27,4.100000,4.400000,4.050000,4.300000,4.300000,30200
1997-01-28,4.400000,4.550000,4.150000,4.500000,4.500000,63200
1997-01-29,4.400000,4.650000,4.400000,4.650000,4.650000,32400
1997-01-30,4.400000,4.500000,4.400000,4.400000,4.400000,7000
1997-01-31,4.450000,4.450000,4.250000,4.450000,4.450000,69500
1997-02-03,4.350000,4.500000,4.250000,4.250000,4.250000,10300
1997-02-04,4.250000,4.450000,4.000000,4.300000,4.300000,26500
1997-02-05,4.250000,4.700000,4.200000,4.500000,4.500000,1587000
1997-02-06,4.600000,4.700000,4.600000,4.700000,4.700000,12700
1997-02-07,4.500000,4.700000,4.500000,4.600000,4.600000,14000
1997-02-10,4.550000,4.750000,4.550000,4.700000,4.700000,20600
1997-02-11,4.610000,4.700000,4.600000,4.650000,4.650000,9600
1997-02-12,4.400000,4.400000,4.250000,4.400000,4.400000,13300
1997-02-13,4.500000,4.500000,4.200000,4.400000,4.400000,12700
1997-02-14,4.640000,4.640000,4.600000,4.600000,4.600000,5600
1997-02-18,4.450000,4.500000,4.400000,4.450000,4.450000,6400
1997-02-19,4.300000,4.400000,4.200000,4.250000,4.250000,104500
1997-02-20,4.300000,4.400000,4.250000,4.400000,4.400000,16000
1997-02-21,4.300000,4.350000,4.200000,4.350000,4.350000,21100
1997-02-24,4.200000,4.400000,4.200000,4.300000,4.300000,38600
1997-02-25,4.200000,4.400000,4.200000,4.400000,4.400000,29200
1997-02-26,4.250000,4.300000,4.200000,4.200000,4.200000,24500
1997-02-27,4.210000,4.300000,4.200000,4.200000,4.200000,37600
1997-02-28,4.250000,4.400000,4.200000,4.400000,4.400000,27600
1997-03-03,4.400000,4.400000,4.250000,4.300000,4.300000,12900
1997-03-04,4.350000,4.450000,4.350000,4.450000,4.450000,3500
1997-03-05,4.450000,4.450000,4.450000,4.450000,4.450000,0
1997-03-06,4.400000,4.400000,4.310000,4.400000,4.400000,5500
1997-03-07,4.400000,4.400000,4.350000,4.400000,4.400000,27500
1997-03-10,4.400000,4.600000,4.400000,4.600000,4.600000,7000
1997-03-11,4.640000,4.950000,4.600000,4.950000,4.950000,34800
1997-03-12,5.200000,5.200000,4.900000,5.050000,5.050000,11700
1997-03-13,5.000000,5.050000,4.950000,5.050000,5.050000,5300
1997-03-14,5.100000,5.250000,5.100000,5.250000,5.250000,18700
1997-03-17,5.500000,5.700000,5.450000,5.700000,5.700000,63700
1997-03-18,5.700000,5.750000,5.600000,5.600000,5.600000,50900
1997-03-19,5.700000,5.750000,5.250000,5.250000,5.250000,33100
1997-03-20,5.200000,5.200000,4.800000,5.000000,5.000000,15100
1997-03-21,5.000000,5.000000,4.900000,4.900000,4.900000,2900
1997-03-24,5.000000,5.050000,4.900000,5.050000,5.050000,2400
1997-03-25,5.050000,5.200000,4.900000,5.000000,5.000000,25000
1997-03-26,4.950000,4.950000,4.700000,4.700000,4.700000,15600
1997-03-27,4.550000,4.600000,4.300000,4.500000,4.500000,52800
1997-03-31,4.100000,4.250000,4.000000,4.250000,4.250000,30700
1997-04-01,4.400000,4.500000,4.350000,4.400000,4.400000,11500
1997-04-02,4.450000,4.500000,4.400000,4.400000,4.400000,3600
1997-04-03,4.500000,4.550000,4.500000,4.550000,4.550000,9500
1997-04-04,4.600000,4.700000,4.550000,4.700000,4.700000,9500
1997-04-07,4.750000,4.750000,4.600000,4.600000,4.600000,8300
1997-04-08,4.600000,4.700000,4.550000,4.700000,4.700000,12700
1997-04-09,4.600000,4.600000,4.250000,4.450000,4.450000,28000
1997-04-10,4.250000,4.300000,4.250000,4.300000,4.300000,4900
1997-04-11,4.300000,4.300000,3.900000,4.000000,4.000000,41900
1997-04-14,4.000000,4.000000,3.750000,4.000000,4.000000,12100
1997-04-15,4.000000,4.100000,4.000000,4.000000,4.000000,15000
1997-04-16,3.820000,4.000000,3.820000,4.000000,4.000000,3300
1997-04-17,4.000000,4.150000,4.000000,4.100000,4.100000,9500
1997-04-18,4.150000,4.200000,4.050000,4.200000,4.200000,10000
1997-04-21,4.500000,4.500000,4.500000,4.500000,4.500000,1000
1997-04-22,4.000000,4.250000,4.000000,4.250000,4.250000,5500
1997-04-23,4.250000,4.250000,4.250000,4.250000,4.250000,2400
1997-04-24,4.500000,4.650000,4.500000,4.650000,4.650000,21400
1997-04-25,4.600000,4.600000,4.600000,4.600000,4.600000,4000
1997-04-28,4.500000,4.750000,4.500000,4.750000,4.750000,10700
1997-04-29,4.600000,4.600000,4.600000,4.600000,4.600000,5300
1997-04-30,4.600000,4.600000,4.600000,4.600000,4.600000,1000
1997-05-01,4.650000,4.800000,4.650000,4.800000,4.800000,6700
1997-05-02,4.800000,4.800000,4.800000,4.800000,4.800000,0
1997-05-05,4.800000,5.000000,4.800000,5.000000,5.000000,10000
