Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.618056,1.527778,1.527778,0.909085,66600
1980-03-18,0.000000,1.534722,1.465278,1.527778,0.909085,106200
1980-03-19,0.000000,1.548611,1.534722,1.534722,0.913217,10800
1980-03-20,0.000000,1.541667,1.527778,1.527778,0.909085,12600
1980-03-21,0.000000,1.375000,1.284722,1.284722,0.764458,264600
1980-03-24,0.000000,1.298611,1.194444,1.222222,0.727268,160200
1980-03-25,0.000000,1.222222,1.159722,1.173611,0.698342,318600
1980-03-26,0.000000,1.194444,1.131944,1.152778,0.685946,266400
1980-03-27,0.000000,1.159722,1.020833,1.111111,0.661152,279000
1980-03-28,0.000000,1.229167,1.138889,1.229167,0.731400,59400
1980-03-31,0.000000,1.381944,1.270833,1.368056,0.814044,120600
1980-04-01,0.000000,1.416667,1.347222,1.395833,0.830573,43200
1980-04-02,0.000000,1.444444,1.416667,1.423611,0.847102,55800
1980-04-03,0.000000,1.416667,1.361111,1.402778,0.834706,73800
1980-04-07,0.000000,1.375000,1.319444,1.319444,0.785118,41400
1980-04-08,0.000000,1.361111,1.319444,1.361111,0.809912,27000
1980-04-09,0.000000,1.402778,1.375000,1.381944,0.822308,30600
1980-04-10,0.000000,1.375000,1.375000,1.375000,0.818176,7200
1980-04-11,0.000000,1.381944,1.354167,1.354167,0.805779,41400
1980-04-14,0.000000,1.368056,1.305556,1.326389,0.789251,66600
1980-04-15,0.000000,1.340278,1.305556,1.319444,0.785118,34200
1980-04-16,0.000000,1.347222,1.298611,1.298611,0.772722,59400
1980-04-17,0.000000,1.291667,1.256944,1.256944,0.747929,32400
1980-04-18,0.000000,1.256944,1.243056,1.243056,0.739665,5400
1980-04-21,0.000000,1.222222,1.166667,1.166667,0.694210,39600
1980-04-22,0.000000,1.277778,1.180556,1.277778,0.760325,108000
1980-04-23,0.000000,1.284722,1.250000,1.250000,0.743797,52200
1980-04-24,0.000000,1.312500,1.263889,1.312500,0.780986,70200
1980-04-25,0.000000,1.298611,1.263889,1.277778,0.760325,63000
1980-04-28,0.000000,1.326389,1.277778,1.312500,0.780986,57600
1980-04-29,0.000000,1.368056,1.326389,1.347222,0.801648,48600
1980-04-30,0.000000,1.375000,1.340278,1.361111,0.809912,59400
1980-05-01,0.000000,1.375000,1.340278,1.340278,0.797515,16200
1980-05-02,0.000000,1.333333,1.312500,1.326389,0.789251,16200
