Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,2.339580,2.303252,2.303252,0.880288,197845
1980-03-18,0.000000,2.383175,2.295986,2.383175,0.910834,689878
1980-03-19,0.000000,2.412238,2.354112,2.383175,0.910834,555687
1980-03-20,0.000000,2.383175,2.310517,2.310517,0.883064,302789
1980-03-21,0.000000,2.325049,2.303252,2.303252,0.880288,373325
1980-03-24,0.000000,2.325049,2.303252,2.303252,0.880288,170319
1980-03-25,0.000000,2.317783,2.281454,2.303252,0.880288,335477
1980-03-26,0.000000,2.383175,2.325049,2.354112,0.899727,531602
1980-03-27,0.000000,2.354112,2.325049,2.325049,0.888618,552246
1980-03-28,0.000000,2.397707,2.339580,2.397707,0.916388,211608
1980-03-31,0.000000,2.426770,2.397707,2.412238,0.921941,428378
1980-04-01,0.000000,2.448567,2.419504,2.448567,0.935826,225372
1980-04-02,0.000000,2.455833,2.426770,2.455833,0.938604,197845
1980-04-03,0.000000,2.455833,2.441301,2.455833,0.938604,46451
1980-04-07,0.000000,2.463099,2.419504,2.419504,0.924719,369885
1980-04-08,0.000000,2.463099,2.412238,2.455833,0.938604,345799
1980-04-09,0.000000,2.470364,2.441301,2.441301,0.933049,149674
1980-04-10,0.000000,2.448567,2.412238,2.426770,0.927496,326875
1980-04-11,0.000000,2.419504,2.383175,2.383175,0.910834,170319
1980-04-14,0.000000,2.383175,2.325049,2.339580,0.894172,208168
1980-04-15,0.000000,2.368644,2.325049,2.354112,0.899727,166878
1980-04-16,0.000000,2.368644,2.325049,2.354112,0.899727,225372
1980-04-17,0.000000,2.346846,2.281454,2.310517,0.883064,898046
1980-04-18,0.000000,2.325049,2.295986,2.325049,0.888618,61934
1980-04-21,0.000000,2.339580,2.303252,2.325049,0.888618,87740
1980-04-22,0.000000,2.397707,2.325049,2.397707,0.916388,739769
1980-04-23,0.000000,2.419504,2.368644,2.397707,0.916388,304510
1980-04-24,0.000000,2.419504,2.383175,2.419504,0.924719,168599
1980-04-25,0.000000,2.404972,2.368644,2.397707,0.916388,237414
1980-04-28,0.000000,2.412238,2.361378,2.397707,0.916388,548806
1980-04-29,0.000000,2.434036,2.368644,2.397707,0.916388,120428
1980-04-30,0.000000,2.375909,2.310517,2.354112,0.899727,553967
1980-05-01,0.000000,2.375909,2.325049,2.361378,0.902502,1914798
1980-05-02,0.000000,2.361378,2.281454,2.281454,0.871957,297628
1980-05-05,0.000000,2.303252,2.266923,2.266923,0.866403,591816
1980-05-06,0.000000,2.354112,2.281454,2.354112,0.899727,829230
1980-05-07,0.000000,2.412238,2.325049,2.412238,0.921941,679556
1980-05-08,0.000000,2.455833,2.426770,2.455833,0.938604,1068365
1980-05-09,0.000000,2.463099,2.426770,2.434036,0.930273,285585
1980-05-12,0.000000,2.441301,2.426770,2.426770,0.927496,497194
1980-05-13,0.000000,2.448567,2.426770,2.448567,0.935826,399131
1980-05-14,0.000000,2.455833,2.426770,2.426770,0.927496,796542
