Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.000000,46.442688,45.729031,45.893719,8.561439,57608
1970-01-05,0.000000,46.223103,44.905579,46.058411,8.592162,112939
1970-01-06,0.000000,45.564339,44.905579,45.289856,8.448790,206752
1970-01-07,0.000000,46.113308,45.234959,46.113308,8.602394,165993
1970-01-08,0.000000,46.552483,46.113308,46.552483,8.684323,212672
1970-01-09,0.000000,46.936760,46.552483,46.936760,8.756011,66944
1970-01-12,0.000000,46.936760,46.552483,46.936760,8.756011,86981
1970-01-13,0.000000,47.266140,46.662273,46.881863,8.745770,102465
1970-01-14,0.000000,47.321037,46.662273,47.266140,8.817460,192407
1970-01-15,0.000000,49.187527,46.881863,49.022839,9.145166,354529
1970-01-16,0.000000,50.834431,47.430828,48.803249,9.104199,346787
1970-01-19,0.000000,47.760212,46.662273,46.662273,8.704803,134798
1970-01-20,0.000000,47.650417,45.674133,46.772068,8.725289,160301
1970-01-21,0.000000,47.321037,46.552483,46.662273,8.704803,171003
1970-01-22,0.000000,47.540623,46.442688,47.046551,8.776494,99277
1970-01-23,0.000000,47.650417,46.552483,46.772068,8.725289,123413
1970-01-26,0.000000,46.552483,45.783924,46.168205,8.612640,113395
1970-01-27,0.000000,46.387791,45.234959,45.454544,8.479506,321285
1970-01-28,0.000000,45.619236,44.740887,44.795784,8.356612,90169
1970-01-29,0.000000,44.795784,43.697849,44.027229,8.213240,234759
1970-01-30,0.000000,44.466404,43.807644,44.191917,8.243964,137986
1970-02-02,0.000000,45.454544,44.191917,44.685989,8.336134,139352
1970-02-03,0.000000,45.674133,43.697849,45.564339,8.499986,206752
1970-02-04,0.000000,45.619236,43.972332,44.740887,8.346370,103831
1970-02-05,0.000000,45.674133,43.972332,45.619236,8.510225,99277
1970-02-06,0.000000,45.893719,44.795784,45.070267,8.407818,104059
1970-02-09,0.000000,46.058411,45.234959,45.838821,8.551193,96545
1970-02-10,0.000000,45.234959,44.356609,44.576199,8.315649,61934
1970-02-11,0.000000,45.234959,43.807644,44.685989,8.336134,123413
1970-02-12,0.000000,44.795784,43.917435,43.917435,8.192760,88120
1970-02-13,0.000000,43.588055,42.654808,42.929295,8.008431,155064
1970-02-16,0.000000,43.313568,42.709705,43.148880,8.049389,128195
1970-02-17,0.000000,43.862537,42.764603,43.697849,8.151795,125918
1970-02-18,0.000000,45.454544,44.356609,45.070267,8.407818,77873
1970-02-19,0.000000,45.344753,44.137020,44.301712,8.264449,127740
1970-02-20,0.000000,44.137020,43.039085,43.313568,8.080108,135709
1970-02-24,0.000000,43.423363,42.654808,42.819500,7.987943,125007
1970-02-25,0.000000,42.819500,40.953007,42.819500,7.987943,282576
1970-02-26,0.000000,41.831356,41.062801,41.556873,7.752398,170092
1970-02-27,0.000000,41.721561,39.580589,39.964867,7.455410,302841
1970-03-02,0.000000,41.282391,39.580589,41.117699,7.670467,217454
1970-03-03,0.000000,42.105843,41.062801,42.105843,7.854811,171003
1970-03-04,0.000000,41.996048,40.239349,40.294247,7.516857,132066
1970-03-05,0.000000,41.227493,40.129555,40.623627,7.578304,156885
1970-03-06,0.000000,41.172596,40.349144,41.172596,7.680709,91535
1970-03-09,0.000000,41.501976,40.513836,41.501976,7.742161,116810
1970-03-10,0.000000,41.721561,41.227493,41.501976,7.742161,74003
1970-03-11,0.000000,41.556873,41.172596,41.172596,7.680709,75596
1970-03-12,0.000000,41.062801,39.855072,40.074661,7.475892,145500
1970-03-13,0.000000,40.074661,39.361000,39.635487,7.393967,333125
1970-03-16,0.000000,39.909969,38.866928,39.635487,7.393967,119087
1970-03-17,0.000000,40.349144,39.525692,40.074661,7.475892,134798
1970-03-18,0.000000,40.733421,40.074661,40.513836,7.557822,89486
1970-03-19,0.000000,40.733421,39.635487,39.635487,7.393967,168498
1970-03-20,0.000000,39.690380,39.196312,39.690380,7.404205,100643
1970-03-23,0.000000,39.855072,39.086517,39.251209,7.322278,76507
1970-03-24,0.000000,40.843216,39.525692,40.404041,7.537337,125463
1970-03-25,0.000000,42.105843,40.678524,41.117699,7.670467,196050
1970-03-26,0.000000,41.392181,41.007904,41.282391,7.701196,87209
1970-03-30,0.000000,40.404041,39.086517,39.964867,7.455410,576309
1970-03-31,0.000000,39.964867,38.866928,39.964867,7.455410,194684
1970-04-01,0.000000,39.909969,39.306107,39.635487,7.393967,121136
1970-04-02,0.000000,40.239349,39.745277,39.909969,7.445169,87665
1970-04-03,0.000000,39.580589,38.208168,38.208168,7.127698,272329
1970-04-06,0.000000,37.768993,37.329819,37.714096,7.035534,516196
1970-04-07,0.000000,37.659203,36.780853,36.945541,6.892161,178517
1970-04-08,0.000000,37.768993,37.110233,37.714096,7.035534,90169
1970-04-09,0.000000,38.537548,37.659203,37.659203,7.025294,145500
1970-04-10,0.000000,38.537548,37.439613,37.988583,7.086738,121820
1970-04-13,0.000000,38.372860,37.823891,37.823891,7.056015,62618
1970-04-14,0.000000,37.878788,36.506367,37.000439,6.902398,187853
1970-04-15,0.000000,37.494511,36.671059,36.725956,6.851195,88803
1970-04-16,0.000000,36.780853,35.682915,35.792709,6.677098,271191
1970-04-17,0.000000,37.274921,35.847607,37.274921,6.953607,193545
1970-04-20,0.000000,38.317963,37.000439,38.208168,7.127698,144817
1970-04-21,0.000000,38.647343,37.110233,37.494511,6.994569,232937
1970-04-22,0.000000,37.274921,36.396572,37.220024,6.943367,166904
1970-04-23,0.000000,37.055336,36.451469,36.506367,6.810229,242045
1970-04-24,0.000000,36.835751,36.176987,36.451469,6.799989,142768
